Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Acker          R   9   5   1   0   1   5   1   1   0   0   0  .556  .714 1.000 
Craig Anderson     R   8   3   0   0   0   0   0   0   0   0   0  .375  .375  .375 
Bob Anderson       R  21  10   1   1   2   2   0   2   0   0   1  .476  .500  .905 
Johnny Antonelli   L  23   5   1   0   0   3   0   2   0   1   1  .217  .296  .261 
Luis Arroyo        L   4   1   0   0   1   0   0   1   0   1   0  .250  .250 1.000 
Steve Barber       L   8   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Curt Barclay       R  13   1   0   0   0   0   0   3   0   0   1  .077  .071  .077 
Bobby Bolin        R  14   5   0   0   2   2   1   5   0   0   0  .357  .438  .786 
Jim Brewer         L   3   2   0   0   0   0   0   0   0   1   0  .667  .667  .667 
John Briggs        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Nelson Briles      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Ernie Broglio      R  43   7   3   0   1   7   0  11   0   0   1  .163  .275  .302 
Jim Brosnan        R  12   2   0   0   1   3   2   2   0   1   1  .167  .313  .417 
Hal Brown          R  24   7   0   0   2   0   0   1   0   1   0  .292  .292  .542 
Bob Bruce          R  32  12   1   0   1   3   0   8   3   0   0  .375  .474  .500 
Bob Buhl           R  45  13   1   0   4   3   0   6   0   0   0  .289  .333  .578 
Lew Burdette       R  21   6   0   0   2   1   0   1   0   1   0  .286  .318  .571 
John Buzhardt      R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Don Cardwell       R  48  11   2   0   0   6   2   5   1   0   0  .229  .327  .271 
Clay Carroll       R   5   1   0   0   0   1   1   0   0   0   0  .200  .333  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Galen Cisco        R  13   5   2   0   1   2   0   1   0   0   0  .385  .467  .769 
Tony Cloninger     R  27   8   2   1   2   4   1   4   1   0   0  .296  .406  .667 
Jim Coates         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Gene Conley        R  20   8   2   0   0   1   1   3   1   0   1  .400  .435  .500 
Roger Craig        R  43  13   2   0   0   2   0   5   1   0   1  .302  .340  .349 
Ray Crone          R  11   2   0   1   0   1   1   0   0   0   0  .182  .250  .364 
Ike Delock         R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Larry Dierker      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Moe Drabowsky      R  17   7   0   1   1   3   0   2   0   0   0  .412  .500  .706 
Dick Drott         R  17   6   2   0   2   1   0   2   0   0   0  .353  .389  .824 
Don Drysdale       R 113  40   3   1   6   6   3  19   0   0   1  .354  .383  .558 
Jim Duffalo        R   8   2   0   0   0   3   1   0   0   0   0  .250  .455  .250 
Sammy Ellis        R  11   3   0   1   0   3   1   0   0   0   0  .273  .429  .455 
Dick Ellsworth     L  13   2   0   0   0   0   0   3   1   0   0  .154  .214  .154 
Don Elston         R  15   3   2   1   0   2   0   0   0   0   1  .200  .278  .467 
Carl Erskine       R  11   3   0   0   0   3   0   5   0   0   0  .273  .429  .273 
Roy Face           R  21   7   0   0   1   3   2   2   0   0   0  .333  .417  .476 
Turk Farrell       R  50  18   3   0   2   4   2   6   0   0   0  .360  .407  .540 
Bill Faul          R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Hank Fischer       R  17   3   0   1   0   1   0   4   0   0   0  .176  .222  .294 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack Fisher        R  18   4   1   0   0   3   0   1   0   0   0  .222  .333  .278 
Whitey Ford        L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Art Fowler         R   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
Earl Francis       R  11   5   1   0   0   1   1   2   0   0   0  .455  .500  .545 
Hersh Freeman      R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Mark Freeman       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bob Friend         R  83  25   2   0   3   7   2   9   1   0   1  .301  .359  .434 
Bob Gibson         R  65  14   4   0   1   6   0   8   1   0   1  .215  .288  .323 
Dave Giusti        R   8   3   0   0   2   1   1   3   0   0   0  .375  .444 1.125 
Jim Golden         R   7   3   0   0   0   0   0   1   0   0   0  .429  .429  .429 
Ruben Gomez        R  20   8   1   0   2   0   0   1   0   0   0  .400  .400  .750 
Mudcat Grant       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Marv Grissom       R   9   4   0   0   2   0   0   0   0   0   0  .444  .444 1.111 
Don Gross          L   8   2   0   0   0   0   0   1   0   1   0  .250  .250  .250 
Warren Hacker      R   6   3   0   0   0   1   1   1   0   0   0  .500  .571  .500 
Harvey Haddix      L  26   4   1   0   0   1   0   7   0   0   0  .154  .185  .192 
Jim Hearn          R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Bill Henry         L  17   1   1   0   0   1   0   8   0   0   0  .059  .111  .118 
Ron Herbel         R   7   2   0   0   0   1   1   0   0   0   0  .286  .375  .286 
Ray Herbert        R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dave Hillman       R  19   7   0   1   1   1   0   2   0   0   0  .368  .400  .632 
Glen Hobbie        R  31  10   4   0   4   6   1   5   0   0   0  .323  .432  .839 
Billy Hoeft        L  10   2   1   0   0   0   0   1   0   0   0  .200  .200  .300 
Jay Hook           R  28   6   3   0   1   0   0   5   0   0   1  .214  .207  .429 
Larry Jackson      R  88  22   5   0   2   4   0  10   0   0   0  .250  .283  .375 
Joey Jay           R  32   9   2   0   2   2   1   2   0   0   0  .281  .324  .531 
Hal Jeffcoat       R  14   6   1   0   2   1   0   1   1   0   0  .429  .500  .929 
Ken Johnson        R  40   9   3   0   0   3   0   8   0   0   0  .225  .279  .300 
Gordon Jones       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Sam Jones          R  52  17   0   0   1   6   1  10   2   1   1  .327  .410  .385 
Sherman Jones      R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Don Kaiser         R   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Alex Kellner       L   7   4   0   0   0   0   0   1   0   0   0  .571  .571  .571 
Ron Kline          R  38  13   2   0   2   1   1   3   0   0   0  .342  .359  .553 
J. Klippstein      R  21   6   1   0   2   3   1   5   1   0   1  .286  .385  .619 
Cal Koonce         R  12   4   1   0   0   2   0   1   0   0   0  .333  .429  .417 
Sandy Koufax       L  14   2   0   0   0   1   0   8   0   0   0  .143  .200  .143 
Clem Labine        R  10   1   0   0   0   1   0   3   0   0   0  .100  .182  .100 
Jack Lamabe        R   4   2   2   0   0   0   0   0   0   0   0  .500  .500 1.000 
Don Larsen         R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Frank Lary         R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Vern Law           R  67  21   4   1   1   3   1   7   0   0   0  .313  .343  .448 
Brooks Lawrence    R  19   2   0   0   0   0   0   3   1   0   1  .105  .143  .105 
Denny Lemaster     L   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Dick LeMay         L   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Dick Littlefield   L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Billy Loes         R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Turk Lown          R   9   2   0   0   0   2   1   2   0   0   0  .222  .364  .222 
Bob Mabe           R   9   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Sal Maglie         R  14   4   0   0   1   1   0   2   0   0   0  .286  .333  .500 
Art Mahaffey       R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Jim Maloney        R  19   7   0   0   1   5   0   2   0   0   0  .368  .500  .526 
Juan Marichal      R  50   8   2   0   1   1   1  12   0   0   0  .160  .176  .260 
Al McBean          R  13   5   1   0   0   2   2   1   1   0   0  .385  .500  .462 
Ken McBride        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Mike McCormick     L  22   5   1   0   1   4   0   3   0   0   0  .227  .346  .409 
Lindy McDaniel     R  43  10   1   0   2   1   0  10   0   0   0  .233  .250  .395 
Von McDaniel       R   4   1   0   0   0   0   0   0   0   0   1  .250  .200  .250 
Danny McDevitt     L   9   1   0   0   0   2   0   0   0   0   0  .111  .273  .111 
Don McMahon        R   3   0   0   0   0   2   1   2   0   0   0  .000  .400  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack Meyer         R  10   1   0   0   0   1   1   3   0   0   0  .100  .182  .100 
Bob Miller         R  16   3   3   0   0   1   0   6   0   1   0  .188  .235  .375 
Stu Miller         R  35  11   0   0   1   5   2   4   0   1   0  .314  .400  .400 
V. Mizell          L  12   4   0   0   0   1   0   2   0   1   1  .333  .357  .333 
Joe Moeller        R   6   2   1   0   0   2   0   0   0   0   0  .333  .500  .500 
B. Monbouquette    R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Bob Moorhead       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Seth Morehead      L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Billy Muffett      R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Cholly Naranjo     R   3   1   1   0   0   0   0   0   0   1   0  .333  .333  .667 
Don Newcombe       R  28  10   3   2   1   1   0   3   0   1   0  .357  .379  .714 
Don Nottebart      R  31  12   2   0   2   1   1   2   0   0   0  .387  .406  .645 
Joe Nuxhall        L  12   4   0   0   1   2   1   1   0   0   0  .333  .429  .583 
Billy O'Dell       L  14   2   0   0   0   1   0   2   0   0   0  .143  .200  .143 
Chi-Chi Olivo      R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Phil Ortega        R   6   2   0   0   1   3   0   1   0   0   0  .333  .556  .833 
Jim O'Toole        L   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Jim Owens          R  20   7   4   0   0   3   0   3   0   0   0  .350  .435  .550 
Milt Pappas        R   3   0   0   0   0   0   0   0   1   0   0  .000  .250  .000 
Tom Parsons        R   5   3   1   0   1   0   0   1   0   0   0  .600  .600 1.400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Camilo Pascual     R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Orlando Pena       R   4   1   0   0   0   0   0   1   0   0   1  .250  .200  .250 
Ron Perranoski     L   5   0   0   0   0   2   0   1   0   0   0  .000  .286  .000 
Gaylord Perry      R  20  11   1   0   3   0   0   2   0   0   0  .550  .550 1.050 
Taylor Phillips    L  11   2   2   0   0   1   0   2   0   0   0  .182  .250  .364 
Ron Piche          R   8   3   1   1   0   1   0   0   0   0   0  .375  .444  .750 
Billy Pierce       L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Johnny Podres      L  12   3   1   0   0   1   0   6   0   0   0  .250  .308  .333 
Tom Poholsky       R   5   4   1   0   1   0   0   0   0   0   0  .800  .800 1.600 
Bob Purkey         R  63  20   5   0   3   1   0   7   0   0   1  .317  .323  .540 
Curt Raydon        R  11   5   0   0   2   0   0   0   0   0   0  .455  .455 1.000 
Claude Raymond     R   8   1   1   0   0   1   0   1   1   0   0  .125  .300  .250 
Robin Roberts      R  50   9   2   1   1   3   2   3   0   0   0  .180  .226  .320 
Ed Roebuck         R  11   5   0   0   2   1   0   3   0   0   0  .455  .500 1.000 
Bob Rush           R  12   5   0   1   1   0   0   1   0   0   0  .417  .417  .833 
Ray Sadecki        L   8   3   0   0   0   0   0   2   0   0   0  .375  .375  .375 
Bob Sadowski       R  11   6   2   0   3   2   1   2   0   0   0  .545  .615 1.545 
Jack Sanford       R  71  21   4   0   4   1   0   3   1   0   0  .296  .315  .521 
Willard Schmidt    R   5   1   0   0   0   1   0   0   0   0   1  .200  .286  .200 
Barney Schultz     R   7   2   0   0   0   1   0   2   0   0   0  .286  .375  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Schwall        R  11   1   0   0   1   0   0   0   1   0   0  .091  .167  .364 
Ray Semproch       R  20   9   2   0   4   2   0   2   2   0   0  .450  .542 1.150 
Bobby Shantz       L   8   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bob Shaw           R  19   4   1   0   1   1   0   6   0   0   0  .211  .250  .421 
Larry Sherry       R  10   1   0   0   0   1   1   1   0   0   0  .100  .182  .100 
Joe Shipley        R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Chris Short        L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Curt Simmons       L  21   3   0   0   1   3   0   6   0   1   0  .143  .250  .286 
Elmer Singleton    R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Tommie Sisk        R  11   2   0   0   1   0   0   3   0   0   0  .182  .182  .455 
Bob Smith          L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Warren Spahn       L  20   4   1   0   0   4   0   5   0   0   1  .200  .320  .250 
Bill Stafford      R   8   2   0   0   1   0   0   0   0   0   0  .250  .250  .625 
Tracy Stallard     R  39  10   3   0   1   2   0   5   0   0   0  .256  .293  .410 
Wes Stock          R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Tom Sturdivant     R  13   4   0   0   0   1   0   1   0   0   0  .308  .357  .308 
Red Swanson        R   5   1   0   0   0   1   1   2   0   0   0  .200  .333  .200 
Ron Taylor         R   8   1   0   0   0   1   0   1   0   0   0  .125  .222  .125 
Bobby Tiefenauer   R   5   1   0   0   1   0   0   1   0   0   0  .200  .200  .800 
Paul Toth          R   4   3   2   0   1   0   0   0   0   0   0  .750  .750 2.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Trimble        R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
John Tsitouris     R  37   9   2   0   1   1   1   2   1   0   1  .243  .275  .378 
Jim Umbricht       R   5   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Ray Washburn       R  12   3   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Herm Wehmeier      R  16   4   0   1   2   0   0   1   0   1   0  .250  .250  .750 
Hoyt Wilhelm       R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Carl Willey        R  11   4   1   0   1   0   0   2   0   0   0  .364  .364  .727 
Stan Williams      R  29   8   0   0   1   0   0   1   0   0   0  .276  .276  .379 
Red Witt           R  13   3   0   0   0   1   0   2   0   0   0  .231  .286  .231 
Hal Woodeshick     L   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Al Worthington     R  15   6   1   0   3   5   1   1   1   0   1  .400  .545 1.067
