Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Acker          R   8   2   0   0   1   2   0   1   0   0   1  .250  .364  .625 
Juan Agosto        L   5   4   1   0   2   0   0   0   0   0   0  .800  .800 2.200 
Rick Aguilera      R  14   3   1   0   1   0   0   3   0   0   0  .214  .214  .500 
Doyle Alexander    R  10   1   1   0   0   0   0   3   0   0   0  .100  .100  .200 
Neil Allen         R  16   3   1   0   1   3   1   0   0   0   0  .188  .316  .438 
Porfi Altamirano   R   3   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Larry Andersen     R  21   4   1   1   1   1   0   5   0   0   1  .190  .217  .476 
Joaquin Andujar    R  29   5   2   0   0   4   1   3   0   0   1  .172  .265  .241 
Paul Assenmacher   L   4   0   0   0   0   2   1   1   0   0   0  .000  .333  .000 
Doug Bair          R   8   4   1   0   1   0   0   2   0   0   0  .500  .500 1.000 
Len Barker         R   4   2   0   0   0   2   0   2   0   0   0  .500  .667  .500 
Jim Barr           R   3   2   1   0   0   1   1   0   0   0   0  .667  .750 1.000 
Joe Beckwith       R   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Steve Bedrosian    R  19   1   0   0   1   9   0   8   0   0   0  .053  .357  .211 
Tim Belcher        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Juan Berenguer     R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Bruce Berenyi      R  22   9   3   0   1   1   0   6   0   0   0  .409  .435  .682 
Jim Bibby          R  11   3   0   0   1   0   0   3   0   0   0  .273  .273  .545 
Mike Bielecki      R  13   5   1   0   0   1   0   3   0   0   0  .385  .429  .462 
Tim Birtsas        L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Vida Blue          L   9   1   0   0   0   1   0   1   0   0   0  .111  .200  .111 
Greg Booker        R   8   0   0   0   0   1   0   1   0   0   0  .000  .111  .000 
Fred Breining      R  12   2   0   0   0   0   0   5   0   0   0  .167  .167  .167 
Tom Brennan        R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Tom Browning       L  47  10   0   0   2   1   0   5   0   0   2  .213  .220  .340 
Tim Burke          R  16   5   0   0   1   0   0   6   0   1   0  .313  .313  .500 
Ray Burris         R   9   5   1   0   0   2   0   1   0   0   0  .556  .636  .667 
Marty Bystrom      R  16   6   0   0   0   2   0   1   1   0   0  .375  .474  .375 
Rick Camp          R  20   4   1   0   2   1   0   6   0   0   0  .200  .238  .550 
Bill Campbell      R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
John Candelaria    L  19   6   1   0   0   1   1   6   0   0   0  .316  .350  .368 
Steve Carlton      L  43   8   1   0   0   3   1  14   0   0   0  .186  .239  .209 
Don Carman         L  15   1   0   0   0   2   0   4   0   0   0  .067  .176  .067 
Cris Carpenter     R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Norm Charlton      L   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
L. Christenson     R   7   1   0   0   0   1   0   3   0   0   0  .143  .250  .143 
David Cone         R  10   2   0   0   0   1   0   5   0   0   0  .200  .273  .200 
Tim Conroy         L   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Dennis Cook        L   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Danny Cox          R  36   7   1   0   0   3   0   6   0   0   0  .194  .256  .222 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ron Darling        R  55  15   3   0   4   7   0  13   0   0   0  .273  .355  .545 
Danny Darwin       R  15   5   0   0   1   2   0   2   0   0   1  .333  .389  .533 
Mark Davis         L  27   9   3   0   1   2   0   3   0   0   1  .333  .367  .556 
Bill Dawley        R  14   5   2   0   1   2   1   3   1   0   0  .357  .471  .714 
Ken Dayley         L   2   2   0   0   1   2   1   0   0   1   1 1.000  .800 2.500 
Jeff Dedmon        R  19   5   2   0   0   1   0   1   0   0   0  .263  .300  .368 
Jose DeLeon        R  28   7   2   0   1   0   0   8   0   0   0  .250  .250  .429 
Luis DeLeon        R  12   0   0   0   0   1   1   5   0   0   0  .000  .077  .000 
John Denny         R  24   4   1   0   0   2   1   3   0   0   0  .167  .231  .208 
Jim Deshaies       L   6   1   0   0   1   1   0   1   0   0   0  .167  .286  .667 
Carlos Diaz        L   8   2   0   0   1   1   1   1   0   0   0  .250  .333  .625 
Rob Dibble         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Frank DiPino       L   7   1   0   0   1   1   1   3   0   0   0  .143  .250  .571 
Kelly Downs        R   4   0   0   0   0   1   0   1   1   0   0  .000  .333  .000 
Doug Drabek        R  19   6   0   0   1   0   0   2   0   0   1  .316  .300  .474 
Dave Dravecky      L  23   4   0   1   0   3   1   0   0   0   0  .174  .269  .261 
Mike Dunne         R   7   2   0   0   0   2   0   1   0   0   0  .286  .444  .286 
Pete Falcone       L  13   3   0   0   2   2   0   1   0   0   0  .231  .333  .692 
Sid Fernandez      L  16   3   3   0   0   2   2   5   0   0   0  .188  .278  .375 
Brian Fisher       R   9   4   2   0   0   0   0   1   0   0   0  .444  .444  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Forsch         R  48  12   2   0   1   3   0   3   0   1   0  .250  .294  .354 
Terry Forster      L   5   1   0   0   0   3   2   1   0   0   0  .200  .500  .200 
John Franco        L  12   1   0   0   0   3   2   4   0   0   1  .083  .250  .083 
Todd Frohwirth     R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Woodie Fryman      L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Brent Gaff         R   3   1   0   0   1   1   1   1   0   0   1  .333  .400 1.333 
Rich Gale          R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Gene Garber        R  16   3   0   0   1   2   0   1   0   1   0  .188  .278  .375 
Wes Gardner        R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Scott Garrelts     R  20   4   1   0   0   1   0   3   1   0   0  .200  .273  .250 
Tom Glavine        L   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Dwight Gooden      R  44  12   1   0   3   5   0   9   0   0   1  .273  .340  .500 
Tom Gorman         L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Rich Gossage       R  13   5   0   1   0   0   0   5   0   0   0  .385  .385  .538 
Jim Gott           R  12   1   0   0   0   3   1   4   0   1   0  .083  .267  .083 
Mark Grant         R   4   1   0   0   0   3   0   1   0   1   0  .250  .571  .250 
