Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gerry Arrigo       L  10   7   2   0   0   1   0   2   0   0   0  .700  .727  .900 
Steve Blass        R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bobby Bolin        R  19   4   1   0   0   0   0   1   0   0   0  .211  .211  .263 
John Boozer        R   4   2   0   0   0   0   0   1   1   0   0  .500  .600  .500 
Jim Brewer         L  14   1   1   0   0   1   1   3   0   0   0  .071  .133  .143 
Nelson Briles      R  12   8   1   0   0   2   0   1   0   1   0  .667  .714  .750 
Jim Bunning        R  12   1   0   0   0   0   0   1   0   0   0  .083  .083  .083 
Steve Carlton      L  23   5   1   0   0   3   0   4   0   0   0  .217  .308  .261 
Clay Carroll       R   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Tony Cloninger     R  11   1   0   0   0   1   0   3   0   0   0  .091  .167  .091 
Ray Culp           R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Don Drysdale       R  11   4   0   0   0   1   0   2   0   0   0  .364  .417  .364 
Sammy Ellis        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dick Ellsworth     L  10   2   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Roy Face           R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Turk Farrell       R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
Jack Fisher        R   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Danny Frisella     R   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Woodie Fryman      L  21   6   1   1   0   2   0   1   0   0   0  .286  .348  .429 
Joe Gibbon         L   6   1   0   0   0   2   0   1   0   0   0  .167  .375  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Gibson         R  26   2   1   0   0   2   0   9   1   0   0  .077  .172  .115 
Mudcat Grant       R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Dick Hall          R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bill Hands         R  11   1   0   0   0   3   0   3   0   0   0  .091  .286  .091 
Bob Hendley        L   7   2   0   0   0   1   0   1   0   0   0  .286  .375  .286 
Ron Herbel         R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Ken Holtzman       L  19   2   0   1   0   1   0   4   0   0   0  .105  .150  .211 
Al Jackson         L  10   3   1   0   0   0   0   2   0   0   0  .300  .300  .400 
Grant Jackson      L   6   2   1   0   0   0   0   4   0   0   0  .333  .333  .500 
Larry Jackson      R  11   5   0   0   1   0   0   2   1   0   0  .455  .500  .727 
Pat Jarvis         R  11   3   1   0   0   0   0   1   0   0   0  .273  .273  .364 
Larry Jaster       L  16   3   0   0   0   1   0   0   0   0   0  .188  .235  .188 
Fergie Jenkins     R  10   2   2   0   0   1   0   3   0   0   0  .200  .273  .400 
Ken Johnson        R  11   3   0   0   1   0   0   3   2   0   0  .273  .385  .545 
Mike Kekich        L   3   2   1   0   0   1   0   1   0   0   0  .667  .750 1.000 
Dick Kelley        L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Cal Koonce         R   7   2   1   0   0   0   0   0   0   0   0  .286  .286  .429 
Jerry Koosman      L  14   1   1   0   0   1   0   4   0   0   0  .071  .133  .143 
Sandy Koufax       L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Jack Lamabe        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Denny Lemaster     L   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Frank Linzy        R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jim Maloney        R  13   3   1   0   0   3   0   5   0   0   0  .231  .375  .308 
Juan Marichal      R  16   2   0   0   1   1   0   3   0   0   0  .125  .176  .313 
Al McBean          R   8   3   0   0   0   1   0   0   0   1   0  .375  .444  .375 
Mike McCormick     L  21   8   0   0   2   1   0   1   0   1   0  .381  .409  .667 
Lindy McDaniel     R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Joe Moeller        R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Bob Moose          R   8   2   0   0   1   0   0   0   0   0   0  .250  .250  .625 
Joe Niekro         R   9   2   0   0   0   0   0   0   0   0   0  .222  .222  .222 
Phil Niekro        R   7   2   0   0   0   1   0   3   0   0   0  .286  .375  .286 
Joe Nuxhall        L   5   0   0   0   0   1   0   0   1   0   0  .000  .286  .000 
Rich Nye           L   8   2   1   0   0   0   0   1   0   0   0  .250  .250  .375 
Billy O'Dell       L   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Claude Osteen      L  28  10   4   0   0   2   1   1   0   0   0  .357  .400  .500 
Jim O'Toole        L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Milt Pappas        R   8   1   0   0   1   0   0   0   2   1   0  .125  .300  .500 
Ron Perranoski     L   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Gaylord Perry      R  15   3   0   0   0   1   0   3   0   0   0  .200  .250  .200 
Ron Reed           R   7   3   1   0   0   0   0   0   0   0   0  .429  .429  .571 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dennis Ribant      R   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Nolan Ryan         R   4   1   0   1   0   0   0   2   0   0   0  .250  .250  .750 
Ray Sadecki        L   8   1   1   0   0   2   0   2   0   0   0  .125  .300  .250 
Tom Seaver         R  10   2   1   0   0   0   0   4   0   0   0  .200  .200  .300 
Dick Selma         R   8   2   1   0   0   0   0   1   0   0   0  .250  .250  .375 
Don Shaw           L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Bob Shaw           R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Jim Shellenback    L   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Chris Short        L  28   6   0   1   0   2   0   6   0   0   1  .214  .258  .286 
Curt Simmons       L  12   4   2   0   0   0   0   2   0   1   0  .333  .333  .500 
Bill Singer        R  10   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 
Tommie Sisk        R  15   4   0   1   0   0   0   3   0   0   0  .267  .267  .400 
Don Sutton         R  18   4   0   0   1   1   0   3   0   0   0  .222  .263  .389 
Ron Taylor         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Charlie Vaughan    L   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 
Bob Veale          L  17   2   0   1   0   1   0   5   0   0   0  .118  .167  .235 
Gary Wagner        R   4   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
Ray Washburn       R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Rick Wise          R   5   3   2   0   0   0   0   0   0   0   0  .600  .600 1.000
