Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Paul Abbott        R   9   3   1   0   1   1   0   3   0   0   0  .333  .400  .778 
Juan Acevedo       R   4   2   1   0   0   1   0   2   0   0   1  .500  .500  .750 
Manny Acosta       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jeremy Affeldt     L  10   4   0   0   1   1   0   0   0   0   0  .400  .455  .700 
Rick Aguilera      R   6   2   0   0   2   3   1   1   0   0   1  .333  .500 1.333 
Scott Aldred       L   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
A. Alfonseca       R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Wilson Alvarez     L  17   1   0   0   0   2   0   4   0   0   1  .059  .150  .059 
Brian Anderson     L  11   3   0   0   0   0   0   4   0   0   1  .273  .250  .273 
Matt Anderson      R   3   1   0   0   1   3   3   1   1   0   0  .333  .714 1.333 
Kevin Appier       R  36   4   1   0   1   4   0  14   0   0   0  .111  .200  .222 
Tony Armas         R  21   8   4   0   0   6   0   2   0   0   0  .381  .519  .571 
Rolando Arrojo     R  20   4   0   0   1   3   1   4   2   0   0  .200  .360  .350 
Bronson Arroyo     R  24   5   0   0   1   1   0   5   3   0   0  .208  .321  .333 
Miguel Asencio     R   4   1   1   0   0   2   1   0   0   0   0  .250  .500  .500 
Andy Ashby         R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Paul Assenmacher   L   5   4   1   0   0   0   0   1   0   0   0  .800  .800 1.000 
Steve Avery        L   7   6   3   1   0   2   0   1   0   0   1  .857  .800 1.571 
Luis Ayala         R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bobby Ayala        R  11   5   1   0   3   3   0   3   0   0   0  .455  .571 1.364 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brandon Backe      R  13   4   1   0   1   3   0   2   0   0   1  .308  .412  .615 
Michael Bacsik     L   5   2   0   0   0   0   0   0   1   0   0  .400  .500  .400 
Cha-Seung Baek     R   8   3   1   0   0   0   0   1   0   0   0  .375  .375  .500 
Danys Baez         R   3   2   2   0   0   1   0   0   0   0   0  .667  .750 1.333 
James Baldwin      R  32  12   5   0   1   4   0   4   0   0   0  .375  .444  .625 
Willie Banks       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Miguel Batista     R  13   4   2   0   1   4   0   1   1   0   0  .308  .500  .692 
Rick Bauer         R   7   2   0   0   1   0   0   1   0   0   0  .286  .286  .714 
Rod Beck           R   6   3   0   0   3   0   0   1   0   0   0  .500  .500 2.000 
Erik Bedard        L   5   2   0   0   0   2   0   2   0   0   0  .400  .571  .400 
Joe Beimel         L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Tim Belcher        R  29   4   1   0   0   3   0   6   0   0   0  .138  .219  .172 
Matt Belisle       R   9   5   0   0   0   0   0   0   1   0   0  .556  .600  .556 
Heath Bell         R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Rob Bell           R  10   1   0   0   0   3   0   3   0   0   0  .100  .308  .100 
