Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R  14   2   1   0   0   1   0   1   0   0   0  .143  .200  .214 
Luis Aloma         R   3   1   1   0   0   0   0   0   0   1   0  .333  .333  .667 
Gene Bearden       L  14   7   0   0   1   1   0   1   0   0   0  .500  .533  .714 
Al Benton          R   5   4   0   0   0   1   0   0   0   0   0  .800  .833  .800 
Charlie Bishop     R  25   8   1   1   0   3   1   3   0   1   0  .320  .393  .440 
Mike Blyzka        R   4   2   2   0   0   1   0   0   0   0   0  .500  .600 1.000 
Hank Borowy        R   4   0   0   0   0   3   0   0   0   0   0  .000  .429  .000 
Cloyd Boyer        R   6   3   0   0   0   1   0   0   0   0   0  .500  .571  .500 
Tom Brewer         R  20   6   0   0   1   5   0   2   0   0   1  .300  .423  .450 
Lou Brissie        L  17   4   0   1   0   2   0   0   0   0   0  .235  .316  .353 
Dick Brodowski     R   4   0   0   0   0   2   0   0   1   0   0  .000  .429  .000 
Hal Brown          R  17   4   0   0   0   3   0   3   0   0   0  .235  .350  .235 
Harry Byrd         R  46  10   2   0   1   2   0   4   0   0   0  .217  .250  .326 
Tommy Byrne        L   7   2   0   0   0   1   0   1   1   0   0  .286  .444  .286 
Bob Cain           L  17   4   2   0   0   5   0   4   0   0   0  .235  .409  .353 
Art Ceccarelli     L   4   2   1   0   0   1   0   1   0   0   0  .500  .600  .750 
Bob Chakales       R   6   1   0   0   0   3   0   1   0   0   0  .167  .444  .167 
Joe Coleman        R  30  15   2   0   4   3   0   2   0   0   0  .500  .545  .967 
Sandy Consuegra    R  53  14   2   1   0   3   0   3   0   0   0  .264  .304  .340 
Ike Delock         R  15   3   1   0   0   5   0   0   0   0   0  .200  .400  .267 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Art Ditmar         R  13   3   0   0   1   0   0   0   0   0   1  .231  .214  .462 
Sonny Dixon        R  12   2   0   0   1   0   0   0   0   0   0  .167  .167  .417 
Joe Dobson         R  27  11   2   0   0   3   0   4   0   1   0  .407  .467  .481 
Dick Donovan       R  16   1   0   0   0   1   0   2   0   0   0  .063  .118  .063 
Fritz Dorish       R  25   3   1   0   0   3   0   3   0   1   0  .120  .214  .160 
Cliff Fannin       R  10   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Frank Fanovich     L   7   2   0   1   0   1   0   3   0   0   0  .286  .375  .571 
Bob Feller         R  60  19   4   0   3   3   0   7   0   0   0  .317  .349  .533 
Tom Ferrick        R   9   3   1   0   0   2   0   1   0   0   0  .333  .455  .444 
Jesse Flores       R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ben Flowers        R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Whitey Ford        L   4   2   1   0   0   1   0   0   0   0   0  .500  .600  .750 
Mike Fornieles     R  25   8   2   0   1   3   1   4   0   0   0  .320  .393  .520 
Dick Fowler        R  14   2   0   1   0   1   0   2   0   0   0  .143  .200  .286 
Howie Fox          R   4   1   1   0   0   1   1   0   0   0   0  .250  .400  .500 
Marion Fricano     R  30   5   0   0   0   2   1   0   0   0   0  .167  .219  .167 
Mike Garcia        R  96  26   4   0   2   6   0   4   0   0   1  .271  .311  .375 
Ned Garver         R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Tom Gorman         R  12   1   0   0   0   8   0   3   1   0   0  .083  .476  .083 
Johnny Gray        R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Gray           L  17   3   0   0   1   2   0   3   0   0   0  .176  .263  .353 
Bob Grim           R  15   5   1   0   1   3   0   2   1   0   0  .333  .474  .600 
Marv Grissom       R   8   2   0   0   0   1   0   1   0   0   0  .250  .333  .250 
Steve Gromek       R  21   5   1   0   1   1   0   0   0   0   0  .238  .273  .429 
Randy Gumpert      R  31   7   1   0   1   0   0   3   0   0   0  .226  .226  .355 
Bill Harrington    R   4   2   1   0   0   2   0   1   0   0   0  .500  .667  .750 
Mickey Harris      L  12   3   0   1   0   1   0   2   0   0   0  .250  .308  .417 
Jack Harshman      L   4   3   1   0   0   0   0   1   0   0   0  .750  .750 1.000 
Joe Haynes         R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Bill Henry         L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Ray Herbert        R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Ken Holcombe       R   6   2   1   0   0   1   0   0   0   0   0  .333  .429  .500 
Bobo Holloman      R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Bob Hooper         R  21   8   3   1   0   3   0   0   0   0   0  .381  .458  .619 
Dave Hoskins       R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Art Houtteman      R  23   7   0   0   1   1   0   2   0   1   0  .304  .333  .435 
Dixie Howell       R   5   1   0   0   0   2   0   0   0   0   0  .200  .429  .200 
Sid Hudson         R  31   5   0   0   0   3   0   0   1   0   0  .161  .257  .161 
Tom Hurd           R   3   1   0   0   0   1   1   1   0   0   0  .333  .500  .333 
Fred Hutchinson    R  14   7   0   0   2   0   0   1   0   0   0  .500  .500  .929 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Connie Johnson     R   4   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Don Johnson        R  23   6   1   1   0   6   1   3   1   0   0  .261  .433  .391 
Sam Jones          R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Howie Judson       R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Bob Keegan         R  15   3   0   0   0   4   2   1   0   0   0  .200  .368  .200 
Alex Kellner       L  30   7   1   0   0   1   0   4   0   0   0  .233  .258  .267 
Bill Kennedy       L  11   4   0   0   0   1   0   1   0   0   0  .364  .417  .364 
Leo Kiely          L  14   2   0   0   0   1   0   1   0   0   0  .143  .200  .143 
Ellis Kinder       R  29   8   1   0   0   3   0   4   0   0   0  .276  .344  .310 
Jim Konstanty      R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Jack Kralick       L   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Jack Kramer        R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Lou Kretlow        R  17   4   1   0   0   2   0   4   0   0   0  .235  .316  .294 
Johnny Kucab       R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Johnny Kucks       R   7   4   1   0   0   0   0   0   0   0   0  .571  .571  .714 
Mike Kume          R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Bob Kuzava         L  16   7   0   0   2   7   0   1   0   0   0  .438  .609  .813 
Jerry Lane         R   8   3   0   0   0   0   0   0   0   0   0  .375  .375  .375 
Don Larsen         R  32   9   4   0   0   4   0   6   0   0   0  .281  .361  .406 
Barry Latman       R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Lemon          R  67  19   3   0   1   8   0   4   2   0   0  .284  .377  .373 
Bobby Locke        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Eddie Lopat        L  22   7   0   1   0   1   0   2   0   0   0  .318  .348  .409 
Connie Marrero     R  27   8   1   1   1   2   0   2   0   0   0  .296  .345  .519 
Morrie Martin      L  22   6   3   0   0   2   0   1   0   0   0  .273  .333  .409 
Walt Masterson     R  17   2   1   0   0   4   0   2   0   0   0  .118  .286  .176 
Mickey McDermott   L  12   2   2   0   0   4   0   6   0   0   0  .167  .375  .333 
