Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Brian Anderson     L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kevin Appier       R  20   4   0   0   0   1   0   2   0   0   0  .200  .238  .200 
Stan Belinda       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Joe Boever         R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Brian Bohanon      L   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Ricky Bones        R   6   1   0   0   0   0   0   0   1   0   0  .167  .286  .167 
Shawn Boskie       R   3   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Billy Brewer       L   3   2   0   0   0   0   0   1   0   1   0  .667  .667  .667 
Kevin Brown        R   8   1   0   0   0   1   1   2   0   0   0  .125  .222  .125 
Tony Castillo      L   5   4   0   0   0   0   0   0   0   0   0  .800  .800  .800 
Mike Christopher   R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Roger Clemens      R   9   3   1   0   0   2   0   1   0   0   1  .333  .417  .444 
David Cone         R   8   2   1   0   0   0   0   0   0   0   0  .250  .250  .375 
F. Cordova         R   8   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Ron Darling        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Danny Darwin       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
John Doherty       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Scott Erickson     R   8   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Alex Fernandez     R  10   2   0   0   0   1   0   2   0   0   0  .200  .273  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Glavine        L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Greg Gohr          R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Tom Gordon         R  10   0   0   0   0   1   0   2   0   0   0  .000  .091  .000 
Kevin Gross        R   5   0   0   0   0   0   0   1   1   0   0  .000  .167  .000 
Mark Gubicza       R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Juan Guzman        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Mike Harkey        R   5   1   0   0   1   1   0   0   0   0   0  .200  .333  .800 
Pat Hentgen        R  15   2   0   0   0   0   0   0   0   0   0  .133  .133  .133 
R. Hernandez       R   8   2   0   0   0   1   0   2   0   0   0  .250  .333  .250 
Orel Hershiser     R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Ken Hill           R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
S. Hitchcock       L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Randy Johnson      L  16   5   0   0   0   0   0   6   0   0   0  .313  .313  .313 
Doug Jones         R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
S. Kamieniecki     R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Brian Keyser       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Al Leiter          L   6   2   1   0   0   1   0   0   0   0   0  .333  .429  .500 
Mike Magnante      L   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Kirk McCaskill     R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Ben McDonald       R   8   2   0   0   1   0   0   2   0   0   0  .250  .250  .625 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack McDowell      R  14   5   0   2   0   0   0   0   0   0   0  .357  .357  .643 
Rusty Meacham      R   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Jose Mesa          R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Mike Moore         R   6   4   1   0   0   0   0   0   0   0   0  .667  .667  .833 
Trey Moore         L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Terry Mulholland   L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mike Mussina       R   6   1   1   0   0   1   0   1   0   0   0  .167  .286  .333 
Charles Nagy       R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Denny Neagle       L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Chad Ogea          R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Omar Olivares      R   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
Donn Pall          R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Roger Pavlik       R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Melido Perez       R  10   2   1   0   0   0   0   0   0   0   0  .200  .200  .300 
H. Pichardo        R   6   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Eric Plunk         R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Paul Quantrill     R   4   1   0   0   1   0   0   0   0   1   0  .250  .250 1.000 
Brad Radke         R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Carlos Reyes       R   4   1   0   1   0   1   1   0   0   0   0  .250  .400  .750 
Todd Ritchie       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ken Ryan           R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Dan Serafini       L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Aaron Small        R   4   4   0   0   0   0   0   0   0   0   0 1.000 1.000 1.000 
Dave Stewart       R   4   3   2   0   0   0   0   1   0   1   0  .750  .750 1.250 
Kevin Tapani       R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Bob Tewksbury      R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Mike Trombley      R   7   2   0   0   0   1   0   0   0   0   0  .286  .375  .286 
Tim VanEgmond      R   5   0   0   0   0   1   0   0   0   0   1  .000  .143  .000 
Tim Wakefield      R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Matt Whiteside     R   3   0   0   0   0   1   0   1   0   1   0  .000  .250  .000 
Bob Wickman        R   6   4   0   0   0   0   0   0   0   0   0  .667  .667  .667 
Woody Williams     R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Mark Williamson    R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
