Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Allan Anderson     L   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Paul Assenmacher   L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Floyd Bannister    L   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Steve Bedrosian    R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Mike Birkbeck      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Buddy Black        L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Bert Blyleven      R   5   1   0   0   0   0   0   3   1   0   0  .200  .333  .200 
Kevin Brown        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Tom Browning       L   9   1   0   0   1   3   1   4   0   0   0  .111  .333  .444 
Tim Burke          R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Steve Carlton      L   9   2   0   0   1   0   0   3   0   0   0  .222  .222  .556 
Don Carman         L  15   2   0   0   1   1   0   2   0   0   0  .133  .188  .333 
Tim Conroy         L   5   0   0   0   0   2   1   1   0   0   0  .000  .286  .000 
Mark Davis         L   3   2   0   0   1   1   0   0   0   0   0  .667  .750 1.667 
Bill Dawley        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jeff Dedmon        R   3   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Jim Deshaies       L   9   1   0   0   1   1   1   4   0   0   0  .111  .200  .444 
Dave Dravecky      L  10   3   0   0   1   3   0   1   0   0   0  .300  .462  .600 
Sid Fernandez      L  22   4   0   0   3   2   0   2   1   0   1  .182  .269  .591 
John Franco        L   3   2   1   0   0   1   0   1   0   0   0  .667  .750 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Glavine        L  10   4   0   0   1   1   0   2   0   0   0  .400  .455  .700 
