Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
A. Alfonseca       R   5   2   0   0   1   1   0   2   0   0   0  .400  .500 1.000 
Luis Ayala         R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Brandon Backe      R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Josh Beckett       R   9   1   0   1   0   1   0   4   0   0   0  .111  .200  .333 
A.J. Burnett       R  12   5   3   0   1   0   0   3   0   0   0  .417  .417  .917 
Chris Capuano      L   9   1   0   0   0   0   0   7   0   0   0  .111  .111  .111 
Aaron Cook         R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Kyle Farnsworth    R   4   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Livan Hernandez    R  10   4   1   0   0   1   1   4   0   0   0  .400  .455  .500 
Tim Hudson         R   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Todd Jones         R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Al Leiter          L   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 
Jon Lieber         R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Esteban Loaiza     R  11   4   0   0   0   1   0   2   0   0   0  .364  .417  .364 
Gary Majewski      R   4   0   0   0   0   1   0   2   1   0   0  .000  .333  .000 
Eric Milton        L   4   3   1   0   0   1   0   1   0   0   0  .750  .800 1.000 
Guillermo Mota     R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Brett Myers        R  11   2   0   0   0   0   0   5   0   0   0  .182  .182  .182 
Tomo Ohka          R   4   3   1   0   1   1   0   1   1   0   0  .750  .833 1.750 
Russ Ortiz         R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Vicente Padilla    R   4   3   1   0   2   1   1   1   0   0   0  .750  .800 2.500 
John Patterson     R   9   2   0   0   0   1   1   0   0   0   0  .222  .300  .222 
Brad Penny         R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Andy Pettitte      L   8   2   0   0   0   1   0   2   0   0   0  .250  .333  .250 
Mark Prior         R   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Horacio Ramirez    L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jon Rauch          R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jason Schmidt      R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
John Smoltz        R   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
John Thomson       R   6   2   1   0   0   0   0   2   0   0   0  .333  .333  .500 
Claudio Vargas     R   4   3   1   1   0   0   0   1   0   0   0  .750  .750 1.500 
Dontrelle Willis   L  12   3   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Randy Wolf         L   5   3   1   0   1   1   1   1   0   0   0  .600  .667 1.400
