Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brian Bannister    R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Mitchell Boggs     R   3   2   0   1   0   1   0   0   0   0   0  .667  .750 1.333 
Blaine Boyer       R   6   0   0   0   0   1   0   0   0   0   0  .000  .143  .000 
Matt Cain          R   6   3   0   0   0   1   0   1   0   0   0  .500  .571  .500 
Chris Carpenter    R  13   5   0   0   0   0   0   1   0   0   0  .385  .385  .385 
Kevin Correia      R   7   3   0   1   0   1   0   2   0   0   0  .429  .500  .714 
Ryan Dempster      R   6   1   1   0   0   0   0   3   0   0   0  .167  .167  .333 
Octavio Dotel      R   4   3   2   1   0   0   0   1   0   0   0  .750  .750 1.750 
Ryan Franklin      R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Yovani Gallardo    R   6   0   0   0   0   3   0   3   0   0   0  .000  .333  .000 
Jon Garland        R   5   4   1   0   0   1   0   0   0   0   0  .800  .833 1.000 
Tom Gorzelanny     L   4   1   1   0   0   1   0   1   0   0   0  .250  .400  .500 
Kevin Gregg        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Rich Harden        R   9   1   0   0   0   0   0   4   0   0   0  .111  .111  .111 
Kevin Hart         R   5   2   0   0   0   1   0   2   0   0   0  .400  .500  .400 
LaTroy Hawkins     R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
J. Hellickson      R   8   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Felix Hernandez    R   6   2   0   0   1   0   0   3   0   0   0  .333  .333  .833 
David Huff         L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Phil Hughes        R   4   3   0   0   2   0   0   0   0   0   0  .750  .750 2.250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ubaldo Jimenez     R   8   2   1   0   1   0   0   4   0   0   0  .250  .250  .750 
Josh Johnson       R  13   6   0   0   0   0   0   5   0   0   0  .462  .462  .462 
Jeff Karstens      R   4   1   1   0   0   3   0   0   0   0   0  .250  .571  .500 
Hiroki Kuroda      R   7   0   0   0   0   1   0   3   0   0   0  .000  .125  .000 
Ted Lilly          L   4   1   0   0   0   0   0   1   1   0   0  .250  .400  .250 
Kyle Lohse         R   7   2   0   0   0   0   0   4   0   0   0  .286  .286  .286 
Braden Looper      R   6   2   0   0   1   0   0   0   1   0   0  .333  .429  .833 
Derek Lowe         R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Carlos Marmol      R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jason Marquis      R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Brandon McCarthy   R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Seth McClung       R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Daniel McCutchen   R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
James McDonald     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Trever Miller      L   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Brandon Morrow     R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Charlie Morton     R   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
Jason Motte        R   3   0   0   0   0   2   0   2   0   0   0  .000  .400  .000 
Hector Noesi       R   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Ricky Nolasco      R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ross Ohlendorf     R   6   2   0   0   1   0   0   0   0   0   0  .333  .333  .833 
Roy Oswalt         R  13   3   0   0   0   1   0   4   0   0   0  .231  .286  .231 
Jake Peavy         R   4   2   1   0   1   0   0   0   0   0   0  .500  .500 1.500 
Mike Pelfrey       R  10   3   2   0   0   2   0   0   0   0   0  .300  .417  .500 
David Phelps       R   5   4   1   0   0   0   0   1   0   0   0  .800  .800 1.000 
Joel Pineiro       R   7   1   1   0   0   0   0   3   0   0   0  .143  .143  .286 
Mariano Rivera     R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Wandy Rodriguez    L   4   1   0   0   0   2   0   1   0   0   0  .250  .500  .250 
Esmil Rogers       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Max Scherzer       R  11   2   0   0   2   1   0   7   0   0   0  .182  .250  .727 
James Shields      R   7   1   0   0   0   0   0   4   0   1   0  .143  .143  .143 
Ian Snell          R   8   4   2   0   1   2   0   1   0   0   0  .500  .600 1.125 
Anthony Swarzak    R   4   2   0   0   1   1   0   2   0   0   0  .500  .600 1.250 
Brad Thompson      R   6   2   0   0   1   1   0   2   0   0   0  .333  .429  .833 
Chris Volstad      R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Adam Warren        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Brandon Webb       R   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 
Randy Wells        R   6   1   1   0   0   0   0   2   0   0   0  .167  .167  .333 
Carlos Zambrano    R  13   4   1   1   0   4   0   4   0   0   0  .308  .471  .538
