Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L  15   3   1   0   0   1   0   2   0   0   0  .200  .250  .267 
Mark Acre          R   3   1   1   0   0   0   0   1   0   1   0  .333  .333  .667 
Rick Aguilera      R  14   0   0   0   0   1   0   1   0   0   0  .000  .067  .000 
Jose Alberro       R   3   1   1   0   0   0   0   0   0   0   1  .333  .250  .667 
Scott Aldred       L  12   1   0   0   0   2   0   0   0   0   0  .083  .214  .083 
Wilson Alvarez     L  34  10   2   0   0   1   0   3   1   1   0  .294  .333  .353 
Kevin Appier       R  43  11   1   0   1   3   0   3   0   0   1  .256  .298  .349 
Luis Aquino        R   6   1   0   0   0   0   0   1   0   1   0  .167  .167  .167 
Jack Armstrong     R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Rolando Arrojo     R  12   3   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Pedro Astacio      R   4   0   0   0   0   1   0   1   0   0   1  .000  .167  .000 
Steve Avery        L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Bobby Ayala        R   9   5   2   0   0   0   0   2   0   2   0  .556  .556  .778 
James Baldwin      R  21   6   4   0   0   1   0   0   0   2   0  .286  .318  .476 
Scott Bankhead     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Willie Banks       R   7   2   0   0   0   0   0   1   0   1   0  .286  .286  .286 
Tim Belcher        R  24   5   0   0   0   1   0   0   0   1   0  .208  .240  .208 
Stan Belinda       R   4   1   0   0   0   0   0   1   0   1   0  .250  .250  .250 
Andy Benes         R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Armando Benitez    R   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jason Bere         R  21   9   3   0   1   1   0   2   0   0   0  .429  .455  .714 
Willie Blair       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Doug Bochtler      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Brian Boehringer   R   5   2   0   1   0   0   0   1   0   0   0  .400  .400  .800 
Joe Boever         R  12   2   2   0   0   0   0   1   1   0   0  .167  .231  .333 
Brian Bohanon      L  10   4   1   0   0   2   0   0   0   0   0  .400  .500  .500 
Ricky Bones        R  24   4   0   1   0   0   0   3   0   1   0  .167  .167  .250 
Chris Bosio        R  13   3   0   0   0   0   0   2   0   0   0  .231  .231  .231 
Billy Brewer       L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Scott Brow         R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Kevin Brown        R  26   2   1   0   0   1   0   4   0   0   0  .077  .111  .115 
Dave Burba         R   9   2   0   0   0   0   0   1   0   1   0  .222  .222  .222 
John Burkett       R  19   4   1   0   0   1   0   2   0   0   0  .211  .250  .263 
Todd Burns         R   7   0   0   0   0   1   0   1   0   0   0  .000  .125  .000 
Greg Cadaret       L   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Tom Candiotti      R   4   1   0   0   0   1   0   2   1   0   0  .250  .500  .250 
Rafael Carmona     R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Chris Carpenter    R   9   1   1   0   0   0   0   1   1   0   0  .111  .200  .222 
