Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fred Baczewski     L   7   5   0   0   1   0   0   0   0   0   0  .714  .714 1.143 
Joe Black          R  13   4   1   0   1   2   1   1   0   0   0  .308  .400  .615 
Roger Bowman       L   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Ralph Branca       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Al Brazle          L  15   2   1   0   1   0   0   3   0   0   0  .133  .133  .400 
Harry Brecheen     L   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Cliff Chambers     L  12   1   0   0   0   0   0   1   0   0   0  .083  .083  .083 
Bubba Church       R  17   3   1   0   0   0   0   1   0   0   0  .176  .176  .235 
Jackie Collum      L   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Al Corwin          R   4   1   0   0   0   3   0   0   0   0   0  .250  .571  .250 
Roger Craig        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Murry Dickson      R  26   5   1   0   0   0   0   1   0   0   0  .192  .192  .231 
Karl Drews         R  31  11   1   0   0   0   0   0   0   0   0  .355  .355  .387 
Eddie Erautt       R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Carl Erskine       R  31   8   0   0   1   2   0   4   0   0   0  .258  .303  .355 
Roy Face           R  14   5   0   0   0   0   0   1   0   0   0  .357  .357  .357 
Art Fowler         R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Bob Friend         R  43   5   1   0   1   1   0   3   0   2   0  .116  .136  .209 
Ned Garver         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Ruben Gomez        R  29   9   2   0   2   2   0   3   0   0   0  .310  .355  .586 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Marv Grissom       R   6   1   0   0   0   1   1   2   1   0   0  .167  .375  .167 
Warren Hacker      R  18   4   2   0   0   2   0   2   0   0   0  .222  .300  .333 
Harvey Haddix      L   9   2   1   0   0   3   1   0   0   0   0  .222  .417  .333 
Bob Hall           R  11   2   0   0   0   0   0   0   0   1   0  .182  .182  .182 
Andy Hansen        R  11   4   0   0   0   0   0   0   0   0   0  .364  .364  .364 
Jim Hearn          R  17   4   0   0   0   3   0   1   0   0   0  .235  .350  .235 
Johnny Hetki       R   9   3   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Frank Hiller       R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
