Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Glenn Abbott       R   7   2   1   0   0   0   0   2   0   0   0  .286  .286  .429 
Ross Baumgarten    L   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Jim Beattie        R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Reggie Cleveland   R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Danny Darwin       R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
John Denny         R   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Dennis Eckersley   R   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Rich Gale          R   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Ron Guidry         L   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Larry Gura         L   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Jesse Jefferson    R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Fergie Jenkins     R   6   1   0   0   1   0   0   1   0   0   0  .167  .167  .667 
Matt Keough        R   7   2   1   0   0   0   0   2   1   0   0  .286  .375  .429 
Jim Kern           R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Rick Langford      R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Dennis Leonard     R   5   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Renie Martin       R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Tippy Martinez     L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jon Matlack        L   5   0   0   0   0   0   0   3   1   0   0  .000  .167  .000 
Rudy May           L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve McCatty      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Scott McGregor     L   7   1   0   0   0   0   0   1   0   1   0  .143  .143  .143 
Doc Medich         R   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Balor Moore        L   5   3   2   0   0   0   0   0   0   0   0  .600  .600 1.000 
Mike Norris        R   8   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jim Palmer         R   6   2   0   1   0   0   0   1   0   0   0  .333  .333  .667 
Dave Stieb         R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Steve Stone        R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Mike Torrez        R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Steve Trout        L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Pat Underwood      L   5   3   0   0   1   1   0   1   0   0   0  .600  .667 1.200 
Tom Underwood      L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Milt Wilcox        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200
