Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Bunning        R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Bud Daley          L   3   0   0   0   0   2   0   2   0   0   0  .000  .400  .000 
Whitey Ford        L   9   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Paul Foytack       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Mike Garcia        R   7   1   0   0   0   1   0   4   0   0   0  .143  .250  .143 
Jack Harshman      L   8   2   0   0   2   0   0   2   0   0   0  .250  .250 1.000 
Billy Hoeft        L  13   3   0   0   1   3   0   2   0   0   0  .231  .375  .462 
Bob Keegan         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Alex Kellner       L   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Mickey McDermott   L   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Don Mossi          L   8   4   0   0   0   3   1   1   0   0   0  .500  .636  .500 
Ray Narleski       R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Willard Nixon      R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Mel Parnell        L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Billy Pierce       L  17   1   1   0   0   2   0   7   0   0   0  .059  .158  .118 
Bobby Shantz       L   5   3   0   0   0   1   0   0   0   0   0  .600  .667  .600 
Lou Sleater        L   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Chuck Stobbs       L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dean Stone         L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jack Urban         R   4   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Wiesler        L   5   0   0   0   0   3   0   3   0   0   0  .000  .375  .000 
Early Wynn         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000
