Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Acker          R   7   2   0   1   0   1   0   2   0   0   1  .286  .333  .571 
Rick Aguilera      R  12   4   0   1   1   0   0   0   0   0   0  .333  .333  .750 
Doyle Alexander    R  17   3   1   0   0   0   0   3   0   1   0  .176  .176  .235 
Neil Allen         R   7   1   1   0   0   1   1   1   0   1   0  .143  .250  .286 
Porfi Altamirano   R   3   1   1   0   0   1   1   0   0   0   0  .333  .500  .667 
Larry Andersen     R  11   2   1   0   0   4   2   2   0   0   0  .182  .400  .273 
Rick Anderson      R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Joaquin Andujar    R  48  15   3   2   1   2   1   4   0   0   0  .313  .340  .521 
Paul Assenmacher   L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Stan Bahnsen       R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Doug Bair          R   7   4   1   0   0   1   0   2   0   0   0  .571  .625  .714 
Len Barker         R   7   2   2   0   0   1   0   3   0   0   0  .286  .375  .571 
Jim Barr           R   6   4   1   1   0   1   1   0   0   0   0  .667  .714 1.167 
Joe Beckwith       R   5   0   0   0   0   3   3   2   0   0   0  .000  .375  .000 
Steve Bedrosian    R  22   9   2   1   2   4   3   4   0   0   0  .409  .500  .864 
Bruce Berenyi      R  26   7   1   0   0   4   0   4   0   0   0  .269  .367  .308 
Jim Bibby          R   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
Mike Bielecki      R  13   1   0   0   0   0   0   1   0   0   1  .077  .071  .077 
Vida Blue          L  10   1   0   0   0   0   0   1   0   0   0  .100  .100  .100 
Bert Blyleven      R   7   2   1   0   0   0   0   2   0   0   0  .286  .286  .429 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tommy Boggs        R  11   3   2   0   0   1   0   2   0   0   0  .273  .333  .455 
Mark Bomback       R  18   8   0   0   2   0   0   1   0   0   0  .444  .444  .778 
Greg Booker        R   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Larry Bradford     L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Fred Breining      R   6   1   0   0   0   1   1   2   0   0   0  .167  .286  .167 
