Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Bagby          R   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Ed Bahr            R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Red Barrett        R   9   3   1   0   0   0   0   3   0   0   0  .333  .333  .444 
Frank Barrett      R   4   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Joe Beggs          R   6   2   0   0   0   1   1   0   0   0   0  .333  .429  .333 
Vern Bickford      R   9   0   0   0   0   4   0   1   0   0   0  .000  .308  .000 
Ewell Blackwell    R  28   3   1   1   0   0   0   1   1   0   0  .107  .138  .214 
Dick Bokelmann     R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Tiny Bonham        R  10   3   2   0   0   0   0   1   0   0   0  .300  .300  .500 
Hank Borowy        R  18   6   1   0   1   2   0   2   0   0   0  .333  .400  .556 
Cloyd Boyer        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Ralph Branca       R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Al Brazle          L  22   6   1   1   0   2   0   1   0   0   0  .273  .333  .409 
Harry Brecheen     L  34  14   3   0   2   2   1   5   1   0   0  .412  .459  .676 
Tom Brewer         R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Mike Budnick       R   4   3   0   0   1   0   0   0   0   0   0  .750  .750 1.500 
Ken Burkhart       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Bud Byerly         R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Tommy Byrne        L   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Don Carlsen        R   3   0   0   0   0   0   0   1   1   0   0  .000  .250  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Cliff Chambers     L   9   1   0   0   1   1   0   1   0   0   0  .111  .200  .444 
Bob Chipman        L  12   2   1   0   0   2   0   1   0   0   0  .167  .286  .250 
Bubba Church       R   4   0   0   0   0   3   0   0   0   0   0  .000  .429  .000 
Jackie Collum      L   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Mort Cooper        R  16   4   0   0   0   1   1   1   0   0   0  .250  .294  .250 
Murry Dickson      R  33   7   0   1   1   6   1   1   0   2   0  .212  .333  .364 
Blix Donnelly      R  18   3   0   1   0   1   0   4   0   0   0  .167  .211  .278 
Dick Donovan       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Karl Drews         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Monk Dubiel        R  11   1   1   0   0   2   0   2   0   0   0  .091  .231  .182 
Eddie Erautt       R   6   5   1   0   1   0   0   0   0   0   0  .833  .833 1.500 
Paul Erickson      R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Carl Erskine       R   4   2   1   0   1   1   0   0   0   0   0  .500  .600 1.500 
Howie Fox          R  18   4   0   1   1   1   1   1   0   0   0  .222  .263  .500 
Harry Gumbert      R  17   5   0   0   0   1   0   2   0   0   0  .294  .333  .294 
Andy Hansen        R  24   6   0   0   1   6   0   0   0   0   0  .250  .400  .375 
Clint Hartung      R   7   2   0   0   0   2   1   0   0   0   0  .286  .444  .286 
Jim Hearn          R  11   3   1   0   0   1   1   2   0   0   0  .273  .333  .364 
Ken Heintzelman    L  27   5   0   0   1   2   1   2   0   0   0  .185  .241  .296 
Bill Henry         L   6   1   0   0   0   1   0   2   0   0   0  .167  .286  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Johnny Hetki       R  13   6   0   0   0   1   1   1   0   1   0  .462  .500  .462 
Ed Heusser         R  11   2   1   0   0   1   1   0   0   0   0  .182  .250  .273 
Kirby Higbe        R  14   5   1   1   0   3   0   4   0   0   0  .357  .471  .571 
Frank Hiller       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bobby Hogue        R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Tommy Hughes       R  19   3   1   0   0   1   1   1   0   0   0  .158  .200  .211 
Larry Jansen       R  34   8   1   0   0   2   0   7   0   0   0  .235  .278  .265 
Ernie Johnson      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Ken Johnson        L  10   3   0   0   0   0   0   1   0   0   0  .300  .300  .300 
Si Johnson         R   4   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Sheldon Jones      R  18   2   0   0   0   2   0   2   1   0   0  .111  .238  .111 
Oscar Judd         L  31  10   3   0   1   4   1   2   0   2   0  .323  .400  .516 
Alex Kellner       L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Monty Kennedy      L  32  11   1   0   2   6   0   1   0   0   0  .344  .447  .563 
Ron Kline          R   6   3   0   0   0   1   0   1   0   0   0  .500  .571  .500 
Jim Konstanty      R   4   0   0   0   0   3   0   1   0   0   0  .000  .429  .000 
Dave Koslo         L  49  14   1   3   1   5   1   1   0   1   0  .286  .352  .490 
Emil Kush          R  13   4   1   0   1   1   0   3   0   0   0  .308  .357  .615 
Doyle Lade         R   7   2   0   0   0   1   0   0   0   0   0  .286  .375  .286 
Max Lanier         L   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Thornton Lee       L   4   3   2   0   0   1   1   1   0   0   0  .750  .800 1.250 
Bill Lee           R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Dutch Leonard      R  33  11   1   0   0   3   0   2   1   0   0  .333  .405  .364 
Buddy Lively       R  12   3   1   0   0   2   0   6   0   1   0  .250  .357  .333 
Vic Lombardi       L   4   2   2   0   0   0   0   2   0   0   0  .500  .500 1.000 
Sal Maglie         R  19   2   1   0   0   1   0   2   0   0   0  .105  .150  .158 
Dutch McCall       L   8   3   0   0   1   1   0   0   0   0   0  .375  .444  .750 
Russ Meers         L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Russ Meyer         R  22   6   0   1   2   1   1   3   0   0   0  .273  .304  .636 
Paul Minner        L   5   3   0   0   1   1   0   0   0   0   0  .600  .667 1.200 
V. Mizell          L   2   1   0   0   0   2   0   1   0   0   0  .500  .750  .500 
Bob Muncrief       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Red Munger         R  26   7   0   0   0   0   0   4   0   0   0  .269  .269  .269 
F. Ostermueller    L  30  13   5   2   0   1   0   1   0   0   0  .433  .452  .733 
Claude Passeau     R   5   1   0   0   0   1   1   2   0   0   0  .200  .333  .200 
Harry Perkowski    L   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Kent Peterson      L  16   6   1   0   0   2   1   1   0   0   0  .375  .444  .438 
Billy Pierce       L   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
Ray Poat           R   8   2   1   0   0   1   1   1   0   0   0  .250  .333  .375 
Bud Podbielan      R   6   0   0   0   0   1   0   2   0   1   0  .000  .143  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Howie Pollet       L  60  17   1   2   0  11   4   2   0   0   0  .283  .394  .367 
Nels Potter        R   8   0   0   0   0   1   0   1   0   1   0  .000  .111  .000 
Mel Queen          R   8   2   1   0   0   2   0   0   0   0   0  .250  .400  .375 
K. Raffensberger   L  51   8   0   0   1   4   3   5   0   1   0  .157  .218  .216 
Elmer Riddle       R  10   4   1   0   2   0   0   2   0   0   0  .400  .400 1.100 
Robin Roberts      R   6   2   0   0   1   0   0   0   0   0   0  .333  .333  .833 
Preacher Roe       L  11   3   0   0   1   2   1   1   0   0   0  .273  .385  .545 
Saul Rogovin       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Schoolboy Rowe     R  19   5   0   0   1   0   0   3   0   1   0  .263  .263  .421 
Johnny Sain        R  36   9   1   0   0   1   0   4   1   2   0  .250  .289  .278 
Charley Schanz     R   5   2   0   0   0   1   1   1   0   0   0  .400  .500  .400 
Johnny Schmitz     L  55  12   3   1   0   9   2   5   0   0   0  .218  .328  .309 
Bob Schultz        L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Rip Sewell         R   5   0   0   0   0   1   1   0   0   0   0  .000  .167  .000 
Clyde Shoun        L   6   3   1   0   0   1   1   0   0   0   0  .500  .571  .667 
Curt Simmons       L  14   2   1   0   0   1   0   5   0   0   0  .143  .200  .214 
Elmer Singleton    R   5   3   0   0   2   2   2   0   0   1   0  .600  .714 1.800 
Frank Smith        R   6   1   0   0   1   0   0   0   0   0   0  .167  .167  .667 
Warren Spahn       L  72  14   2   0   3   4   1  12   0   0   0  .194  .237  .347 
George Spencer     R   4   2   0   0   1   1   0   0   0   0   0  .500  .600 1.250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gerry Staley       R  15   7   1   0   0   1   1   3   0   0   0  .467  .500  .533 
Charley Stanceu    R   4   0   0   0   0   1   0   1   0   1   0  .000  .200  .000 
Nick Strincevich   R  11   3   0   1   0   1   1   0   0   0   0  .273  .333  .455 
Max Surkont        R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Junior Thompson    R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Ken Trinkle        R  16   2   0   0   0   1   0   2   0   0   0  .125  .176  .125 
J. Vander Meer     L  31   9   0   0   1   6   2   4   0   1   0  .290  .405  .387 
Bill Voiselle      R  28   4   0   1   0   2   0   8   0   1   0  .143  .200  .214 
Junior Walsh       R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Bucky Walters      R  22   7   2   1   0   2   0   2   0   0   0  .318  .375  .500 
Herm Wehmeier      R  12   2   0   0   0   2   0   2   0   0   0  .167  .286  .167 
Bill Werle         L   9   4   1   0   2   5   1   1   0   0   0  .444  .643 1.222 
Ted Wilks          R  17   1   0   0   0   3   2   3   1   0   0  .059  .238  .059 
Roger Wolff        R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Ed Wright          R   7   3   0   1   0   0   0   0   0   0   0  .429  .429  .714 
Early Wynn         R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Hank Wyse          R  11   2   0   0   0   0   0   2   0   0   0  .182  .182  .182
