Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Manny Acosta       R   4   1   1   0   0   2   0   2   0   0   0  .250  .500  .500 
Jeremy Affeldt     L   6   2   1   0   0   0   0   2   0   0   0  .333  .333  .500 
H. Alvarez         R   9   3   1   0   1   0   0   2   0   0   0  .333  .333  .778 
Chris Archer       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Jose Arredondo     R   7   1   0   0   1   0   0   3   0   0   0  .143  .143  .571 
Jake Arrieta       R   8   4   0   1   1   0   0   3   1   0   0  .500  .556 1.125 
Bronson Arroyo     R  15   6   2   0   1   0   0   3   0   1   0  .400  .400  .733 
Luis Avilan        L   7   2   2   0   0   1   1   2   0   0   0  .286  .375  .571 
Burke Badenhop     R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Danys Baez         R   4   2   0   0   2   1   0   2   0   0   0  .500  .600 2.000 
Homer Bailey       R   6   1   0   0   0   1   0   2   0   0   0  .167  .286  .167 
Anthony Bass       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Antonio Bastardo   L   4   1   1   0   0   1   0   3   0   0   0  .250  .400  .500 
Miguel Batista     R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Brandon Beachy     R  10   3   0   0   0   4   0   5   1   0   0  .300  .533  .300 
Erik Bedard        L   6   3   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Matt Belisle       R   4   1   1   0   0   1   0   1   0   0   0  .250  .400  .500 
Heath Bell         R   4   0   0   0   0   0   0   4   0   0   1  .000  .000  .000 
R. Betancourt      R   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Chad Billingsley   R   5   0   0   0   0   0   0   3   1   0   0  .000  .167  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Blanton        R   7   1   0   0   0   1   0   3   0   0   1  .143  .222  .143 
Mitchell Boggs     R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
David Buchanan     R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Mark Buehrle       L  12   2   0   0   0   1   0   3   0   0   0  .167  .231  .167 
M. Bumgarner       L  17   5   0   0   0   2   1   5   1   0   0  .294  .400  .294 
A.J. Burnett       R  21   5   1   1   0   0   0   8   1   0   0  .238  .273  .381 
Trevor Cahill      R   9   3   0   0   1   1   0   3   0   0   0  .333  .400  .667 
Matt Cain          R  12   3   0   0   2   1   0   5   0   1   0  .250  .308  .750 
Chris Capuano      L  12   4   1   0   1   1   0   4   0   0   0  .333  .385  .667 
Andrew Cashner     R  10   1   1   0   0   1   0   3   0   0   1  .100  .167  .200 
Jhoulys Chacin     R   5   1   1   0   0   1   0   3   0   0   0  .200  .333  .400 
Aroldis Chapman    L   4   2   1   0   0   1   0   1   0   1   0  .500  .600  .750 
Wei-Yin Chen       L  10   1   1   0   0   0   0   4   0   0   0  .100  .100  .200 
Tony Cingrani      L   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Steve Cishek       R   9   0   0   0   0   1   0   7   1   0   0  .000  .182  .000 
Gerrit Cole        R   7   2   0   0   0   0   0   4   0   0   0  .286  .286  .286 
Josh Collmenter    R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Kevin Correia      R  11   3   0   0   0   0   0   2   0   0   1  .273  .250  .273 
Johnny Cueto       R  15   3   1   0   0   1   0   5   0   0   0  .200  .250  .267 
Justin De Fratus   R   4   0   0   0   0   0   0   2   1   0   0  .000  .200  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jacob deGrom       R   8   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 
Jorge de la Rosa   L   9   3   2   0   0   0   0   1   0   0   0  .333  .333  .556 
Rubby de la Rosa   R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Randall Delgado    R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Ryan Dempster      R   4   1   0   0   0   3   0   1   0   0   0  .250  .571  .250 
A. DeSclafani      R   6   2   1   0   1   0   0   0   0   0   0  .333  .333 1.000 
R.A. Dickey        R  26   4   1   0   0   1   0   4   0   0   0  .154  .185  .192 
Jake Diekman       L   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Zach Duke          L   5   3   0   0   1   0   0   1   0   0   0  .600  .600 1.200 
Michael Dunn       L   6   2   0   0   1   0   0   1   0   0   0  .333  .333  .833 
Chad Durbin        R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Nathan Eovaldi     R  11   3   1   0   1   1   0   3   1   0   0  .273  .385  .636 
Marco Estrada      R   7   1   1   0   0   0   0   0   1   0   0  .143  .250  .286 
Scott Feldman      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Jose Fernandez     R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
Michael Fiers      R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Doug Fister        R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Gavin Floyd        R   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
Jeff Francis       L   4   1   1   0   0   0   0   1   2   0   0  .250  .500  .500 
C. Friedrich       L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Yovani Gallardo    R  12   2   1   0   1   1   0   2   0   0   0  .167  .231  .500 
Freddy Garcia      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jaime Garcia       L  13   6   0   0   0   0   0   4   1   0   0  .462  .500  .462 
Matt Garza         R  17   4   1   0   0   0   0   7   0   0   0  .235  .235  .294 
Dillon Gee         R  18   4   1   0   0   3   0   3   1   0   0  .222  .364  .278 
Jeanmar Gomez      R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Zack Greinke       R   9   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Javy Guerra        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Matt Guerrier      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jeremy Guthrie     R   7   1   1   0   0   0   0   1   0   0   0  .143  .143  .286 
Roy Halladay       R  22   6   0   0   1   0   0   6   0   1   0  .273  .273  .409 
Cole Hamels        L  23   3   1   0   0   3   0   8   0   0   0  .130  .231  .174 
Jason Hammel       R   8   2   1   0   0   3   0   4   0   0   0  .250  .455  .375 
Brad Hand          L  13   5   2   1   0   1   0   2   0   0   0  .385  .429  .692 
Tommy Hanson       R  12   4   1   0   0   1   0   5   0   0   1  .333  .357  .417 
J.A. Happ          L   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Aaron Harang       R  17   6   0   0   0   2   0   4   0   0   1  .353  .400  .353 
Dan Haren          R   7   0   0   0   0   1   0   2   0   0   0  .000  .125  .000 
Lucas Harrell      R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Matt Harvey        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeremy Hefner      R  10   5   2   0   2   0   0   2   0   0   0  .500  .500 1.300 
Clay Hensley       R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
J.J. Hoover        R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Daniel Hudson      R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Tim Hudson         R  27   5   1   0   1   2   1  10   1   0   0  .185  .267  .333 
Edwin Jackson      R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Dan Jennings       L   5   3   1   0   0   1   0   1   0   0   0  .600  .667  .800 
Ubaldo Jimenez     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jim Johnson        R   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Josh Johnson       R  11   3   0   1   0   0   0   4   0   0   0  .273  .273  .455 
Taylor Jungmann    R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Jair Jurrjens      R  13   5   1   1   1   1   0   2   0   0   0  .385  .429  .846 
Kyle Kendrick      R  21   4   1   0   0   4   0   5   0   0   0  .190  .320  .238 
Ian Kennedy        R  11   2   0   0   1   0   0   4   1   1   0  .182  .250  .455 
Clayton Kershaw    L  14   2   1   0   0   0   0   7   0   0   0  .143  .143  .214 
Dallas Keuchel     L   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Craig Kimbrel      R  13   2   0   0   1   0   0   9   0   0   0  .154  .154  .385 
Tom Koehler        R  11   1   0   0   0   0   0   4   0   0   0  .091  .091  .091 
George Kontos      R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Hiroki Kuroda      R   6   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mat Latos          R   7   1   0   0   0   3   0   3   0   0   0  .143  .400  .143 
Mike Leake         R  16   3   1   0   1   2   0   4   1   0   0  .188  .316  .438 
Sam LeCure         R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Cliff Lee          L  23   9   2   0   3   0   0   6   0   0   0  .391  .391  .870 
Jon Lester         L   3   2   2   0   0   1   0   1   0   0   0  .667  .750 1.333 
Ted Lilly          L   5   1   0   0   0   0   0   4   0   0   0  .200  .200  .200 
Tim Lincecum       R   8   3   1   0   1   0   0   1   1   0   0  .375  .444  .875 
Brad Lincoln       R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
F. Liriano         L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Jeff Locke         L   7   1   1   0   0   1   0   2   0   0   0  .143  .250  .286 
Kameron Loe        R   4   2   0   1   0   0   0   0   0   0   0  .500  .500 1.000 
Kyle Lohse         R  13   3   0   0   1   0   0   3   1   0   0  .231  .286  .462 
Wilton Lopez       R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Derek Lowe         R  13   5   1   0   1   0   0   2   1   0   0  .385  .429  .692 
Jordan Lyles       R   7   1   0   0   1   0   0   1   0   1   0  .143  .143  .571 
Lance Lynn         R   9   3   0   0   2   2   1   2   0   1   0  .333  .455 1.000 
Paul Maholm        L  11   1   0   0   0   0   0   3   2   0   0  .091  .231  .091 
Sean Marshall      L   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
C. Martinez        R   9   2   1   0   0   0   0   2   0   0   0  .222  .222  .333 
Nick Masset        R   3   0   0   0   0   1   1   1   0   0   0  .000  .250  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brian Matusz       L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Daniel McCutchen   R   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 
James McDonald     R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Kris Medlen        R  10   2   0   0   0   0   0   6   0   0   0  .200  .200  .200 
Wade Miley         L   9   3   1   0   0   0   0   3   0   0   0  .333  .333  .444 
Shelby Miller      R  11   4   1   0   0   1   0   4   0   0   0  .364  .417  .455 
Mike Minor         L  15   5   3   0   1   1   0   4   0   0   0  .333  .375  .733 
Pat Misch          L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Franklin Morales   L   3   1   1   0   0   1   1   0   0   0   0  .333  .500  .667 
Bryan Morris       R   3   0   0   0   0   0   0   1   1   0   0  .000  .250  .000 
Edward Mujica      R   7   0   0   0   0   1   1   3   0   0   0  .000  .125  .000 
Brett Myers        R   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Chris Narveson     L   4   1   0   0   0   0   0   2   0   0   1  .250  .200  .250 
Jimmy Nelson       R   6   2   1   0   0   0   0   2   0   0   0  .333  .333  .500 
Jon Niese          L  21   9   1   0   1   0   0   5   0   1   0  .429  .429  .619 
Ricky Nolasco      R  17   0   0   0   0   2   0   6   2   0   1  .000  .182  .000 
Bud Norris         R  12   2   1   0   0   2   0   6   0   0   0  .167  .286  .250 
Leo Nunez          R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Eric O'Flaherty    L   7   1   1   0   0   1   0   0   0   0   0  .143  .250  .286 
Logan Ondrusek     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Sean O'Sullivan    R   3   1   0   0   1   1   0   1   0   0   0  .333  .500 1.333 
Roy Oswalt         R  16   3   0   0   0   0   0   7   1   0   0  .188  .235  .188 
J. Papelbon        R   7   1   0   0   0   0   0   4   0   0   0  .143  .143  .143 
Bobby Parnell      R   8   3   1   0   0   2   0   3   0   0   0  .375  .500  .500 
Manny Parra        L   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Jake Peavy         R   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Mike Pelfrey       R  13   6   1   0   1   1   0   4   0   0   0  .462  .500  .769 
Brad Penny         R   4   3   0   0   1   0   0   1   0   0   0  .750  .750 1.500 
Andy Pettitte      L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
