Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Acker          R   6   1   0   0   0   2   0   3   0   0   0  .167  .375  .167 
Hank Aguirre       L  18   3   0   0   0   0   0   2   1   0   0  .167  .211  .167 
Johnny Antonelli   L  17   5   1   0   1   1   0   6   0   0   0  .294  .333  .529 
Jim Archer         L   8   0   0   0   0   1   0   2   0   0   0  .000  .111  .000 
Steve Barber       L  21   6   1   0   0   4   0   1   0   1   0  .286  .400  .333 
Norm Bass          R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Frank Baumann      L  11   3   0   0   1   1   0   4   0   0   0  .273  .333  .545 
Bo Belinsky        L  15   1   0   0   1   1   0   4   0   0   0  .067  .125  .267 
Jim Bouton         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Ted Bowsfield      L   7   1   1   0   0   2   0   1   0   0   0  .143  .333  .286 
Marshall Bridges   L   6   2   1   0   0   1   0   3   0   0   0  .333  .429  .500 
Jim Brosnan        R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Hal Brown          R   5   2   0   0   0   2   0   0   0   0   0  .400  .571  .400 
Bob Buhl           R   8   1   1   0   0   1   0   2   0   0   0  .125  .222  .250 
Jim Bunning        R  10   2   0   0   2   0   0   4   0   0   0  .200  .200  .800 
Pete Burnside      L   7   2   0   0   1   2   0   1   0   0   1  .286  .400  .714 
John Buzhardt      R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Art Ceccarelli     L   1   0   0   0   0   3   0   0   0   0   0  .000  .750  .000 
Dean Chance        R   9   1   0   0   0   0   0   3   0   0   0  .111  .111  .111 
Galen Cisco        R   5   3   0   0   1   0   0   0   0   0   0  .600  .600 1.200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gene Conley        R  11   2   1   0   0   2   0   2   0   0   0  .182  .308  .273 
Bud Daley          L   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Bennie Daniels     R  11   5   1   0   1   1   0   3   0   0   0  .455  .500  .818 
Ike Delock         R   6   3   1   0   1   0   0   1   0   0   1  .500  .429 1.167 
Al Downing         L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Moe Drabowsky      R   5   2   1   0   1   2   0   2   0   0   0  .400  .571 1.200 
Arnold Earley      L   7   5   2   0   0   0   0   0   0   0   0  .714  .714 1.000 
Carl Erskine       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Chuck Estrada      R   7   2   1   0   0   0   0   0   1   0   0  .286  .375  .429 
Bill Fischer       R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Eddie Fisher       R   7   3   1   0   1   1   0   1   0   0   0  .429  .500 1.000 
Jack Fisher        R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Whitey Ford        L  21  11   1   0   3   0   0   2   0   0   1  .524  .500 1.000 
Mike Fornieles     R   7   1   1   0   0   0   0   4   0   0   0  .143  .143  .286 
