Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Paul Abbott        R   7   1   0   0   1   1   0   2   0   0   0  .143  .250  .571 
Juan Acevedo       R  12   4   1   0   0   2   0   5   1   0   0  .333  .467  .417 
Terry Adams        R  10   8   3   0   0   0   0   1   0   0   0  .800  .800 1.100 
Jeremy Affeldt     L   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
A. Alfonseca       R   7   2   1   0   0   1   0   2   0   0   0  .286  .375  .429 
Armando Almanza    L   5   2   1   0   1   0   0   2   0   0   0  .400  .400 1.200 
Wilson Alvarez     L   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Brian Anderson     L  17   3   0   0   0   0   0   1   0   0   0  .176  .176  .176 
Kevin Appier       R  10   4   0   0   3   0   0   3   0   0   0  .400  .400 1.300 
Bronson Arroyo     R  10   2   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Andy Ashby         R  24   6   1   0   0   2   0   5   0   0   0  .250  .308  .292 
Pedro Astacio      R  16   1   0   0   0   0   0   4   0   0   1  .063  .059  .063 
Steve Avery        L  14   3   1   0   1   1   0   2   1   0   0  .214  .313  .500 
Bobby Ayala        R   5   1   0   0   1   0   0   1   0   0   0  .200  .200  .800 
Manny Aybar        R   5   2   1   0   0   0   0   2   1   0   0  .400  .500  .600 
Danys Baez         R  13   5   1   0   0   2   0   3   0   0   0  .385  .467  .462 
Roger Bailey       R   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Cory Bailey        R   8   2   2   0   0   1   0   0   0   0   0  .250  .333  .500 
Scott Baker        R   5   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
James Baldwin      R  21   5   0   0   2   2   0   3   0   1   0  .238  .304  .524 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Willie Banks       R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Miguel Batista     R  11   3   0   0   1   0   0   2   0   0   0  .273  .273  .545 
Rick Bauer         R   7   2   2   0   0   0   0   1   0   0   0  .286  .286  .571 
Rod Beck           R   8   2   1   1   0   1   0   0   0   0   0  .250  .333  .625 
Erik Bedard        L   8   2   0   0   1   0   0   0   0   0   1  .250  .222  .625 
Matt Beech         L   4   1   0   0   0   0   0   2   1   0   0  .250  .400  .250 
Stan Belinda       R   4   3   1   0   1   0   0   1   0   0   0  .750  .750 1.750 
Rob Bell           R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Alan Benes         R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Andy Benes         R  10   2   0   0   0   1   1   0   1   0   0  .200  .333  .200 
Armando Benitez    R   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
Joaquin Benoit     R   7   4   0   0   1   2   0   1   0   0   0  .571  .667 1.000 
Kris Benson        R  12   2   0   0   1   1   0   4   0   0   1  .167  .214  .417 
Sean Bergman       R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
R. Betancourt      R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Willie Blair       R  14   5   1   0   1   1   0   2   0   0   0  .357  .400  .643 
Joe Blanton        R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Doug Bochtler      R   3   0   0   0   0   3   1   2   0   0   0  .000  .500  .000 
Brian Boehringer   R   3   2   0   0   0   1   0   0   0   1   0  .667  .750  .667 
Brian Bohanon      L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeremy Bonderman   R  17   3   2   0   0   0   0   4   1   0   0  .176  .222  .294 
Boof Bonser        R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Pedro Borbon       L   6   0   0   0   0   0   0   0   2   0   0  .000  .250  .000 
Dave Borkowski     R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Toby Borland       R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Ricky Bottalico    R   6   2   1   0   1   2   0   2   0   0   0  .333  .500 1.000 
Kent Bottenfield   R  11   5   1   0   2   0   0   0   1   0   1  .455  .462 1.091 
Micah Bowie        L   5   2   0   0   0   0   0   2   1   0   0  .400  .500  .400 
Chad Bradford      R   8   3   0   0   3   0   0   1   0   0   0  .375  .375 1.500 
Jeff Brantley      R   8   1   0   0   0   2   0   4   0   0   0  .125  .300  .125 
Jamie Brewington   R   3   3   0   0   2   1   0   0   0   0   0 1.000 1.000 3.000 
Doug Brocail       R   9   1   1   0   0   0   0   2   0   0   0  .111  .111  .222 
Chris Brock        R   7   2   0   0   1   2   0   1   0   0   1  .286  .400  .714 
Kevin Brown        R  18   3   0   0   0   0   0   3   1   0   0  .167  .211  .167 
Jim Bruske         R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Mark Buehrle       L   8   3   2   0   0   0   0   1   1   0   0  .375  .444  .625 
Jim Bullinger      R   5   1   1   0   0   1   0   2   0   0   0  .200  .333  .400 
Dave Burba         R  15   4   0   0   1   2   0   3   0   0   0  .267  .353  .467 
Ambiorix Burgos    R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
John Burkett       R  16   3   0   0   1   0   0   3   1   0   0  .188  .235  .375 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Sean Burnett       L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
David Bush         R   7   1   0   0   1   0   0   2   0   0   0  .143  .143  .571 
Paul Byrd          R  16   4   2   0   1   1   0   1   1   0   0  .250  .333  .563 
Daniel Cabrera     R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Kiko Calero        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mickey Callaway    R   5   2   1   0   1   1   0   1   0   0   0  .400  .500 1.200 
Shawn Camp         R   3   2   0   0   0   0   0   0   0   0   1  .667  .500  .667 
Tom Candiotti      R  11   1   1   0   0   1   0   1   0   0   0  .091  .167  .182 
Chris Carpenter    R   8   3   0   0   0   2   0   3   1   0   0  .375  .545  .375 
D.J. Carrasco      R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Hector Carrasco    R  10   4   1   0   0   1   0   3   0   0   0  .400  .455  .500 
Lance Carter       R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Frank Castillo     R  23   6   2   0   2   0   0   5   0   0   0  .261  .261  .609 
Shawn Chacon       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bruce Chen         L   6   2   0   0   1   0   0   1   0   0   0  .333  .333  .833 
Bobby Chouinard    R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
J. Christiansen    L   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Mark Clark         R   9   4   1   0   1   2   0   0   0   0   0  .444  .545  .889 
Roger Clemens      R  20   3   0   0   0   3   0   7   0   0   0  .150  .261  .150 
Matt Clement       R   6   3   0   0   1   0   0   0   0   0   0  .500  .500 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brad Clontz        R   8   4   2   0   0   1   0   2   0   1   0  .500  .556  .750 
Bartolo Colon      R  30   6   1   0   2   2   1  13   0   0   0  .200  .250  .433 
David Cone         R   9   1   0   0   0   1   0   2   0   0   0  .111  .200  .111 
Jose Contreras     R   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Dennis Cook        L   4   2   0   0   0   0   0   1   1   1   0  .500  .600  .500 
F. Cordero         R   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
F. Cordova         R  22  13   2   1   1   1   0   0   0   0   0  .591  .609  .909 
Rheal Cormier      L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Nate Cornejo       R   8   0   0   0   0   1   0   1   0   0   0  .000  .111  .000 
Jesse Crain        R   6   1   0   0   1   1   0   0   0   0   0  .167  .286  .667 
Doug Creek         L   6   3   0   0   1   2   0   1   1   0   0  .500  .667 1.000 
Jack Cressend      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Rich Croushore     R   6   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Omar Daal          L  16   4   1   0   0   0   0   5   1   0   0  .250  .294  .313 
Vic Darensbourg    L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Danny Darwin       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Doug Davis         L  11   3   1   0   0   0   0   2   0   0   0  .273  .273  .364 
Jason Davis        R   6   1   1   0   0   0   0   3   0   0   0  .167  .167  .333 
Rick DeHart        L   4   3   0   0   2   0   0   0   0   0   0  .750  .750 2.250 
Mike DeJean        R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rich DeLucia       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ryan Dempster      R  13   4   2   0   1   0   0   1   0   0   0  .308  .308  .692 
Elmer Dessens      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jerry DiPoto       R   7   2   1   0   0   1   0   2   0   0   0  .286  .375  .429 
Glenn Dishman      L   3   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Juan Dominguez     R   7   2   1   0   0   2   0   1   0   0   0  .286  .444  .429 
Brendan Donnelly   R   6   2   0   0   0   1   0   2   0   0   0  .333  .429  .333 
Sean Douglass      R   7   3   0   1   1   0   0   1   0   0   0  .429  .429 1.143 
Darren Dreifort    R   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Ryan Drese         R   6   1   0   0   0   1   1   2   0   0   0  .167  .286  .167 
Travis Driskill    R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
J. Duchscherer     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Brian Edmondson    R   6   3   2   0   0   1   0   2   0   0   0  .500  .571  .833 
Dave Eiland        R   7   5   2   1   1   0   0   0   0   0   0  .714  .714 1.714 
Scott Elarton      R   6   0   0   0   0   1   0   2   0   0   1  .000  .125  .000 
Cal Eldred         R   8   3   1   0   0   1   0   2   0   0   0  .375  .444  .500 
Alan Embree        L   6   1   0   0   0   0   0   4   0   0   0  .167  .167  .167 
