Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack Aker          R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Stan Bahnsen       R   9   1   1   0   0   1   0   1   0   0   0  .111  .200  .222 
Vida Blue          L  13   1   0   0   1   0   0   2   0   0   0  .077  .077  .308 
Bert Blyleven      R  10   4   3   0   1   0   0   1   0   0   0  .400  .400 1.000 
Bobby Bolin        R   5   2   1   0   1   0   0   0   0   0   0  .400  .400 1.200 
Dick Bosman        R  12   3   1   0   1   1   0   3   0   0   0  .250  .308  .583 
Dave Boswell       R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Tom Bradley        R   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Ken Brett          L  12   6   2   0   0   6   0   0   1   0   0  .500  .684  .667 
Jackie Brown       R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
George Brunet      L   7   3   0   0   1   0   0   0   0   0   0  .429  .429  .857 
Wally Bunker       R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Tom Burgmeier      L   7   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Bill Butler        L   8   2   1   0   0   2   0   1   0   0   0  .250  .400  .375 
Les Cain           L  10   3   0   0   1   1   0   3   0   0   0  .300  .364  .600 
Rickey Clark       R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Joe Coleman        R  24   5   0   0   3   1   0   7   0   0   0  .208  .240  .583 
Casey Cox          R   9   2   0   0   1   1   0   3   1   0   0  .222  .364  .556 
Mike Cuellar       L  23   7   4   0   0   2   0   2   0   0   0  .304  .360  .478 
Ray Culp           R  12   2   0   0   0   1   0   3   0   0   0  .167  .231  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
John Curtis        L   6   1   0   0   0   2   1   0   0   0   0  .167  .375  .167 
Bruce Dal Canton   R   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Chuck Dobson       R  12   1   0   0   0   0   0   1   0   0   0  .083  .083  .083 
Pat Dobson         R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Al Downing         L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dick Drago         R  12   2   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Rollie Fingers     R   9   2   1   0   0   0   0   2   0   0   0  .222  .222  .333 
Terry Forster      L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Woodie Fryman      L  11   3   0   0   1   2   0   1   1   0   0  .273  .429  .545 
Bill Gilbreth      L   2   0   0   0   0   1   1   2   1   0   0  .000  .500  .000 
Bill Gogolewski    R  10   3   1   0   0   0   0   0   0   0   0  .300  .300  .400 
Joe Grzenda        L   4   2   0   0   0   2   1   0   1   0   0  .500  .714  .500 
Dave Hamilton      L   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Jim Hannan         R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Jim Hardin         R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Mike Hedlund       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
John Hiller        L   6   3   0   0   1   1   0   1   0   0   0  .500  .571 1.000 
Ken Holtzman       L   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Joe Horlen         R  11   1   0   0   0   0   0   1   1   0   0  .091  .167  .091 
Catfish Hunter     R  14   4   0   0   1   0   0   1   2   0   0  .286  .375  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Grant Jackson      L   8   2   0   0   0   1   0   0   0   0   0  .250  .333  .250 
Gerry Janeski      R   4   1   1   0   0   1   0   0   1   0   0  .250  .500  .500 
Tommy John         L  16   4   1   0   2   1   0   3   1   0   0  .250  .333  .688 
Bart Johnson       R   6   2   1   0   0   1   0   0   0   0   0  .333  .429  .500 
Bob Johnson        R   9   2   0   0   0   1   0   4   0   0   0  .222  .300  .222 
Jim Kaat           L  16   1   0   0   0   4   0   3   0   0   0  .063  .250  .063 
Steve Kealey       R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Mike Kekich        L  15   5   2   0   0   4   1   0   0   0   0  .333  .474  .467 
Mike Kilkenny      L   8   3   1   0   0   0   0   1   0   0   0  .375  .375  .500 
Steve Kline        R  18   1   0   0   0   0   0   2   0   0   0  .056  .056  .056 
Darold Knowles     L   6   2   0   0   0   0   0   0   1   0   0  .333  .429  .333 
Cal Koonce         R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Lew Krausse        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Marcel Lachemann   R   3   0   0   0   0   2   0   2   0   0   0  .000  .400  .000 
Bill Lee           L  10   4   0   0   1   0   0   1   0   0   1  .400  .364  .700 
Dave Leonhard      R   8   0   0   0   0   1   0   1   0   0   0  .000  .111  .000 
Paul Lindblad      L   6   3   0   0   2   1   0   1   0   0   0  .500  .571 1.500 
Skip Lockwood      R  10   5   0   0   2   2   0   0   0   0   1  .500  .538 1.100 
Mickey Lolich      L  49  17   5   1   2   4   0   7   1   1   0  .347  .407  .612 
Jim Lonborg        R   6   1   0   0   1   0   0   2   1   0   0  .167  .286  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Sparky Lyle        L   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Jim Magnuson       L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Rudy May           L  23   2   0   0   0   3   0   5   0   0   0  .087  .192  .087 
Denny McLain       R   5   2   1   0   1   0   0   1   0   0   0  .400  .400 1.200 
Dave McNally       L  29   6   0   0   3   1   0   8   1   0   0  .207  .258  .517 
Andy Messersmith   R   8   3   0   0   0   1   1   3   0   0   0  .375  .444  .375 
Dave Morehead      R   5   2   0   0   0   1   1   0   0   0   0  .400  .500  .400 
Danny Murphy       R   4   1   0   0   1   1   0   0   0   0   0  .250  .400 1.000 
Tom Murphy         R   6   2   1   0   0   1   0   0   0   0   0  .333  .429  .500 
Mike Nagy          R   3   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Joe Niekro         R  10   6   2   0   1   1   0   0   0   0   0  .600  .636 1.100 
Blue Moon Odom     R   6   1   0   0   0   2   0   3   0   0   0  .167  .375  .167 
Don O'Riley        R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Jim Palmer         R  15   2   1   0   0   2   0   2   0   0   0  .133  .235  .200 
Bill Parsons       R   4   2   0   0   0   0   0   0   0   0   1  .500  .400  .500 
Daryl Patterson    R   4   0   0   0   0   0   0   0   1   0   0  .000  .200  .000 
Marty Pattin       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Ron Perranoski     L   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jim Perry          R  17   6   1   0   0   0   0   2   0   0   0  .353  .353  .412 
Gary Peters        L  21   7   1   0   1   2   0   4   1   0   0  .333  .417  .524 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fritz Peterson     L  38   5   0   0   1   4   0   5   0   0   0  .132  .214  .211 
Tom Phoebus        R   9   3   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Horacio Pina       R   6   4   1   0   0   1   0   1   1   0   0  .667  .750  .833 
Pete Richert       L   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Jim Rooker         L  11   5   1   0   1   1   0   1   0   0   0  .455  .500  .818 
Gary Ryerson       L   8   5   0   0   1   0   0   0   0   0   0  .625  .625 1.000 
Ken Sanders        R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
