Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Juan Acevedo       R   9   1   0   0   0   0   0   2   0   0   0  .111  .111  .111 
Terry Adams        R  11   3   0   0   0   1   0   3   0   0   0  .273  .333  .273 
Rick Aguilera      R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Carlos Almanzar    R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Wilson Alvarez     L   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Kevin Appier       R   8   2   0   0   0   1   0   2   1   0   0  .250  .400  .250 
Tony Armas         R   9   3   0   0   0   2   1   2   0   0   0  .333  .455  .333 
Bronson Arroyo     R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Andy Ashby         R  16   3   0   0   0   1   1   2   0   0   0  .188  .235  .188 
Pedro Astacio      R  27   9   1   0   1   4   1   2   0   0   0  .333  .419  .481 
Michael Bacsik     L   5   1   1   0   0   1   0   3   0   0   0  .200  .333  .400 
James Baldwin      R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Miguel Batista     R   7   3   1   0   0   0   0   1   0   0   0  .429  .429  .571 
Rob Bell           R   7   1   0   0   0   2   1   0   0   0   0  .143  .333  .143 
Andy Benes         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Armando Benitez    R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Kris Benson        R   8   2   0   0   0   1   0   2   0   0   0  .250  .333  .250 
Jason Bere         R   8   2   0   0   0   2   0   0   0   0   0  .250  .400  .250 
Brian Boehringer   R   3   1   0   0   0   1   0   2   0   0   2  .333  .333  .333 
Brian Bohanon      L   6   0   0   0   0   1   1   1   0   0   0  .000  .143  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Pedro Borbon       L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Ricky Bottalico    R   6   3   1   0   0   1   0   1   1   0   0  .500  .625  .667 
Kent Bottenfield   R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Jeff Brantley      R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Chris Brock        R   8   1   0   0   0   2   0   1   0   0   0  .125  .300  .125 
Jim Brower         R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Kevin Brown        R  14   4   1   0   0   1   0   3   1   0   0  .286  .375  .357 
John Burkett       R  11   3   1   0   0   0   0   1   0   0   0  .273  .273  .364 
Paul Byrd          R   5   3   1   1   0   0   0   0   0   0   0  .600  .600 1.200 
Jose Cabrera       R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
J. Christiansen    L   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Mark Clark         R   8   5   0   0   3   0   0   1   0   0   0  .625  .625 1.750 
Roger Clemens      R  10   3   0   0   0   2   0   2   0   0   0  .300  .417  .300 
Matt Clement       R   4   0   0   0   0   2   0   2   0   0   0  .000  .333  .000 
Bartolo Colon      R   7   3   0   1   0   1   0   1   0   0   0  .429  .500  .714 
F. Cordova         R  10   2   0   0   0   1   1   2   0   0   0  .200  .273  .200 
Jeff D'Amico       R   7   2   0   0   0   1   0   1   0   0   0  .286  .375  .286 
Vic Darensbourg    L   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Danny Darwin       R   5   4   1   0   1   2   0   0   0   0   0  .800  .857 1.600 
Mike DeJean        R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
V. de los Santos   L   5   3   1   0   0   1   0   1   0   0   0  .600  .667  .800 
Elmer Dessens      R  14   3   0   0   0   2   0   2   0   0   0  .214  .313  .214 
Jason Dickson      R   3   1   0   0   0   0   0   0   1   0   0  .333  .500  .333 
Octavio Dotel      R   5   0   0   0   0   2   0   2   0   0   0  .000  .286  .000 
Darren Dreifort    R  12   4   1   0   0   2   0   4   0   0   0  .333  .429  .417 
B. Duckworth       R  12   4   0   0   0   4   0   7   0   0   0  .333  .500  .333 
Adam Eaton         R   6   3   0   0   1   0   0   1   0   0   0  .500  .500 1.000 
Joey Eischen       L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Scott Elarton      R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Shawn Estes        L   6   1   1   0   0   1   0   1   0   0   0  .167  .286  .333 
Kyle Farnsworth    R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Alex Fernandez     R   9   2   1   0   0   0   0   3   0   0   0  .222  .222  .333 
Josh Fogg          R   8   2   0   0   1   1   1   1   0   0   0  .250  .333  .625 
Tom Glavine        L   7   1   0   0   0   2   1   0   0   0   0  .143  .333  .143 
Greg Gohr          R   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Wayne Gomes        R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Tom Gordon         R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Mike Grace         R   3   2   0   0   0   0   0   0   1   0   0  .667  .750  .667 
Danny Graves       R   7   2   0   0   1   0   0   1   0   0   0  .286  .286  .714 
Jason Grimsley     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Kevin Gryboski     R   2   1   0   0   0   2   1   0   0   0   0  .500  .750  .500 
Mark Guthrie       L   8   2   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Luther Hackman     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Joey Hamilton      R   7   1   1   0   0   1   0   0   2   0   0  .143  .400  .286 
Mike Hampton       L  12   4   1   0   0   0   0   2   1   0   0  .333  .385  .417 
Pete Harnisch      R  12   2   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Travis Harper      R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jimmy Haynes       R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Rick Helling       R   9   2   1   0   0   0   0   1   0   0   0  .222  .222  .333 
Pat Hentgen        R   9   5   0   1   0   2   0   0   0   0   0  .556  .636  .778 
Felix Heredia      L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Gil Heredia        R   4   2   0   0   0   1   1   0   1   0   0  .500  .667  .500 
Matt Herges        R   6   2   0   0   1   1   0   1   0   0   0  .333  .429  .833 
Dustin Hermanson   R  16   2   0   0   0   2   1   1   0   0   0  .125  .222  .125 
Livan Hernandez    R  16   2   1   0   0   3   0   6   1   0   0  .125  .300  .188 
R. Hernandez       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Orel Hershiser     R  10   2   0   0   0   2   0   1   0   0   0  .200  .333  .200 
Ken Hill           R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Trey Hodges        R   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Trevor Hoffman     R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jason Jacome       L   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Jason Jennings     R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Ryan Jensen        R   2   0   0   0   0   2   0   1   0   0   1  .000  .400  .000 
Jose Jimenez       R   7   1   0   0   0   0   0   3   1   1   0  .143  .250  .143 
Bobby Jones        R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jeff Juden         R   5   2   0   0   0   2   0   1   0   0   0  .400  .571  .400 
Scott Karl         L   7   2   1   0   0   0   0   2   0   0   0  .286  .286  .429 
Greg Keagle        R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Darryl Kile        R  11   4   2   0   0   1   1   0   0   0   0  .364  .417  .545 
Byung-Hyun Kim     R   4   0   0   0   0   0   0   4   3   0   0  .000  .429  .000 
Satoru Komiyama    R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Andy Larkin        R   5   3   0   0   0   1   0   0   0   0   0  .600  .667  .600 
Brian Lawrence     R   4   2   0   1   0   0   0   1   0   0   0  .500  .500 1.000 
Al Leiter          L  11   4   1   0   0   1   0   2   1   0   0  .364  .462  .455 
Jon Lieber         R  13   2   0   0   0   0   0   3   0   0   0  .154  .154  .154 
Kerry Ligtenberg   R   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Jose Lima          R  11   4   0   2   1   0   0   2   0   0   0  .364  .364 1.000 
Felipe Lira        R   5   1   1   0   0   1   0   1   0   0   0  .200  .333  .400 
Esteban Loaiza     R   6   2   1   0   0   0   0   2   0   0   0  .333  .333  .500 
Albie Lopez        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Greg Maddux        R  24   8   1   0   1   1   0   2   0   0   0  .333  .360  .500 
Mike Maddux        R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Mike Magnante      L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
