Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Juan Acevedo       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Wilson Alvarez     L   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Kevin Appier       R   7   1   0   0   1   0   0   2   0   0   0  .143  .143  .571 
Rolando Arrojo     R  11   4   1   0   2   0   0   4   0   0   0  .364  .364 1.000 
Andy Ashby         R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Pedro Astacio      R  11   3   0   0   1   0   0   2   0   0   0  .273  .273  .545 
James Baldwin      R   9   2   0   0   0   0   0   3   0   0   0  .222  .222  .222 
Rod Beck           R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Tim Belcher        R   4   1   0   0   1   1   0   0   0   0   0  .250  .400 1.000 
Sean Bergman       R   3   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
Rocky Biddle       R   6   2   0   0   1   0   0   2   0   0   0  .333  .333  .833 
Mark Buehrle       L   7   3   0   0   1   0   0   1   0   0   0  .429  .429  .857 
Dave Burba         R   5   1   0   1   0   2   0   2   0   0   0  .200  .429  .600 
John Burke         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
John Burkett       R   8   2   0   1   0   0   0   2   0   0   0  .250  .250  .500 
David Bush         R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Chris Carpenter    R   5   2   1   0   1   1   0   0   0   0   0  .400  .500 1.200 
Frank Castillo     R   5   1   0   0   0   0   0   3   0   0   1  .200  .167  .200 
Matt Clement       R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Bartolo Colon      R  13   3   0   0   0   1   0   3   0   0   1  .231  .267  .231 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
F. Cordova         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Danny Darwin       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jason Davis        R   4   1   0   0   1   1   0   1   0   0   0  .250  .400 1.000 
Zach Day           R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Elmer Dessens      R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Alan Embree        L   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Scott Erickson     R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Kelvim Escobar     R  18   2   0   0   0   0   0   9   0   0   1  .111  .105  .111 
Freddy Garcia      R  15   3   0   0   0   2   0   4   0   0   0  .200  .294  .200 
Jon Garland        R   8   5   0   0   2   0   0   0   0   0   0  .625  .625 1.375 
Gary Glover        R   8   2   1   0   0   0   0   0   1   0   0  .250  .333  .375 
Dwight Gooden      R   6   2   0   0   1   1   0   1   0   0   0  .333  .429  .833 
Danny Graves       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Zack Greinke       R   4   2   0   0   1   1   0   0   0   0   0  .500  .600 1.250 
Buddy Groom        L   8   2   1   0   0   0   0   2   0   0   0  .250  .250  .375 
Roy Halladay       R  10   1   0   0   0   0   0   2   0   0   0  .100  .100  .100 
Joey Hamilton      R   9   0   0   0   0   0   0   6   0   0   0  .000  .000  .000 
Pete Harnisch      R   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
S. Hasegawa        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
LaTroy Hawkins     R   8   1   0   0   0   1   0   1   0   0   0  .125  .222  .125 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rick Helling       R  11   3   1   0   0   1   0   4   0   0   1  .273  .308  .364 
Pat Hentgen        R  11   2   0   0   1   0   0   2   0   0   0  .182  .182  .455 
Felix Heredia      L   3   2   1   1   0   1   0   0   0   0   0  .667  .750 1.667 
Gil Heredia        R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
Dustin Hermanson   R   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
Livan Hernandez    R   8   2   1   0   0   1   0   1   0   0   0  .250  .333  .375 
O. Hernandez       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
R. Hernandez       R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Orel Hershiser     R   5   0   0   0   0   1   1   1   0   0   0  .000  .167  .000 
Tim Hudson         R  16   3   0   0   0   1   1   5   0   0   0  .188  .235  .188 
Hideki Irabu       R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Jason Johnson      R   3   2   1   0   0   0   0   0   0   0   1  .667  .500 1.000 
Steve Karsay       R   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
Darryl Kile        R   9   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Billy Koch         R   7   2   0   0   2   0   0   1   0   0   0  .286  .286 1.143 
John Lackey        R   9   3   0   0   0   0   0   3   0   0   0  .333  .333  .333 
Curt Leskanic      R   3   1   0   0   1   1   0   1   0   0   0  .333  .500 1.333 
Cory Lidle         R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Esteban Loaiza     R  13   7   1   0   0   2   0   1   0   0   0  .538  .600  .615 
Kyle Lohse         R   6   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rodrigo Lopez      R  14   5   0   0   1   1   0   2   0   0   1  .357  .375  .571 
Derek Lowe         R  10   1   0   0   1   0   0   2   0   0   0  .100  .100  .400 
Mike Magnante      L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mark Malaska       L   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Pedro Martinez     R  16   2   0   0   0   0   0   5   0   0   0  .125  .125  .125 
Joe Mays           R   9   3   0   0   2   0   0   3   0   0   0  .333  .333 1.000 
Gil Meche          R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Justin Miller      R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kevin Millwood     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Eric Milton        L   6   1   0   0   1   2   0   0   0   0   0  .167  .375  .667 
Jamie Moyer        L  16   3   0   1   1   0   0   4   0   0   0  .188  .188  .500 
Mark Mulder        L   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Brett Myers        R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
