Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
David Aardsma      R   3   0   0   0   0   0   0   1   1   0   0  .000  .250  .000 
Jim Abbott         L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Paul Abbott        R  18   7   0   0   3   4   0   3   1   0   1  .389  .500  .889 
Jeremy Accardo     R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Alfredo Aceves     R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Jeremy Affeldt     L  15   6   1   0   1   5   0   1   0   0   0  .400  .550  .667 
Rick Aguilera      R   9   4   0   0   0   0   0   2   0   0   0  .444  .444  .444 
Scott Aldred       L   8   1   1   0   0   0   0   1   0   0   0  .125  .125  .250 
Carlos Almanzar    R   3   2   0   0   2   2   1   0   0   0   0  .667  .800 2.667 
Juan Alvarez       L   3   3   0   0   3   2   0   0   0   0   0 1.000 1.000 4.000 
Wilson Alvarez     L  18   3   1   0   1   3   0   8   0   0   0  .167  .286  .389 
Brian Anderson     L  13   4   0   0   3   2   0   2   0   0   0  .308  .400 1.000 
Matt Anderson      R   2   0   0   0   0   4   0   0   0   0   0  .000  .667  .000 
Luis Andujar       R   4   4   0   0   0   0   0   0   0   0   0 1.000 1.000 1.000 
Kevin Appier       R  29   3   2   0   0   5   0   6   0   0   0  .103  .235  .172 
Jose Arredondo     R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Rolando Arrojo     R  17   4   0   0   0   4   1   3   0   0   0  .235  .381  .235 
Bronson Arroyo     R  21   8   2   0   4   0   0   5   2   0   0  .381  .435 1.048 
Andy Ashby         R   4   1   1   0   0   1   1   1   0   0   1  .250  .333  .500 
Paul Assenmacher   L  10   4   1   0   0   2   0   0   1   0   1  .400  .500  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Pedro Astacio      R  11   3   0   0   1   2   0   4   0   0   0  .273  .385  .545 
Steve Avery        L   3   3   0   0   1   1   0   0   0   0   0 1.000 1.000 2.000 
Dylan Axelrod      R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
