Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L   8   4   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Joel Adamson       L   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Scott Aldred       L   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Wilson Alvarez     L   7   0   0   0   0   0   0   2   0   1   1  .000  .000  .000 
Brian Anderson     L   7   2   0   0   0   1   0   2   0   0   0  .286  .375  .286 
Kevin Appier       R  12   1   0   0   0   1   0   5   0   0   0  .083  .154  .083 
James Baldwin      R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Tim Belcher        R   7   1   1   0   0   0   0   2   0   0   0  .143  .143  .286 
Andy Benes         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jason Bere         R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Mike Bielecki      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Willie Blair       R   6   2   1   0   0   0   0   3   0   0   0  .333  .333  .500 
Brian Bohanon      L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Ricky Bones        R   4   1   1   0   0   1   0   1   0   0   0  .250  .400  .500 
Chris Bosio        R   5   2   0   0   1   1   0   1   0   1   0  .400  .500 1.000 
Shawn Boskie       R   4   1   1   0   0   0   0   2   0   1   0  .250  .250  .500 
Kevin Brown        R   7   3   1   0   0   0   0   1   0   1   0  .429  .429  .571 
Mark Buehrle       L  10   6   1   0   1   0   0   0   0   0   0  .600  .600 1.000 
Dave Burba         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Chris Carpenter    R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tony Castillo      L   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Frank Castillo     R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Roger Clemens      R  15   1   0   0   0   1   0   5   1   0   0  .067  .176  .067 
Bartolo Colon      R   7   2   0   0   1   0   0   0   0   0   0  .286  .286  .714 
David Cone         R  10   2   0   0   0   1   0   5   0   0   0  .200  .273  .200 
Dennis Cook        L   3   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Tim Crabtree       R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Ron Darling        R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Danny Darwin       R  10   3   1   0   1   1   0   2   0   0   0  .300  .364  .700 
Doug Davis         L  11   1   0   0   0   1   0   1   0   0   0  .091  .167  .091 
John Doherty       R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Ryan Drese         R   5   1   0   0   0   0   0   2   0   0   1  .200  .167  .200 
Chad Durbin        R   5   3   0   1   0   0   0   0   0   0   0  .600  .600 1.000 
Dave Eiland        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Scott Erickson     R  11   4   0   0   0   2   0   0   0   0   0  .364  .462  .364 
Kelvim Escobar     R   7   2   1   0   0   0   0   3   0   0   0  .286  .286  .429 
Jeff Fassero       L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Alex Fernandez     R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Chuck Finley       L  19   7   1   0   0   4   0   6   0   0   0  .368  .478  .421 
Casey Fossum       L   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chris George       L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Dwight Gooden      R   4   0   0   0   0   1   0   1   1   0   0  .000  .333  .000 
Tom Gordon         R   7   0   0   0   0   1   0   6   0   1   0  .000  .125  .000 
Buddy Groom        L  14   4   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Eddie Guardado     L   7   0   0   0   0   1   0   3   0   0   0  .000  .125  .000 
Mark Gubicza       R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Juan Guzman        R   8   4   0   0   0   0   0   2   0   0   0  .500  .500  .500 
John Halama        L  15   2   0   0   0   1   0   5   0   1   0  .133  .188  .133 
Mike Hampton       L   4   3   0   0   0   0   0   1   0   0   0  .750  .750  .750 
Chris Haney        L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Erik Hanson        R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Rick Helling       R   5   2   1   0   0   2   0   1   0   0   1  .400  .500  .600 
Pat Hentgen        R   6   2   0   0   0   0   0   3   0   0   0  .333  .333  .333 
R. Hernandez       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Orel Hershiser     R   7   2   0   0   0   0   0   3   0   0   0  .286  .286  .286 
S. Hitchcock       L  11   1   0   1   0   1   0   6   0   0   0  .091  .167  .273 
Tim Hudson         R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Kazuhisa Ishii     L   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Jason Jacome       L   6   1   0   1   0   1   0   2   0   0   0  .167  .286  .500 
Randy Johnson      L  14   1   0   0   1   0   0  10   0   1   0  .071  .071  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Karsay       R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Joe Kennedy        L  12   5   2   0   1   0   0   4   0   0   0  .417  .417  .833 
Mark Kiefer        R   6   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Matt Kinney        R   2   1   0   0   0   1   0   0   0   1   0  .500  .667  .500 
Kerry Lacy         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Mark Langston      L   9   3   0   0   0   2   0   3   0   0   0  .333  .455  .333 
Al Leiter          L   6   1   1   0   0   3   0   3   0   0   0  .167  .444  .333 
Cory Lidle         R   7   1   1   0   0   0   0   3   0   0   0  .143  .143  .286 
Ted Lilly          L   8   2   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Felipe Lira        R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Esteban Loaiza     R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Kyle Lohse         R   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Albie Lopez        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Mike Maddux        R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mike Magnante      L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pedro Martinez     R   5   2   0   0   0   0   0   0   0   1   0  .400  .400  .400 
T.J. Mathews       R   6   3   0   0   1   0   0   3   0   0   0  .500  .500 1.000 
Darrell May        L   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
Ben McDonald       R   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Jack McDowell      R   8   4   1   1   1   0   0   2   0   0   0  .500  .500 1.250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gil Meche          R   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Jim Mecir          R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Ramiro Mendoza     R   7   2   1   0   0   0   0   2   0   0   1  .286  .250  .429 
Jose Mercedes      R   7   1   0   0   0   0   0   4   0   0   0  .143  .143  .143 
Jose Mesa          R   7   3   0   0   0   0   0   1   0   0   0  .429  .429  .429 
Chris Michalak     L   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Alan Mills         R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Eric Milton        L  14   4   2   0   0   0   0   3   0   0   0  .286  .286  .429 
Angel Miranda      L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Brian Moehler      R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Jamie Moyer        L  32   7   2   1   1   2   0   8   0   1   1  .219  .257  .438 
Mark Mulder        L  23   6   1   0   0   0   0   4   0   1   0  .261  .261  .304 
Terry Mulholland   L   5   1   0   0   0   0   0   2   0   1   0  .200  .200  .200 
Mike Mussina       R  12   2   0   0   0   0   0   6   0   1   0  .167  .167  .167 
Charles Nagy       R   8   1   0   0   0   0   0   3   0   0   0  .125  .125  .125 
