Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Kyle Abbott        L   5   3   0   0   0   2   0   0   0   0   0  .600  .714  .600 
Juan Acevedo       R   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 
Joel Adamson       L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Juan Agosto        L   4   2   0   1   0   0   0   0   0   0   0  .500  .500 1.000 
Rick Aguilera      R   9   2   2   0   0   0   0   3   0   0   0  .222  .222  .444 
Scott Aldred       L   7   2   1   0   0   1   0   0   0   0   0  .286  .375  .429 
Carlos Almanzar    R   3   1   1   0   0   0   0   0   0   0   1  .333  .250  .667 
Wilson Alvarez     L   9   3   0   0   0   3   0   0   0   0   0  .333  .500  .333 
Larry Andersen     R   9   4   1   1   0   0   0   4   0   0   0  .444  .444  .778 
Brian Anderson     L  15   4   0   0   0   1   1   1   0   1   0  .267  .313  .267 
Jimmy Anderson     L   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Luis Andujar       R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Kevin Appier       R  12   2   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Luis Aquino        R   6   5   1   1   0   0   0   0   0   0   0  .833  .833 1.333 
Rene Arocha        R   6   2   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Rolando Arrojo     R   5   3   0   0   1   0   0   0   0   0   0  .600  .600 1.200 
Andy Ashby         R  13   5   0   1   0   1   0   3   0   0   0  .385  .429  .538 
Pedro Astacio      R  24   9   0   0   1   2   0   4   0   0   0  .375  .423  .500 
Steve Avery        L  17   6   2   0   2   3   0   2   0   0   0  .353  .450  .824 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bobby Ayala        R   7   2   0   0   1   0   0   2   0   0   0  .286  .286  .714 
James Baldwin      R  10   3   0   0   0   1   1   2   0   1   0  .300  .364  .300 
Willie Banks       R   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Brian Barber       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Brian Barnes       L  18   5   0   0   0   1   0   2   0   0   0  .278  .316  .278 
Jose Bautista      R   9   4   1   0   0   0   0   2   0   0   0  .444  .444  .556 
Rod Beck           R   6   2   0   0   0   0   0   1   1   0   0  .333  .429  .333 
Steve Bedrosian    R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Tim Belcher        R  24   4   0   0   0   0   0   2   0   0   0  .167  .167  .167 
