Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Benton          R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Charlie Bishop     R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Bud Black          R   2   1   0   1   0   2   0   0   0   0   0  .500  .750 1.500 
Lou Brissie        L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Tommy Byrne        L   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Paul Calvert       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Joe Coleman        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Sandy Consuegra    R   4   2   0   0   0   1   0   0   0   1   0  .500  .600  .500 
Joe Dobson         R  11   3   0   1   0   1   0   4   0   0   0  .273  .333  .455 
Fritz Dorish       R   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Red Embree         R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Bob Feller         R  10   4   0   1   0   1   0   1   0   0   0  .400  .455  .600 
Tom Ferrick        R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Dick Fowler        R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Mike Garcia        R  20   5   0   0   0   3   0   2   0   0   0  .250  .348  .250 
Ned Garver         R   8   1   1   0   0   6   1   2   0   0   0  .125  .500  .250 
Ted Gray           L   6   1   0   1   0   1   0   2   0   0   0  .167  .286  .500 
Marv Grissom       R   3   1   0   1   0   2   0   0   0   0   0  .333  .600 1.000 
Steve Gromek       R  14   5   1   0   1   3   0   0   0   0   0  .357  .471  .643 
Mickey Harris      L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Haynes         R  12   5   0   0   0   0   0   1   0   0   0  .417  .417  .417 
Bob Hooper         R   8   3   1   0   0   2   0   0   0   0   0  .375  .500  .500 
Art Houtteman      R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Sid Hudson         R  13   1   1   0   0   1   0   1   0   0   0  .077  .143  .154 
Tex Hughson        R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Fred Hutchinson    R   9   2   0   0   0   1   0   0   0   0   0  .222  .300  .222 
Alex Kellner       L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Bill Kennedy       L   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Ellis Kinder       R  11   5   0   0   0   1   0   0   0   1   0  .455  .500  .455 
Lou Kretlow        R   5   3   1   0   0   4   0   1   0   0   0  .600  .778  .800 
Bob Kuzava         L   4   1   0   0   1   2   0   1   0   0   0  .250  .500 1.000 
Bob Lemon          R  10   2   0   0   0   3   0   1   0   1   0  .200  .385  .200 
Eddie Lopat        L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Dick Marlowe       R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Connie Marrero     R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Walt Masterson     R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Mickey McDermott   L   5   1   0   0   0   3   0   1   0   0   0  .200  .500  .200 
Jim McDonald       R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Julio Moreno       R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Hal Newhouser      L  13   4   0   0   0   1   0   2   0   0   0  .308  .357  .308 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Stubby Overmire    L   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Satchel Paige      R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Mel Parnell        L  12   2   0   0   0   1   0   4   0   0   0  .167  .231  .167 
Bob Porterfield    R  18   3   0   0   1   2   0   2   0   0   0  .167  .250  .333 
Vic Raschi         R  16   2   1   0   0   4   0   5   0   0   0  .125  .300  .188 
Allie Reynolds     R  13   1   1   0   0   1   0   3   0   1   0  .077  .143  .154 
Saul Rogovin       R   8   2   0   0   0   2   0   1   0   0   0  .250  .400  .250 
Fred Sanford       R   7   3   1   0   0   1   0   1   0   0   0  .429  .500  .571 
Ray Scarborough    R  12   1   0   0   0   0   0   0   0   1   0  .083  .083  .083 
Carl Scheib        R   6   2   1   1   0   0   0   0   0   0   0  .333  .333  .833 
Bobby Shantz       L   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
Spec Shea          R  11   3   1   1   0   3   0   2   0   0   0  .273  .429  .545 
Dick Starr         R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Chuck Stobbs       L   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Dizzy Trout        R   5   2   1   0   0   2   0   0   0   0   0  .400  .571  .600 
Virgil Trucks      R  10   2   2   0   0   3   0   3   0   0   0  .200  .385  .400 
Hal White          R   6   4   1   0   0   0   0   0   0   0   0  .667  .667  .833 
Bill Wight         L   5   2   0   0   1   1   0   0   0   1   0  .400  .500 1.000 
Early Wynn         R  24   3   0   0   0   4   0   6   0   1   0  .125  .250  .125 
Sam Zoldak         L   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333
