Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Manny Acosta       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jeremy Affeldt     L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Burke Badenhop     R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Antonio Bastardo   L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Blake Beavan       R   4   2   0   1   0   0   0   0   1   0   0  .500  .600 1.000 
Matt Belisle       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
R. Betancourt      R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Joe Blanton        R   7   1   0   0   0   0   0   0   0   0   1  .143  .125  .143 
Clay Buchholz      R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
M. Bumgarner       L   5   1   0   0   0   1   1   1   0   0   0  .200  .333  .200 
Matt Cain          R   5   1   0   1   0   0   0   3   0   0   0  .200  .200  .600 
Bruce Chen         L   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Aaron Cook         R   8   3   1   0   0   0   0   0   0   0   1  .375  .333  .500 
F. Cordero         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Johnny Cueto       R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Samuel Deduno      R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Jorge de la Rosa   L   5   2   1   0   0   1   0   0   0   0   0  .400  .500  .600 
Sam Demel          R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
R.A. Dickey        R   4   1   0   0   0   0   0   0   0   0   1  .250  .200  .250 
Chad Durbin        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Nelson Figueroa    R   9   1   0   0   0   2   1   0   0   0   0  .111  .273  .111 
Yovani Gallardo    R  10   1   0   0   0   0   0   4   0   1   0  .100  .100  .100 
Chad Gaudin        R   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Luke Gregerson     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jeremy Guthrie     R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Roy Halladay       R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Cole Hamels        L  16   5   0   1   0   1   1   2   1   0   0  .313  .389  .438 
Jason Hammel       R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tommy Hanson       R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Rich Harden        R   4   2   0   1   0   0   0   0   0   0   0  .500  .500 1.000 
Livan Hernandez    R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Derek Holland      L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Daniel Hudson      R   9   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Tim Hudson         R  15   2   0   0   0   1   0   4   0   0   0  .133  .188  .133 
Hisashi Iwakuma    R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Ubaldo Jimenez     R  13   4   1   0   0   0   0   0   0   0   0  .308  .308  .385 
Josh Johnson       R   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Jair Jurrjens      R   9   2   0   0   1   1   0   1   0   0   0  .222  .300  .556 
Scott Kazmir       L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Clayton Kershaw    L   9   3   1   1   0   1   0   2   0   0   0  .333  .400  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Cliff Lee          L   6   3   3   0   0   0   0   0   0   0   0  .500  .500 1.000 
Ted Lilly          L  11   2   1   0   0   0   0   3   0   0   1  .182  .167  .273 
Tim Lincecum       R   6   1   0   0   0   2   0   0   0   0   0  .167  .375  .167 
Matt Lindstrom     R   8   2   1   0   0   0   0   2   0   0   0  .250  .250  .375 
Derek Lowe         R  19   8   0   0   0   1   0   0   0   0   0  .421  .450  .421 
Carlos Marmol      R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Tom Milone         L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mike Minor         L   6   1   1   0   0   1   0   0   0   0   0  .167  .286  .333 
Pat Misch          L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Edward Mujica      R   3   0   0   0   0   1   1   0   0   0   0  .000  .250  .000 
Juan Nicasio       R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Jon Niese          L   5   3   1   0   0   0   0   0   0   1   0  .600  .600  .800 
Eric O'Flaherty    L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Roy Oswalt         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Micah Owings       R   2   0   0   0   0   1   0   0   1   0   0  .000  .500  .000 
Bobby Parnell      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mike Pelfrey       R   8   3   1   0   0   0   0   0   0   0   0  .375  .375  .500 
Oliver Perez       L   9   3   1   0   0   0   0   0   0   0   1  .333  .300  .444 
Ramon Ramirez      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Wandy Rodriguez    L   4   1   0   0   0   0   0   2   0   1   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ricky Romero       L   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Brian Sanches      R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Anibal Sanchez     R  13   4   0   0   0   0   0   2   0   0   0  .308  .308  .308 
Johan Santana      L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Joe Saunders       L  14   6   2   0   0   0   0   1   0   0   0  .429  .429  .571 
H. Takahashi       L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Raul Valdes        L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jason Vargas       L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
C. Villanueva      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Chris Volstad      R   6   2   1   0   0   0   0   0   1   0   0  .333  .429  .500 
Carlos Zambrano    R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Barry Zito         L   5   3   1   0   0   1   0   0   0   0   0  .600  .667  .800
