Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fernando Abad      L   6   2   0   0   1   0   0   1   0   0   0  .333  .333  .833 
Jose Alvarez       L   4   1   0   0   0   1   0   1   1   0   0  .250  .500  .250 
Chris Archer       R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Homer Bailey       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Scott Baker        R   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Trevor Bauer       R   5   1   0   0   0   0   0   3   1   0   0  .200  .333  .200 
Joe Blanton        R   6   3   1   0   1   0   0   1   0   1   0  .500  .500 1.167 
Brad Boxberger     R   3   1   0   0   1   1   0   1   0   0   0  .333  .500 1.333 
Craig Breslow      L   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Clay Buchholz      R   9   2   1   0   0   0   0   3   0   0   0  .222  .222  .333 
A.J. Burnett       R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Sean Burnett       L   3   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Matt Cain          R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Carter Capps       R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Carlos Carrasco    R   5   3   0   0   1   0   0   1   0   0   0  .600  .600 1.200 
Jesse Chavez       R   8   2   0   0   1   0   0   3   0   0   0  .250  .250  .625 
Bartolo Colon      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Neal Cotts         L   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Yu Darvish         R  11   2   0   0   0   0   0   5   0   0   0  .182  .182  .182 
Rubby de la Rosa   R   5   4   0   0   0   0   0   0   0   0   0  .800  .800  .800 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ross Detwiler      L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Felix Doubront     L   6   4   2   0   0   0   0   1   0   0   0  .667  .667 1.000 
Brian Duensing     L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Danny Duffy        L   7   3   1   0   0   0   0   0   0   0   0  .429  .429  .571 
Roenis Elias       L   9   2   1   0   1   1   0   0   0   0   0  .222  .300  .667 
Nathan Eovaldi     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Marco Estrada      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Danny Farquhar     R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Doug Fister        R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Charlie Furbush    L   4   2   0   0   1   1   0   1   0   0   0  .500  .600 1.250 
Yovani Gallardo    R  15   4   1   0   1   0   0   0   0   0   0  .267  .267  .533 
Kyle Gibson        R   8   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Gio Gonzalez       L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tom Gorzelanny     L   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
A.J. Griffin       R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Jeremy Guthrie     R  11   3   0   0   0   0   0   1   0   0   0  .273  .273  .273 
Juan Gutierrez     R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jason Hammel       R   5   1   0   0   0   0   0   1   0   1   0  .200  .200  .200 
Tommy Hanson       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
J.A. Happ          L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeremy Hefner      R   4   2   2   0   0   0   0   1   0   0   0  .500  .500 1.000 
Felix Hernandez    R  10   1   1   0   0   1   0   1   0   0   0  .100  .182  .200 
Derek Holland      L   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Tim Hudson         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Hisashi Iwakuma    R  14   8   1   0   1   0   0   2   0   0   0  .571  .571  .857 
Edwin Jackson      R   4   1   0   0   1   1   0   0   0   0   0  .250  .400 1.000 
Kevin Jepsen       R   5   3   0   0   0   0   0   1   0   0   0  .600  .600  .600 
Ubaldo Jimenez     R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Corey Kluber       R   8   3   0   0   0   0   0   2   0   0   0  .375  .375  .375 
John Lackey        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Mike Leake         R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Colby Lewis        R   8   1   1   0   0   0   0   1   0   0   0  .125  .125  .250 
Nick Martinez      R   5   3   2   0   0   1   0   1   0   0   0  .600  .667 1.000 
Brandon Maurer     R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Brandon McCarthy   R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Jake McGee         L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Yoervis Medina     R   3   0   0   0   0   0   0   1   1   0   0  .000  .250  .000 
Kris Medlen        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Miles Mikolas      R   3   1   0   1   0   0   0   1   1   0   0  .333  .500 1.000 
Wade Miley         L   6   2   1   0   1   1   0   1   0   0   0  .333  .429 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Nathan         R   3   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Jon Niese          L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Hector Noesi       R   4   1   0   0   0   0   0   1   0   2   0  .250  .250  .250 
Vidal Nuno         L   6   2   0   0   1   1   0   0   0   0   0  .333  .429  .833 
Jake Odorizzi      R   4   1   1   0   0   0   0   2   0   1   0  .250  .250  .500 
Alexi Ogando       R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Dan Otero          R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
Martin Perez       L   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Michael Pineda     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Drew Pomeranz      L   5   1   1   0   0   0   0   1   0   1   0  .200  .200  .400 
Rick Porcello      R   4   2   1   0   0   1   0   0   0   0   0  .500  .600  .750 
Jose Quintana      L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Cesar Ramos        L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Robbie Ray         L   4   2   0   0   0   0   0   1   0   1   0  .500  .500  .500 
Clayton Richard    L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Garrett Richards   R  16   2   0   0   0   0   0   6   0   0   0  .125  .125  .125 
Josh Roenicke      R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Fernando Salas     R   5   1   0   0   0   0   0   2   0   1   0  .200  .200  .200 
Jeff Samardzija    R  16   4   1   0   1   1   0   2   0   0   0  .250  .294  .500 
Anibal Sanchez     R   7   3   0   0   0   0   0   1   0   0   0  .429  .429  .429 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ervin Santana      R   8   3   0   0   0   0   0   1   0   0   0  .375  .375  .375 
Hector Santiago    L   8   2   0   0   1   2   0   1   0   0   0  .250  .400  .625 
Max Scherzer       R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Evan Scribner      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Bryan Shaw         R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
James Shields      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Matt Shoemaker     R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Alfredo Simon      R   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Tyler Skaggs       L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Joe Smith          R   3   1   1   0   0   1   0   2   0   0   0  .333  .500  .667 
Dan Straily        R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Chris Tillman      R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Shawn Tolleson     R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Yordano Ventura    R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Edinson Volquez    R   5   1   0   0   1   1   0   2   0   0   0  .200  .333  .800 
Taijuan Walker     R  14   3   1   0   1   0   0   2   0   0   0  .214  .214  .500 
Jered Weaver       R   7   3   0   0   0   0   0   3   0   0   0  .429  .429  .429 
Tom Wilhelmsen     R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Alex Wilson        R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
J. Zimmermann      R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600
