Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Aber            L  12   5   0   0   0   1   0   0   0   1   0  .417  .462  .417 
Ted Abernathy      R   9   5   1   0   0   5   0   2   1   0   0  .556  .733  .667 
Hank Aguirre       L   9   3   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Luis Aloma         R   7   1   0   0   0   2   1   1   0   1   0  .143  .333  .143 
Gene Bearden       L  26   6   0   0   0   4   0   3   0   0   0  .231  .333  .231 
Gary Bell          R  17   4   1   0   0   1   0   0   0   0   0  .235  .278  .294 
Al Benton          R  17   5   1   0   0   1   0   1   0   0   0  .294  .333  .353 
Babe Birrer        R  14   8   2   0   0   2   0   0   0   0   0  .571  .625  .714 
Frank Biscan       L   6   3   0   0   0   2   0   1   1   0   0  .500  .667  .500 
Charlie Bishop     R  22   7   2   0   0   1   0   0   0   0   0  .318  .348  .409 
Ewell Blackwell    R   5   1   0   0   0   2   0   0   0   0   0  .200  .429  .200 
Mike Blyzka        R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Cloyd Boyer        R   8   1   1   0   0   3   0   0   0   0   1  .125  .333  .250 
Ralph Branca       R  10   3   0   0   0   0   0   1   0   0   0  .300  .300  .300 
Harry Brecheen     L   7   2   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Tom Brewer         R  29  10   2   1   0   2   0   1   0   0   0  .345  .387  .483 
Lou Brissie        L  24   4   3   0   0   3   0   6   0   0   0  .167  .259  .292 
Hal Brown          R  21   5   0   0   0   0   0   2   0   0   0  .238  .238  .238 
Jack Bruner        L   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Bob Buhl           R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Bunning        R  55  15   3   1   0   3   0   2   1   1   1  .273  .317  .364 
Wally Burnette     R  15   3   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Moe Burtschy       R   9   1   1   0   0   1   0   1   0   0   0  .111  .200  .222 
Bud Byerly         R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Harry Byrd         R  70  30   6   0   0   8   0   2   0   0   0  .429  .487  .514 
Tommy Byrne        L  32   9   1   0   1   8   0   2   1   3   0  .281  .439  .406 
Bob Cain           L  24   6   3   0   0   3   0   1   0   1   0  .250  .333  .375 
Earl Caldwell      R   2   0   0   0   0   1   1   1   0   1   0  .000  .333  .000 
Paul Calvert       R  11   3   0   1   0   2   0   0   0   0   0  .273  .385  .455 
Jerry Casale       R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Art Ceccarelli     L   6   2   1   0   0   1   0   1   0   0   0  .333  .429  .500 
Bob Chakales       R  18   9   0   1   0   2   0   1   0   0   0  .500  .550  .611 
Al Cicotte         R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Tex Clevenger      R  23   5   1   0   0   2   0   0   0   0   0  .217  .280  .261 
Jim Coates         R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Joe Coleman        R  62  17   3   0   0   8   0   0   0   0   0  .274  .357  .323 
Rip Coleman        L   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Sandy Consuegra    R  34  11   2   0   0   4   0   3   0   0   0  .324  .395  .382 
Bud Daley          L  17   7   0   1   0   1   0   1   0   0   0  .412  .444  .529 
Bob Davis          R   5   3   0   1   0   0   0   0   0   0   0  .600  .600 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ike Delock         R  11   3   0   1   0   0   0   0   0   0   0  .273  .273  .455 
Art Ditmar         R  63  16   3   3   0   8   1   2   0   1   0  .254  .338  .397 
Sonny Dixon        R  19   6   1   0   0   0   0   0   0   0   0  .316  .316  .368 
Joe Dobson         R  17   3   1   0   0   2   0   1   0   0   0  .176  .263  .235 
Dick Donovan       R  14   2   0   0   0   2   0   0   0   0   0  .143  .250  .143 
Fritz Dorish       R  45  15   4   0   0   4   1   0   0   2   0  .333  .388  .422 
Karl Drews         R  10   2   0   0   0   1   0   0   0   0   0  .200  .273  .200 
Don Drysdale       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Ryne Duren         R   5   0   0   0   0   3   0   3   0   0   0  .000  .375  .000 
Red Embree         R   8   3   0   0   0   0   0   0   0   0   0  .375  .375  .375 
Roy Face           R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Cliff Fannin       R  18   7   1   0   1   3   0   1   0   0   0  .389  .476  .611 
Bob Feller         R  79  25   5   1   0   8   0   7   0   1   0  .316  .379  .405 
Don Ferrarese      L  13   3   0   0   0   0   0   0   0   0   0  .231  .231  .231 
Tom Ferrick        R  14   4   1   0   0   2   0   4   0   0   0  .286  .375  .357 
Tommy Fine         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Bill Fischer       R  11   6   2   0   0   0   0   0   0   0   0  .545  .545  .727 
Jack Fisher        R   9   0   0   0   0   2   0   0   0   0   0  .000  .182  .000 
Whitey Ford        L  67  16   0   2   0  11   0   5   0   1   1  .239  .342  .299 
Mike Fornieles     R  49  12   5   1   0   4   0   2   1   1   0  .245  .315  .388 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dick Fowler        R  44  14   2   0   0   5   0   3   0   1   0  .318  .388  .364 
Howie Fox          R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Paul Foytack       R  45  13   4   0   0  10   1   2   0   2   0  .289  .418  .378 
Marion Fricano     R  22  13   4   0   0   4   0   0   0   0   0  .591  .654  .773 
Bob Friend         R   7   3   0   0   0   1   0   1   0   0   0  .429  .500  .429 
Mike Garcia        R 100  33   3   3   1   7   0   7   1   3   0  .330  .380  .450 
Ned Garver         R 151  39   7   0   0  12   1   4   1   2   0  .258  .317  .305 
Al Gettel          R  14   2   0   1   0   3   0   2   2   0   0  .143  .368  .286 
Bob Gillespie      R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Tom Gorman         R  32   6   1   0   0   1   0   1   0   0   0  .188  .212  .219 
Mudcat Grant       R  20   5   0   1   0   1   0   1   0   0   0  .250  .286  .350 
Johnny Gray        R   8   4   0   0   0   2   0   1   0   0   0  .500  .600  .500 
Ted Gray           L  45  17   1   1   0  12   0   2   0   1   0  .378  .509  .444 
Eli Grba           R  10   3   1   0   0   0   0   2   0   0   1  .300  .273  .400 
Hal Griggs         R  13   4   1   0   0   1   0   0   0   0   0  .308  .357  .385 
Bob Grim           R  37  14   2   0   0   4   0   1   0   0   1  .378  .429  .432 
Marv Grissom       R  13   1   0   0   0   3   1   1   0   0   0  .077  .250  .077 
Connie Grob        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Steve Gromek       R  55  18   2   0   0   5   2   2   0   0   0  .327  .383  .364 
Randy Gumpert      R  34  10   3   0   0   3   0   1   0   0   0  .294  .351  .382 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mickey Haefner     L  12   3   0   0   0   1   0   2   0   0   0  .250  .308  .250 
Jack Hamilton      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Bill Harrington    R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Bubba Harris       R  14   3   1   0   0   0   0   1   0   0   0  .214  .214  .286 
Mickey Harris      L   8   3   0   0   0   4   0   0   0   0   0  .375  .583  .375 
Earl Harrist       R  14   6   2   0   1   2   0   1   0   0   0  .429  .500  .786 
Jack Harshman      L  31   8   1   0   0   4   0   4   1   1   0  .258  .361  .290 
Wynn Hawkins       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Joe Haynes         R  15   6   1   0   0   0   0   0   0   1   0  .400  .400  .467 
Ray Herbert        R  39  13   4   0   0   6   0   3   0   0   0  .333  .422  .436 
Troy Herriage      R  12   7   0   0   0   1   0   1   0   0   0  .583  .615  .583 
Frank Hiller       R   7   3   2   0   0   0   0   0   0   0   0  .429  .429  .714 
Lloyd Hittle       L   9   3   1   0   0   0   0   1   0   0   0  .333  .333  .444 
Billy Hoeft        L  46   8   0   0   0   3   0   5   1   2   0  .174  .240  .174 
Bobby Hogue        R   7   4   1   0   0   0   0   0   0   0   0  .571  .571  .714 
Ken Holcombe       R  34   9   3   0   0   2   1   2   0   4   0  .265  .306  .353 
Bobo Holloman      R   2   1   1   0   0   2   0   0   0   0   0  .500  .750 1.000 
Jay Hook           R   8   1   0   0   0   1   0   0   0   0   0  .125  .222  .125 
