Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Craig Anderson     R   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Jack Baldschun     R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Bobby Bolin        R  12   1   0   0   0   0   0   6   0   0   0  .083  .083  .083 
Ernie Broglio      R   7   3   0   1   2   0   0   2   0   0   0  .429  .429 1.571 
Bob Buhl           R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Lew Burdette       R   7   2   2   0   0   0   0   0   0   0   0  .286  .286  .571 
Tom Butters        R   3   1   1   0   0   0   0   1   0   0   1  .333  .250  .667 
Don Cardwell       R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Roger Craig        R   8   3   1   0   0   0   0   1   0   0   0  .375  .375  .500 
Ray Culp           R   8   2   1   0   0   1   0   5   0   0   0  .250  .333  .375 
Don Drysdale       R   7   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Dick Ellsworth     L   7   1   1   0   0   0   0   2   0   0   0  .143  .143  .286 
Roy Face           R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Bob Friend         R   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Joe Gibbon         L   3   1   1   0   0   0   0   1   0   0   1  .333  .250  .667 
Bob Gibson         R   6   1   0   0   1   0   0   4   0   0   0  .167  .167  .667 
Dallas Green       R   8   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jack Hamilton      R   6   3   1   0   1   0   0   1   0   0   0  .500  .500 1.167 
Bob Hendley        L   6   2   0   0   0   2   0   3   0   0   0  .333  .500  .333 
Glen Hobbie        R   9   2   0   0   1   3   0   3   0   0   0  .222  .417  .556 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jay Hook           R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Al Jackson         L   9   4   0   1   0   2   0   2   0   0   0  .444  .545  .667 
Larry Jackson      R  14   5   1   0   0   1   0   3   0   0   0  .357  .400  .429 
Joey Jay           R   4   1   0   0   0   2   0   2   0   0   0  .250  .500  .250 
Ken Johnson        R   5   0   0   0   0   0   0   3   1   0   0  .000  .167  .000 
J. Klippstein      R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Cal Koonce         R   8   2   1   0   0   1   1   4   0   0   0  .250  .333  .375 
Sandy Koufax       L  18   2   0   0   0   2   0   9   0   0   0  .111  .200  .111 
Don Larsen         R   3   0   0   0   0   1   0   3   0   0   0  .000  .250  .000 
Vern Law           R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Denny Lemaster     L  17   2   0   0   0   2   1   4   0   1   0  .118  .211  .118 
Jim Maloney        R  10   1   0   0   0   0   0   3   0   0   0  .100  .100  .100 
Juan Marichal      R   4   4   0   0   1   0   0   0   0   1   0 1.000 1.000 1.750 
Al McBean          R   5   2   0   0   1   1   0   1   0   0   0  .400  .500 1.000 
Lindy McDaniel     R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Cal McLish         R   6   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Bob Miller         R   4   2   0   0   0   2   0   0   0   0   0  .500  .667  .500 
Stu Miller         R   4   0   0   0   0   1   0   4   0   0   0  .000  .200  .000 
Joe Nuxhall        L  14   5   1   0   0   0   0   3   0   1   0  .357  .357  .429 
Billy O'Dell       L  15   4   2   0   0   0   0   4   0   0   0  .267  .267  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim O'Toole        L  11   2   1   0   0   2   0   2   0   0   0  .182  .308  .273 
Ron Perranoski     L   7   3   1   0   0   0   0   2   0   0   0  .429  .429  .571 
Gaylord Perry      R   8   4   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Billy Pierce       L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Johnny Podres      L  15   4   0   0   1   0   0   3   0   0   0  .267  .267  .467 
Bob Purkey         R   7   3   0   0   0   0   0   1   0   0   0  .429  .429  .429 
Don Rowe           L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ray Sadecki        L  12   3   2   0   0   0   0   2   0   0   0  .250  .250  .417 
Jack Sanford       R  13   4   1   0   1   0   0   6   0   0   0  .308  .308  .615 
Barney Schultz     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Don Schwall        R   6   2   2   0   0   0   0   3   0   0   0  .333  .333  .667 
Bob Shaw           R   6   1   1   0   0   1   0   2   0   0   0  .167  .286  .333 
Larry Sherry       R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Chris Short        L  10   3   1   0   1   0   0   4   0   0   0  .300  .300  .700 
Curt Simmons       L   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Tommie Sisk        R   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Warren Spahn       L  12   2   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Ray Washburn       R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Carl Willey        R   9   0   0   0   0   2   0   2   0   0   0  .000  .182  .000 
Al Worthington     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000
