Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ed Bahr            R   9   2   0   0   1   0   0   0   0   0   0  .222  .222  .556 
Gene Bearden       L   6   2   2   0   0   3   0   3   0   1   0  .333  .556  .667 
Johnny Beazley     R   7   3   0   0   0   0   0   2   0   0   0  .429  .429  .429 
Joe Beggs          R  12   2   0   1   0   1   0   2   0   0   0  .167  .231  .333 
Al Benton          R   5   2   0   0   2   2   0   0   0   0   0  .400  .571 1.600 
Ewell Blackwell    R   4   1   0   0   0   3   0   0   0   0   0  .250  .571  .250 
Hank Borowy        R  10   3   1   0   0   0   0   1   0   0   0  .300  .300  .400 
Lou Brissie        L  13   6   3   0   0   1   0   2   0   0   0  .462  .500  .692 
Ken Burkhart       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Tommy Byrne        L  11   1   0   0   0   2   0   3   0   0   0  .091  .231  .091 
Paul Calvert       R  11   4   2   0   1   1   0   1   0   0   0  .364  .417  .818 
Hugh Casey         R   3   3   0   1   1   1   0   0   0   0   0 1.000 1.000 2.667 
Joe Coleman        R  11   1   0   0   1   0   0   0   0   0   0  .091  .091  .364 
Mort Cooper        R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Joe Dobson         R  18   1   0   0   1   1   0   3   0   0   0  .056  .105  .222 
Paul Erickson      R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Bob Feller         R  10   4   0   1   2   2   0   1   0   0   0  .400  .500 1.200 
Dick Fowler        R   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Mike Garcia        R  13   2   1   0   1   0   0   1   0   0   0  .154  .154  .462 
Al Gettel          R   3   1   0   0   1   1   0   1   0   0   0  .333  .500 1.333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Gray           L  14   4   1   0   1   0   0   1   1   0   0  .286  .333  .571 
Steve Gromek       R   6   1   0   0   1   1   0   1   0   0   0  .167  .286  .667 
Harry Gumbert      R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Randy Gumpert      R  13   1   0   0   0   1   0   3   0   0   0  .077  .143  .077 
Mickey Haefner     L  12   4   0   0   0   1   0   1   1   0   0  .333  .429  .333 
Bubba Harris       R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Mickey Harris      L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Joe Hatten         L   7   2   0   0   0   1   0   1   0   0   0  .286  .375  .286 
Ed Heusser         R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Kirby Higbe        R   7   0   0   0   0   3   1   4   0   0   0  .000  .300  .000 
Art Houtteman      R  13   3   0   0   0   2   0   1   0   0   0  .231  .333  .231 
Sid Hudson         R  10   2   1   0   0   1   0   0   0   0   0  .200  .273  .300 
Tommy Hughes       R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Fred Hutchinson    R  13   3   1   0   1   1   0   1   0   0   0  .231  .286  .538 
Earl Johnson       L   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Oscar Judd         L   8   1   1   0   0   1   0   0   0   1   0  .125  .222  .250 
Alex Kellner       L  19   1   0   0   0   3   0   3   0   0   0  .053  .182  .053 
Ellis Kinder       R   9   3   0   0   1   0   0   0   0   0   0  .333  .333  .667 
Lou Kretlow        R  10   1   0   0   0   0   0   0   0   0   0  .100  .100  .100 
Bob Kuzava         L  11   3   1   0   0   1   0   1   1   1   0  .273  .385  .364 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bill Lee           R  10   3   1   1   0   1   1   0   0   0   0  .300  .364  .600 
Bob Lemon          R  22   7   0   0   1   4   1   2   0   0   0  .318  .423  .455 
Vic Lombardi       L   7   1   0   0   1   0   0   2   0   0   0  .143  .143  .571 
Eddie Lopat        L  15   2   1   0   0   2   0   4   0   0   0  .133  .235  .200 
Cuddles Marshall   R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Hugh Mulcahy       R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Hal Newhouser      L  11   3   2   0   0   1   0   1   0   0   0  .273  .333  .455 
F. Ostermueller    L  10   2   1   0   0   0   0   1   0   0   0  .200  .200  .300 
Joe Page           L   6   0   0   0   0   1   0   2   0   0   0  .000  .143  .000 
Mel Parnell        L   9   4   1   0   0   3   0   1   0   1   0  .444  .583  .556 
Claude Passeau     R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Billy Pierce       L  11   3   1   0   0   1   0   3   0   0   0  .273  .333  .364 
Duane Pillette     R   4   3   0   0   1   0   0   0   0   0   0  .750  .750 1.500 
Howie Pollet       L   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Bob Porterfield    R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Vic Raschi         R  17   4   1   0   1   1   0   1   0   1   0  .235  .278  .471 
Allie Reynolds     R   7   1   0   0   0   2   0   2   0   0   0  .143  .333  .143 
Schoolboy Rowe     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Johnny Sain        R  10   1   0   0   0   0   0   1   0   0   0  .100  .100  .100 
Fred Sanford       R  11   2   0   0   0   0   0   1   0   0   0  .182  .182  .182 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ray Scarborough    R  10   3   1   0   0   0   0   0   0   0   0  .300  .300  .400 
Charley Schanz     R   9   0   0   0   0   1   0   3   0   0   0  .000  .100  .000 
Carl Scheib        R   8   1   0   0   1   0   0   4   0   0   0  .125  .125  .500 
Johnny Schmitz     L   7   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Bobby Shantz       L   8   5   2   0   0   3   0   0   0   0   0  .625  .727  .875 
Elmer Singleton    R   4   1   0   0   0   1   1   1   0   0   0  .250  .400  .250 
Chuck Stobbs       L   5   1   0   0   1   0   0   2   1   0   0  .200  .333  .800 
Nick Strincevich   R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Virgil Trucks      R  15   6   0   0   3   2   0   1   0   2   0  .400  .471 1.000 
Bucky Walters      R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dick Weik          R  10   4   1   0   1   1   0   1   0   0   0  .400  .455  .800 
Bill Wight         L  18   3   0   0   0   0   0   3   0   2   0  .167  .167  .167 
Ed Wright          R  10   4   0   0   0   1   0   0   0   0   0  .400  .455  .400 
Early Wynn         R   9   4   0   0   1   1   0   1   0   0   0  .444  .500  .778 
Hank Wyse          R   5   1   0   0   1   0   0   0   0   0   0  .200  .200  .800
