Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brett Anderson     L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Bronson Arroyo     R  11   2   0   0   1   0   0   5   0   0   0  .182  .182  .455 
Miguel Batista     R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Erik Bedard        L  11   2   1   0   0   0   0   2   0   0   0  .182  .182  .273 
Heath Bell         R   4   2   1   0   1   0   0   0   0   0   0  .500  .500 1.500 
Kris Benson        R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Joe Blanton        R   9   2   1   0   0   1   0   4   0   0   1  .222  .273  .333 
Jim Brower         R   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 
Mark Buehrle       L   4   2   0   1   0   0   0   1   0   0   0  .500  .500 1.000 
A.J. Burnett       R  11   3   1   1   0   1   0   2   0   0   0  .273  .333  .545 
Daniel Cabrera     R   6   0   0   0   0   1   0   3   0   0   0  .000  .143  .000 
Chris Capuano      L   8   3   2   0   0   1   0   3   0   0   0  .375  .444  .625 
Gustavo Chacin     L   3   1   0   0   0   1   0   2   0   1   0  .333  .500  .333 
Joba Chamberlain   R   6   2   0   0   0   0   0   3   0   0   0  .333  .333  .333 
Bruce Chen         L  11   2   2   0   0   2   0   1   0   0   0  .182  .308  .364 
Bartolo Colon      R   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
Jose Contreras     R   4   0   0   0   0   1   0   0   1   0   0  .000  .333  .000 
Zach Day           R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
R.A. Dickey        R   3   1   1   0   0   0   0   1   1   0   0  .333  .500  .667 
Scott Downs        L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gavin Floyd        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jason Frasor       R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
