Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Archer         L   9   4   2   0   0   0   0   1   0   0   0  .444  .444  .667 
Luis Arroyo        L   4   1   0   0   0   2   0   1   0   0   0  .250  .500  .250 
Steve Barber       L  19   5   1   0   0   3   0   3   0   0   0  .263  .364  .316 
Frank Baumann      L  17   2   1   0   0   0   0   1   0   0   0  .118  .118  .176 
Gary Bell          R  12   2   1   0   0   4   0   1   0   0   1  .167  .353  .250 
Hal Brown          R  16   3   1   0   0   3   0   0   0   1   0  .188  .316  .250 
Bob Bruce          R   6   1   1   0   0   1   0   2   0   0   0  .167  .286  .333 
Jim Bunning        R  26  10   1   1   1   3   1   1   1   0   1  .385  .452  .615 
Pete Burnside      L  10   4   1   0   0   4   0   1   0   0   0  .400  .571  .500 
Tex Clevenger      R   9   1   0   0   0   3   0   5   0   0   0  .111  .333  .111 
Jim Coates         R   7   2   1   0   0   2   0   2   0   0   0  .286  .444  .429 
Bud Daley          L  18   6   1   1   0   3   0   1   0   0   0  .333  .429  .500 
Bennie Daniels     R   3   2   0   0   0   1   1   0   0   0   0  .667  .750  .667 
Art Ditmar         R  13   2   0   0   0   1   0   3   0   0   0  .154  .214  .154 
Dick Donovan       R  17   3   0   0   0   0   0   3   0   0   0  .176  .176  .176 
Ryne Duren         R   4   0   0   0   0   1   0   4   0   0   0  .000  .200  .000 
Chuck Estrada      R   9   4   1   0   1   1   0   2   0   0   0  .444  .500  .889 
Turk Farrell       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Bill Fischer       R   7   1   0   1   0   0   0   2   0   0   0  .143  .143  .429 
Jack Fisher        R  11   1   0   0   0   3   0   1   0   0   0  .091  .286  .091 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Whitey Ford        L  12   3   0   0   0   1   0   4   0   0   0  .250  .308  .250 
Paul Foytack       R   9   1   0   0   0   0   0   0   0   0   0  .111  .111  .111 
Frank Funk         R   6   0   0   0   0   1   0   0   0   0   0  .000  .143  .000 
John Gabler        R   6   0   0   0   0   2   0   1   0   0   0  .000  .250  .000 
Mike Garcia        R   4   1   1   0   0   0   0   0   0   1   0  .250  .250  .500 
Mudcat Grant       R  17   3   0   1   0   2   0   2   0   1   1  .176  .250  .294 
Eli Grba           R  10   3   0   0   2   2   0   2   0   0   2  .300  .357  .900 
Dick Hall          R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jack Harshman      L   4   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
Wynn Hawkins       R   9   3   0   0   0   2   0   1   0   0   0  .333  .455  .333 
Ray Herbert        R  21   2   0   0   0   1   0   3   0   0   1  .095  .130  .095 
Ed Hobaugh         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Billy Hoeft        L   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Ken Johnson        R   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
Gordon Jones       R   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Jim Kaat           L  11   4   1   0   0   0   0   1   1   0   0  .364  .417  .455 
Russ Kemmerer      R   4   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
J. Klippstein      R   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Jack Kralick       L   5   2   0   1   0   1   0   0   0   0   0  .400  .500  .800 
Marty Kutyna       R   6   2   0   0   0   2   1   1   0   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Larsen         R   5   3   0   0   0   2   0   0   0   0   0  .600  .714  .600 
Frank Lary         R  17   3   0   0   0   2   0   3   0   0   0  .176  .263  .176 
Barry Latman       R  21   4   0   0   0   2   0   4   0   0   0  .190  .261  .190 
Don Lee            R  14   4   0   1   0   1   0   4   0   0   0  .286  .333  .429 
Bobby Locke        R   5   0   0   0   0   3   0   0   0   0   0  .000  .375  .000 
Turk Lown          R   3   2   0   0   1   1   0   1   0   0   0  .667  .750 1.667 
Duke Maas          R   7   3   1   0   0   1   0   0   0   0   0  .429  .500  .571 
Jim Maloney        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Juan Marichal      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
