Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Paul Abbott        R   8   1   0   0   0   2   1   0   0   0   0  .125  .300  .125 
Juan Alvarez       L   3   1   0   0   0   1   0   1   1   0   0  .333  .600  .333 
Wilson Alvarez     L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Kevin Appier       R  21   5   1   0   2   1   0   3   0   0   0  .238  .273  .571 
Tony Armas         R   4   1   0   0   0   2   0   1   0   0   0  .250  .500  .250 
Rolando Arrojo     R  14   2   1   0   1   4   0   4   0   0   0  .143  .333  .429 
Andy Ashby         R   4   1   0   0   1   2   0   0   0   0   0  .250  .500 1.000 
Paul Assenmacher   L   9   3   1   0   1   1   0   4   0   0   0  .333  .400  .778 
Pedro Astacio      R   2   0   0   0   0   2   0   2   0   0   0  .000  .500  .000 
James Baldwin      R  17   4   2   0   0   0   0   6   0   0   0  .235  .235  .353 
John Bale          L   2   1   0   0   1   2   0   0   0   0   0  .500  .750 2.000 
Miguel Batista     R   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Rod Beck           R   7   1   1   0   0   1   0   2   0   0   0  .143  .250  .286 
Tim Belcher        R  13   5   1   0   1   2   0   1   0   0   0  .385  .467  .692 
Rob Bell           R  10   4   0   0   1   0   0   3   0   0   0  .400  .400  .700 
Andy Benes         R   6   4   1   0   1   0   0   2   0   0   0  .667  .667 1.333 
Joaquin Benoit     R   2   1   0   0   1   3   0   0   0   0   0  .500  .800 2.000 
Kris Benson        R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Jason Bere         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Sean Bergman       R   6   5   0   0   1   0   0   0   0   0   0  .833  .833 1.333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Willie Blair       R  11   3   2   0   1   0   0   2   0   0   0  .273  .273  .727 
Ricky Bones        R   8   2   0   0   0   1   0   1   0   0   0  .250  .333  .250 
Pedro Borbon       L   9   2   1   1   0   0   0   3   0   0   0  .222  .222  .556 
Ricky Bottalico    R   5   2   1   0   0   0   0   2   0   0   0  .400  .400  .600 
Kent Bottenfield   R   3   2   0   0   1   1   0   0   0   0   0  .667  .750 1.667 
Kevin Brown        R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Mark Buehrle       L   8   1   1   0   0   0   0   2   0   0   0  .125  .125  .250 
