Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Glenn Abbott       R   8   3   0   0   1   0   0   1   0   0   0  .375  .375  .750 
Cy Acosta          R   5   1   0   1   0   0   0   0   1   0   0  .200  .333  .600 
Vic Albury         L   7   0   0   0   0   3   0   2   0   0   0  .000  .300  .000 
Doyle Alexander    R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Fernando Arroyo    R   4   2   2   0   0   0   0   0   0   1   0  .500  .500 1.000 
Jerry Augustine    L  13   3   1   0   1   1   0   0   0   0   0  .231  .286  .538 
Rick Austin        L   5   4   1   0   1   1   0   0   0   0   0  .800  .833 1.600 
Stan Bahnsen       R  11   7   1   0   0   1   0   2   0   0   0  .636  .667  .727 
Eddie Bane         L   6   3   0   0   1   1   0   1   0   0   0  .500  .571 1.000 
Ray Bare           R  11   3   0   0   0   0   0   2   0   0   0  .273  .273  .273 
F. Barrios         R  11   2   0   0   1   0   0   2   1   1   1  .182  .231  .455 
Fred Beene         R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Jim Bibby          R  14   4   1   0   0   1   0   2   0   0   0  .286  .333  .357 
Doug Bird          R  18   7   2   0   1   0   0   4   0   0   0  .389  .389  .667 
Vida Blue          L  42   8   1   1   1   1   0   6   0   1   0  .190  .209  .333 
Bert Blyleven      R  15   4   0   0   1   0   0   8   0   0   0  .267  .267  .467 
Dick Bosman        R  11   4   1   0   1   0   0   2   0   0   0  .364  .364  .727 
Tom Bradley        R  10   1   0   0   0   1   0   3   0   0   0  .100  .182  .100 
Ken Brett          L  13   4   2   0   0   2   0   5   1   0   0  .308  .438  .462 
Jim Brewer         L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Nelson Briles      R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Pete Broberg       R   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Jackie Brown       R   8   4   1   1   1   0   0   2   0   0   0  .500  .500 1.250 
Tom Burgmeier      L   9   3   1   0   1   0   0   2   0   0   0  .333  .333  .778 
Steve Busby        R  13   2   0   0   0   0   0   5   0   0   0  .154  .154  .154 
Tom Buskey         R   5   1   0   0   0   0   0   1   0   1   1  .200  .167  .200 
Bill Butler        L   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Les Cain           L   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 
Bill Campbell      R  16   3   0   0   0   0   0   3   0   1   0  .188  .188  .188 
Steve Carlton      L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Clay Carroll       R   3   0   0   0   0   0   0   1   1   0   0  .000  .250  .000 
Reggie Cleveland   R  18   6   1   0   0   1   0   3   0   1   0  .333  .368  .389 
Jim Colborn        R  19   5   0   0   0   0   0   4   0   0   0  .263  .263  .263 
Joe Coleman        R   8   1   1   0   0   0   0   3   0   0   0  .125  .125  .250 
Jim Crawford       L   3   3   2   0   1   4   1   0   0   0   1 1.000  .875 2.667 
Mike Cuellar       L  39   5   1   0   1   0   0   5   0   2   0  .128  .128  .231 
John Curtis        L   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Joe Decker         R   4   3   1   0   0   1   0   0   0   0   0  .750  .800 1.000 
Pat Dobson         R  13   4   1   0   1   0   0   3   0   0   0  .308  .308  .615 
Al Downing         L   5   1   0   0   0   2   0   3   0   0   0  .200  .429  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dick Drago         R   7   1   0   0   0   2   1   4   0   0   0  .143  .333  .143 
Dennis Eckersley   R  12   1   1   0   0   1   0   3   0   0   0  .083  .154  .167 
Dock Ellis         R   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
Mark Fidrych       R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Ed Figueroa        R  16   3   1   0   1   1   0   4   0   0   0  .188  .235  .438 
Rollie Fingers     R  16   4   1   0   0   0   0   2   0   0   1  .250  .235  .313 
Al Fitzmorris      R  21   4   2   0   1   1   0   1   0   0   1  .190  .217  .429 
Terry Forster      L  16   1   0   0   0   2   0   5   0   1   1  .063  .158  .063 
Danny Frisella     R   3   1   0   0   0   1   1   0   0   0   0  .333  .500  .333 
Woodie Fryman      L   7   1   0   1   0   1   0   1   0   0   0  .143  .250  .429 
Rob Gardner        L   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Wayne Garland      R  12   5   1   0   2   0   0   3   0   0   0  .417  .417 1.000 
Jerry Garvin       L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dave Goltz         R  26   7   0   0   0   2   0   6   0   0   0  .269  .321  .269 
Rich Gossage       R  15   3   1   0   0   2   0   2   0   0   0  .200  .294  .267 
Ross Grimsley      L  39   9   0   0   3   3   0  10   0   0   0  .231  .286  .462 
Ron Guidry         L   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Larry Gura         L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Tom Hall           L   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Dave Hamilton      L  15   7   2   0   2   2   0   4   0   0   0  .467  .529 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bill Hands         R   5   1   0   0   1   0   0   0   0   1   0  .200  .200  .800 
Paul Hartzell      R  12   5   0   0   1   0   0   1   0   0   0  .417  .417  .667 
