Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Kyle Abbott        L   8   3   1   0   1   2   0   1   0   0   1  .375  .455  .875 
Juan Acevedo       R  13   2   0   0   1   3   0   4   0   0   0  .154  .313  .385 
Terry Adams        R  13   2   0   0   1   1   0   0   0   0   0  .154  .214  .385 
Juan Agosto        L   9   2   0   0   1   1   0   1   0   0   0  .222  .300  .556 
A. Alfonseca       R   9   4   0   0   0   0   0   3   0   0   1  .444  .400  .444 
Wilson Alvarez     L   5   2   0   0   2   0   0   1   0   0   0  .400  .400 1.600 
Larry Andersen     R   9   2   0   0   0   1   0   1   0   0   0  .222  .300  .222 
Brian Anderson     L  17   6   3   0   0   0   0   1   0   0   1  .353  .333  .529 
Jimmy Anderson     L  14   5   1   0   0   2   0   0   0   0   0  .357  .438  .429 
Rick Ankiel        L  14   3   0   0   0   2   1   1   0   0   0  .214  .313  .214 
Kevin Appier       R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Luis Aquino        R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Tony Armas         R   7   2   0   0   1   0   0   4   0   0   0  .286  .286  .714 
Jack Armstrong     R  21   9   1   0   1   1   0   1   0   0   0  .429  .455  .619 
Rene Arocha        R   8   4   0   0   0   1   0   0   0   0   0  .500  .556  .500 
Bronson Arroyo     R   3   2   1   0   0   1   0   1   0   0   0  .667  .750 1.000 
Andy Ashby         R  33  11   4   0   0   0   0   2   0   0   0  .333  .333  .455 
Paul Assenmacher   L  13   3   0   0   0   1   0   3   0   1   0  .231  .286  .231 
Pedro Astacio      R  51  12   3   0   1   5   0   7   1   0   1  .235  .310  .353 
Steve Avery        L  40   9   0   1   0   3   1   6   0   1   0  .225  .279  .275 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bobby Ayala        R  10   3   0   0   1   2   0   3   0   0   0  .300  .417  .600 
Manny Aybar        R   6   4   2   0   0   0   0   0   0   0   0  .667  .667 1.000 
Bob Ayrault        R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Brandon Backe      R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Roger Bailey       R  10   4   2   0   0   0   0   1   0   0   0  .400  .400  .600 
Cory Bailey        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
James Baldwin      R  14   5   1   0   1   0   0   1   0   0   0  .357  .357  .643 
Jeff Ballard       L   4   1   0   1   0   0   0   0   0   0   0  .250  .250  .750 
Willie Banks       R  11   3   0   0   1   2   0   0   0   1   0  .273  .385  .545 
Miguel Batista     R  22   7   0   0   2   2   0   6   0   0   0  .318  .375  .591 
Jose Bautista      R  10   2   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Rod Beck           R  22   5   0   0   0   1   0   7   0   0   0  .227  .261  .227 
Matt Beech         L   9   3   0   0   1   1   0   0   0   0   0  .333  .400  .667 
Joe Beimel         L   3   0   0   0   0   0   0   2   1   0   0  .000  .250  .000 
Tim Belcher        R  26   5   0   0   1   2   0   2   0   0   2  .192  .233  .308 
Stan Belinda       R  15   3   0   0   1   1   0   3   0   0   0  .200  .250  .400 
Rob Bell           R   6   1   0   0   1   0   0   1   0   0   0  .167  .167  .667 
Alan Benes         R   5   2   0   0   1   2   0   0   0   0   0  .400  .571 1.000 
Andy Benes         R  69  17   4   1   1   5   1  11   0   0   0  .246  .297  .377 
Armando Benitez    R  11   3   1   0   2   0   0   3   0   0   0  .273  .273  .909 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Kris Benson        R  14   3   0   0   1   0   0   1   0   0   0  .214  .214  .429 
Jason Bere         R   8   2   0   0   1   0   0   2   0   0   0  .250  .250  .625 
Sean Bergman       R  21   9   1   0   0   0   0   1   0   0   0  .429  .429  .476 
Adam Bernero       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Mike Bielecki      R  11   1   0   0   0   3   0   0   0   0   0  .091  .286  .091 
Buddy Black        L  16   2   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Willie Blair       R  15   6   0   0   1   0   0   1   0   0   0  .400  .400  .600 
Brian Boehringer   R   5   1   0   0   0   0   0   2   0   0   1  .200  .167  .200 
Joe Boever         R   6   2   0   0   0   2   0   0   0   0   0  .333  .500  .333 
Brian Bohanon      L  11   4   0   0   0   0   0   2   0   0   0  .364  .364  .364 
Ricky Bones        R   5   2   1   0   0   1   0   2   0   1   0  .400  .500  .600 
Toby Borland       R   8   4   1   0   0   2   0   0   0   0   0  .500  .600  .625 
Shawn Boskie       R  15   2   1   0   0   0   0   1   0   1   0  .133  .133  .200 
Ricky Bottalico    R  12   0   0   0   0   2   1   3   0   0   0  .000  .143  .000 
Kent Bottenfield   R  18   5   1   0   1   1   0   1   0   0   1  .278  .300  .500 
Ryan Bowen         R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Micah Bowie        L   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Chad Bradford      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Cliff Brantley     R   5   1   0   0   0   0   0   0   1   0   0  .200  .333  .200 
Jeff Brantley      R  17   6   0   0   2   2   0   5   0   0   0  .353  .421  .706 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jamie Brewington   R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Doug Brocail       R  14   2   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Chris Brock        R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Kevin Brown        R  41  10   1   0   1   3   0   8   0   0   0  .244  .295  .341 
Tom Browning       L  29   8   1   0   1   2   0   4   0   0   0  .276  .323  .414 
Brian Bruney       R   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 
Mark Buehrle       L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jim Bullinger      R  12   3   0   0   0   2   1   1   0   0   0  .250  .357  .250 
Nate Bump          R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Dave Burba         R  27   7   0   0   1   0   0   9   0   0   0  .259  .259  .370 
John Burkett       R  49  14   0   2   0   4   0   5   1   0   0  .286  .352  .367 
A.J. Burnett       R   4   0   0   0   0   1   0   3   0   0   0  .000  .200  .000 
Mike Busby         R   7   2   0   0   1   0   0   0   0   0   0  .286  .286  .714 
Mike Bynum         L   7   6   0   1   1   0   0   0   0   0   0  .857  .857 1.571 
Paul Byrd          R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Jose Cabrera       R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Tom Candiotti      R  31   9   3   0   0   1   0   9   0   0   1  .290  .303  .387 
Chris Capuano      L   9   4   0   0   2   0   0   2   0   0   1  .444  .400 1.111 
Buddy Carlyle      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Don Carman         L   5   2   1   0   0   2   1   2   0   0   0  .400  .571  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chris Carpenter    R   6   4   0   0   1   2   0   0   0   0   0  .667  .750 1.167 
Cris Carpenter     R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Giovanni Carrara   R   7   3   0   1   1   0   0   0   0   0   0  .429  .429 1.143 
Hector Carrasco    R  10   5   1   0   0   1   1   2   1   0   0  .500  .583  .600 
Tony Castillo      L   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Carlos Castillo    R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Frank Castillo     R  27  10   3   1   1   1   1   3   0   0   0  .370  .393  .667 
Shawn Chacon       R  18   3   0   0   0   2   0   9   0   0   0  .167  .250  .167 
Norm Charlton      L  10   3   1   0   0   0   0   2   0   0   0  .300  .300  .400 
Bruce Chen         L  15   6   1   0   0   0   0   3   0   0   0  .400  .400  .467 
J. Christiansen    L   6   1   0   0   0   1   1   1   0   0   0  .167  .286  .167 
Jim Clancy         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mark Clark         R  20   5   1   0   0   0   0   1   0   0   0  .250  .250  .300 
Roger Clemens      R   9   0   0   0   0   3   0   2   1   0   0  .000  .308  .000 
Matt Clement       R  16   3   0   0   0   0   0   2   0   0   0  .188  .188  .188 
Dave Coggin        R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Bartolo Colon      R  13   5   1   0   0   0   0   1   0   0   0  .385  .385  .462 
Pat Combs          L  23   5   2   0   0   2   0   6   0   0   0  .217  .280  .304 
David Cone         R  29   6   3   0   0   3   0   7   0   0   0  .207  .281  .310 
Aaron Cook         R  14   2   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dennis Cook        L   9   3   0   0   1   1   0   2   0   0   0  .333  .400  .667 
Steve Cooke        L  20   6   3   0   0   2   0   5   0   0   0  .300  .364  .450 
F. Cordova         R  15   8   1   0   1   2   1   1   0   0   0  .533  .588  .800 
Rheal Cormier      L  32  11   2   1   1   1   0   4   0   0   0  .344  .364  .563 
Jim Corsi          R   8   3   1   0   0   0   0   0   0   0   0  .375  .375  .500 
Danny Cox          R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Doug Creek         L   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Tim Crews          R  11   4   0   0   0   0   0   3   0   0   1  .364  .333  .364 
Nelson Cruz        R  10   2   0   0   1   0   0   3   0   0   1  .200  .182  .500 
Omar Daal          L  14   6   1   0   2   0   0   1   0   0   1  .429  .400  .929 
Casey Daigle       R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Jeff D'Amico       R   8   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Vic Darensbourg    L   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Ron Darling        R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Danny Darwin       R  12   3   1   0   0   0   0   2   0   0   0  .250  .250  .333 
Doug Davis         L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Kane Davis         R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Mark Davis         L   2   0   0   0   0   2   0   2   0   0   0  .000  .500  .000 
Zach Day           R   4   1   0   0   0   0   0   0   1   0   0  .250  .400  .250 
Mike DeJean        R   5   3   0   0   0   2   0   0   0   0   0  .600  .714  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jose De Jesus      R   6   2   0   1   0   1   0   2   0   0   0  .333  .429  .667 
Jose DeLeon        R  16   4   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Rich DeLucia       R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Ryan Dempster      R   9   1   0   0   0   1   0   1   0   1   0  .111  .200  .111 
Jim Deshaies       L  20   6   0   1   1   2   0   3   0   0   0  .300  .364  .550 
Elmer Dessens      R  33   7   2   0   0   1   0   5   0   0   0  .212  .235  .273 
Mark Dewey         R   9   1   0   0   0   0   0   2   0   0   0  .111  .111  .111 
Rob Dibble         R  10   5   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Jerry DiPoto       R   6   0   0   0   0   1   0   0   0   0   0  .000  .143  .000 
Glenn Dishman      L   9   3   2   0   1   1   0   0   0   0   0  .333  .400  .889 
Scott Dohmann      R  10   5   1   0   2   0   0   1   0   0   0  .500  .500 1.200 
Octavio Dotel      R  12   1   0   0   0   0   0   5   0   0   0  .083  .083  .083 
Kelly Downs        R  13   2   0   0   0   0   0   3   0   0   0  .154  .154  .154 
Scott Downs        L   8   2   0   0   0   0   0   1   0   0   1  .250  .222  .250 
Doug Drabek        R  62   9   1   1   0   1   0   9   0   0   1  .145  .156  .194 
Darren Dreifort    R   7   1   0   0   0   1   0   3   0   0   0  .143  .250  .143 
B. Duckworth       R   7   4   1   0   0   0   0   1   0   0   0  .571  .571  .714 
Adam Eaton         R  28   3   0   0   0   2   0   7   0   0   0  .107  .167  .107 
Tom Edens          R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Scott Elarton      R  17   6   2   1   0   1   0   2   0   0   0  .353  .389  .588 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Cal Eldred         R  12   5   1   0   0   1   0   0   0   0   0  .417  .462  .500 
Alan Embree        L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
John Ericks        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Shawn Estes        L  26  10   4   0   1   3   0   3   0   0   0  .385  .448  .654 
Bryan Eversgerd    L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
