Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Acker          R   4   0   0   0   0   1   1   0   0   0   0  .000  .200  .000 
Rick Aguilera      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Santo Alcala       R   7   1   0   0   0   2   0   1   0   0   0  .143  .333  .143 
Doyle Alexander    R   5   1   1   0   0   2   0   1   0   0   0  .200  .429  .400 
Neil Allen         R  22   9   1   0   0   3   2   1   0   0   1  .409  .462  .455 
Larry Andersen     R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Joaquin Andujar    R  34  13   1   0   0   8   0   3   0   0   0  .382  .500  .412 
Bob Apodaca        R   9   3   0   0   0   1   1   1   0   0   1  .333  .364  .333 
Bill Atkinson      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Stan Bahnsen       R  13   4   1   0   0   4   0   0   0   0   0  .308  .471  .385 
Doug Bair          R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Rick Baldwin       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Jay Baller         R   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Ray Bare           R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jim Barr           R  37  13   2   0   0   0   0   3   0   0   0  .351  .351  .405 
Mike Beard         L   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Steve Bedrosian    R   7   2   0   0   0   4   1   0   1   0   0  .286  .583  .286 
Tim Belcher        R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Bruce Berenyi      R   6   4   1   0   0   2   0   0   0   0   0  .667  .750  .833 
Jim Bibby          R  12   4   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Bielecki      R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Jack Billingham    R  23   8   2   1   0   4   0   0   0   0   0  .348  .444  .522 
Dennis Blair       R  17   7   0   2   0   2   0   2   0   0   0  .412  .474  .647 
Bert Blyleven      R  10   5   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Tommy Boggs        R   8   2   0   0   1   0   0   0   0   0   0  .250  .250  .625 
Mark Bomback       R   5   2   1   1   0   0   0   0   0   0   0  .400  .400 1.000 
Bill Bonham        R  29   8   1   0   0   4   0   3   0   1   0  .276  .364  .310 
Pedro Borbon       R  23   4   3   0   0   1   0   1   0   0   0  .174  .208  .304 
Rich Bordi         R   6   0   0   0   0   1   0   0   0   0   0  .000  .143  .000 
Derek Botelho      R   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Tom Bradley        R  12   6   0   0   0   1   0   0   0   0   0  .500  .538  .500 
Fred Breining      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Ken Brett          L   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Jackie Brown       R   7   4   1   0   0   0   0   0   0   0   0  .571  .571  .714 
Mike Bruhert       R   7   3   1   0   0   1   0   1   0   0   0  .429  .500  .571 
Warren Brusstar    R  11   4   0   2   0   2   0   2   0   0   0  .364  .462  .727 
Ron Bryant         L   6   1   0   0   0   0   0   2   0   1   0  .167  .167  .167 
Tim Burke          R   9   1   0   0   0   1   0   0   0   0   0  .111  .200  .111 
Ray Burris         R  24   7   3   0   0   4   0   2   0   0   0  .292  .393  .417 
Mike Caldwell      L  11   3   0   0   0   0   0   1   0   1   0  .273  .273  .273 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rick Camp          R  10   2   0   0   0   4   0   0   0   1   0  .200  .429  .200 
Bill Campbell      R   9   3   0   0   0   1   0   1   0   0   1  .333  .364  .333 
John Candelaria    L  12   2   1   0   0   0   0   1   0   0   0  .167  .167  .250 
Buzz Capra         R  10   4   0   0   0   1   0   0   0   1   0  .400  .455  .400 
Steve Carlton      L  24   5   0   0   0   3   0   5   0   1   0  .208  .296  .208 
Don Carrithers     R   4   3   1   0   0   1   0   0   0   1   0  .750  .800 1.000 
Clay Carroll       R   7   3   0   0   0   1   1   0   0   0   1  .429  .444  .429 
Tom Carroll        R  10   3   0   0   0   1   0   0   0   0   0  .300  .364  .300 
Bobby Castillo     R   5   1   0   0   0   2   2   1   0   0   0  .200  .429  .200 
Bill Caudill       R   4   1   0   1   0   1   0   0   0   0   0  .250  .400  .750 
L. Christenson     R  42  10   1   2   0   5   0   4   0   0   0  .238  .319  .357 
David Cone         R   5   3   0   0   0   2   0   0   0   0   0  .600  .714  .600 
Mike Corkins       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Danny Cox          R  20   7   1   0   0   3   0   1   0   0   1  .350  .417  .400 
John Curtis        L   8   1   0   0   0   2   0   0   0   0   0  .125  .300  .125 
John D'Acquisto    R  16   8   1   0   0   8   0   1   0   0   0  .500  .667  .563 
Pat Darcy          R   9   2   0   0   0   2   0   1   0   0   0  .222  .364  .222 
Ron Darling        R  27   6   1   1   0   1   0   2   0   0   0  .222  .250  .333 
Danny Darwin       R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Mark Davis         L   5   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bill Dawley        R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Jeff Dedmon        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Jose DeLeon        R  12   1   0   0   0   8   1   0   0   0   0  .083  .450  .083 
Luis DeLeon        R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Larry Demery       R  13   2   0   0   0   1   0   0   0   0   0  .154  .214  .154 
John Denny         R  22   8   1   2   0   4   1   1   0   0   0  .364  .462  .591 
Larry Dierker      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Frank DiPino       L   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Tom Dixon          R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Al Downing         L   6   3   0   1   0   1   0   1   0   0   0  .500  .571  .833 
Rob Dressler       R  10   1   0   0   0   1   0   0   0   0   0  .100  .182  .100 
Mike Dunne         R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Jamie Easterly     L   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
Rawly Eastwick     R  13   4   1   0   0   6   0   1   0   0   1  .308  .500  .385 
Dennis Eckersley   R  10   3   2   0   0   0   0   0   0   0   0  .300  .300  .500 
Dock Ellis         R  13   7   1   0   0   2   0   0   0   0   0  .538  .600  .615 
Nino Espinosa      R  12   2   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Pete Falcone       L  15   3   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Rollie Fingers     R   9   3   1   0   0   2   0   1   0   0   0  .333  .455  .444 
Rich Folkers       L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ken Forsch         R   6   2   0   0   0   1   0   0   0   1   0  .333  .429  .333 
Bob Forsch         R  66  12   0   1   0  10   0   4   0   1   1  .182  .286  .212 
Alan Foster        R   9   0   0   0   0   1   0   0   0   1   0  .000  .100  .000 
Ken Frailing       L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
George Frazier     R   5   3   1   0   0   1   0   1   0   0   0  .600  .667  .800 
Dave Freisleben    R  26   8   1   1   0   4   0   1   0   0   0  .308  .400  .423 
Danny Frisella     R   7   3   1   0   0   0   0   0   0   0   1  .429  .375  .571 
Woodie Fryman      L   9   2   0   1   0   0   0   1   0   0   0  .222  .222  .444 
John Fulgham       R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Gene Garber        R  21   6   1   0   0   1   1   1   0   0   0  .286  .318  .333 
Mike Garman        R   9   3   1   0   0   1   1   1   0   0   1  .333  .364  .444 
Scott Garrelts     R   9   2   0   0   0   2   0   3   0   0   0  .222  .364  .222 
Bob Gibson         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Dave Giusti        R   4   2   0   1   0   2   0   2   0   0   0  .500  .667 1.000 
Dwight Gooden      R  16   3   0   0   0   3   1   1   0   0   0  .188  .316  .188 
Rich Gossage       R  12   4   1   0   0   1   0   2   0   0   0  .333  .385  .417 
Jim Gott           R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Bill Greif         R  18   8   1   1   0   5   1   0   0   2   1  .444  .542  .611 
Tom Griffin        R   6   4   1   0   0   1   0   0   0   0   0  .667  .714  .833 
Cecilio Guante     R   9   1   0   0   0   0   0   2   1   0   0  .111  .200  .111 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Gullett        L  10   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Bill Gullickson    R  22   6   0   0   0   2   0   2   0   0   0  .273  .333  .273 
Ed Halicki         R  23   8   1   0   0   1   0   2   0   0   1  .348  .360  .391 
Tom Hall           L   4   2   0   0   0   0   0   0   0   1   0  .500  .500  .500 
Preston Hanna      R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Greg Harris        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Roric Harrison     R   7   2   1   0   0   1   0   0   0   1   0  .286  .375  .429 
Andy Hawkins       R  12   2   0   0   0   2   0   1   0   0   0  .167  .286  .167 
Dave Heaverlo      R   7   2   1   0   0   0   0   0   0   0   0  .286  .286  .429 
Ramon Hernandez    L   5   3   1   0   0   0   0   0   0   0   1  .600  .500  .800 
Orel Hershiser     R  13   3   0   0   0   2   1   0   0   0   0  .231  .333  .231 
Brian Holman       R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
