Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Trevor Bauer       R   4   1   1   0   0   1   0   2   0   0   0  .250  .400  .500 
Joe Blanton        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Clay Buchholz      R  11   4   1   0   1   0   0   4   0   0   0  .364  .364  .727 
Mark Buehrle       L   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
A.J. Burnett       R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Jesse Chavez       R   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Wei-Yin Chen       L   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 
Bartolo Colon      R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Yu Darvish         R  13   4   1   0   1   2   0   5   0   0   0  .308  .400  .615 
Samuel Deduno      R   1   0   0   0   0   3   0   1   0   0   0  .000  .750  .000 
Ryan Dempster      R   5   2   1   0   1   1   0   1   0   0   0  .400  .500 1.200 
R.A. Dickey        R   6   1   0   0   1   1   0   1   0   0   0  .167  .286  .667 
Doug Fister        R   6   1   0   0   0   0   0   2   1   0   0  .167  .286  .167 
Jason Frasor       R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Matt Garza         R   8   1   1   0   0   0   0   3   0   0   0  .125  .125  .250 
Kyle Gibson        R   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Miguel Gonzalez    R   4   2   1   0   1   0   0   0   0   1   0  .500  .500 1.500 
Sonny Gray         R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Jeremy Guthrie     R   5   2   0   0   0   0   0   0   0   1   0  .400  .400  .400 
Juan Gutierrez     R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jason Hammel       R   5   1   0   0   1   0   0   0   1   0   0  .200  .333  .800 
Derek Holland      L   9   3   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Hisashi Iwakuma    R   9   2   0   0   0   1   0   5   0   0   0  .222  .300  .222 
Scott Kazmir       L  10   2   0   0   0   1   0   4   0   1   0  .200  .273  .200 
Corey Kluber       R   3   0   0   0   0   1   0   3   0   0   0  .000  .250  .000 
Hiroki Kuroda      R   5   1   0   1   0   2   0   1   0   0   0  .200  .429  .600 
John Lackey        R   8   1   0   0   0   1   0   3   0   0   0  .125  .222  .125 
Nick Martinez      R   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Brandon McCarthy   R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Yoervis Medina     R   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Tom Milone         L   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Joe Nathan         R   3   0   0   0   0   2   0   2   0   0   0  .000  .400  .000 
Dan Otero          R   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
Jarrod Parker      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Martin Perez       L   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
David Phelps       R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Drew Pomeranz      L   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Jose Quintana      L   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Erasmo Ramirez     R   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Todd Redmond       R   4   0   0   0   0   4   0   1   0   0   1  .000  .444  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Garrett Richards   R  11   4   0   0   0   1   0   3   0   0   0  .364  .417  .364 
Andre Rienzo       R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Danny Salazar      R   5   2   0   0   0   1   0   2   0   0   0  .400  .500  .400 
Chris Sale         L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jeff Samardzija    R  14   3   0   0   0   0   0   6   0   0   0  .214  .214  .214 
Joe Saunders       L   6   2   2   0   0   0   0   0   0   0   0  .333  .333  .667 
Tanner Scheppers   R   5   3   0   0   1   0   0   1   0   0   0  .600  .600 1.200 
Max Scherzer       R   4   1   0   0   0   2   0   2   0   0   0  .250  .500  .250 
Bryan Shaw         R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Tyler Skaggs       L   5   1   0   0   0   0   0   0   0   1   0  .200  .200  .200 
Anthony Swarzak    R   4   1   1   0   0   1   0   1   0   0   0  .250  .400  .500 
Shawn Tolleson     R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Jason Vargas       L   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Yordano Ventura    R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Taijuan Walker     R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Jered Weaver       R   9   1   0   0   0   0   0   3   0   0   0  .111  .111  .111 
C.J. Wilson        L  16   4   1   0   0   0   0   4   0   1   0  .250  .250  .313 
Alex Wilson        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000
