Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Juan Acevedo       R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Terry Adams        R   6   3   0   0   0   1   0   2   0   0   0  .500  .571  .500 
A. Alfonseca       R   7   3   0   0   0   0   0   1   0   0   0  .429  .429  .429 
Armando Almanza    L   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Brian Anderson     L  14   6   0   1   1   0   0   2   0   0   0  .429  .429  .786 
Rick Ankiel        L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Andy Ashby         R  19   7   0   0   0   1   0   0   0   1   0  .368  .400  .368 
Pedro Astacio      R  16   4   1   0   0   1   0   6   0   0   0  .250  .294  .313 
Manny Aybar        R   4   1   0   1   0   0   0   0   0   0   0  .250  .250  .750 
Miguel Batista     R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Andy Benes         R  11   3   0   0   0   0   0   3   0   1   0  .273  .273  .273 
Armando Benitez    R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Kris Benson        R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Jason Bere         R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Sean Bergman       R   6   2   0   0   0   0   0   1   0   1   0  .333  .333  .333 
Brian Boehringer   R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Brian Bohanon      L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Ricky Bottalico    R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Kent Bottenfield   R  12   1   0   0   0   1   0   0   0   0   0  .083  .154  .083 
Kevin Brown        R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Bruske         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
John Burkett       R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
A.J. Burnett       R   5   2   0   0   0   2   0   0   0   1   0  .400  .571  .400 
Paul Byrd          R   8   3   0   1   1   0   0   0   0   0   0  .375  .375 1.000 
Chris Carpenter    R   8   6   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Bruce Chen         L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mark Clark         R  11   8   0   2   0   0   0   1   0   0   0  .727  .727 1.091 
Roger Clemens      R   3   2   1   0   0   0   0   0   0   1   0  .667  .667 1.000 
Dave Coggin        R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Dennis Cook        L   5   3   0   1   0   0   0   1   0   0   0  .600  .600 1.000 
F. Cordova         R  15   4   2   0   0   0   0   4   0   0   0  .267  .267  .400 
Reid Cornelius     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Juan Cruz          R   5   1   0   0   0   0   0   1   0   1   0  .200  .200  .200 
Darwin Cubillan    R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Omar Daal          L  20   8   1   0   1   0   0   3   0   0   0  .400  .400  .600 
Vic Darensbourg    L   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Danny Darwin       R   7   3   0   1   1   0   0   1   0   0   0  .429  .429 1.143 
Mike DeJean        R  11   4   0   0   0   0   0   1   0   0   0  .364  .364  .364 
Ryan Dempster      R   9   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jerry DiPoto       R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Octavio Dotel      R   5   3   1   0   0   1   0   0   0   0   0  .600  .667  .800 
Darren Dreifort    R   5   2   0   0   0   1   0   0   0   1   0  .400  .500  .400 
Scott Elarton      R   8   3   0   0   0   1   0   0   0   1   0  .375  .444  .375 
Alan Embree        L   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Scott Erickson     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Shawn Estes        L  13   2   0   0   0   0   0   3   0   0   0  .154  .154  .154 
Jeff Fassero       L   7   2   0   0   1   0   0   1   0   0   0  .286  .286  .714 
John Franco        L   7   2   0   0   1   0   0   2   0   0   0  .286  .286  .714 
John Frascatore    R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Eric Gagne         R   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
