Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jon Adkins         R   3   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Brian Anderson     L   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Kevin Appier       R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Scott Baker        R   6   0   0   0   0   2   0   1   0   0   0  .000  .250  .000 
Rob Bell           R   9   1   1   0   0   0   0   3   0   0   0  .111  .111  .222 
Joaquin Benoit     R   4   1   0   0   1   3   0   0   0   0   0  .250  .571 1.000 
Adam Bernero       R   6   3   0   0   0   0   0   3   0   0   0  .500  .500  .500 
R. Betancourt      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jeremy Bonderman   R  12   1   0   0   0   2   0   4   0   0   0  .083  .214  .083 
Mark Buehrle       L  20   1   0   0   0   0   0   5   0   0   0  .050  .050  .050 
A.J. Burnett       R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Gustavo Chacin     L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Roger Clemens      R   8   3   1   0   0   1   0   0   0   0   0  .375  .444  .500 
Bartolo Colon      R   8   1   0   0   1   0   0   1   1   0   0  .125  .222  .500 
Jose Contreras     R   5   4   0   0   1   2   1   0   0   0   0  .800  .857 1.400 
F. Cordero         R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Nate Cornejo       R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Jeff D'Amico       R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jason Davis        R   9   2   0   0   0   0   0   3   0   0   1  .222  .200  .222 
R.A. Dickey        R   5   1   0   0   1   1   0   1   0   0   0  .200  .333  .800 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Juan Dominguez     R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Brendan Donnelly   R   4   1   1   0   0   1   0   2   0   0   0  .250  .400  .500 
Scott Elarton      R   6   3   1   0   1   0   0   2   0   0   0  .500  .500 1.167 
Ryan Franklin      R   8   1   0   0   1   1   0   2   0   0   0  .125  .222  .500 
Freddy Garcia      R  15   4   1   0   0   0   0   3   1   0   0  .267  .313  .333 
Jon Garland        R  15   4   2   0   0   1   0   0   1   0   0  .267  .353  .400 
Geremi Gonzalez    R   8   2   0   0   1   0   0   1   0   0   0  .250  .250  .625 
Tom Gordon         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Kevin Gregg        R   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
John Halama        L   4   3   2   0   0   0   0   1   0   0   0  .750  .750 1.250 
Roy Halladay       R   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Rich Harden        R   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
S. Hasegawa        R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
O. Hernandez       R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
S. Hitchcock       L   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Tim Hudson         R   6   0   0   0   0   1   0   4   0   0   0  .000  .143  .000 
Jason Johnson      R   9   2   0   0   2   0   0   3   0   0   0  .222  .222  .889 
Randy Johnson      L   6   3   1   0   1   0   0   1   0   0   0  .500  .500 1.167 
Todd Jones         R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Joe Kennedy        L   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Billy Koch         R   7   1   1   0   0   1   0   3   0   0   0  .143  .250  .286 
John Lackey        R  12   5   1   0   2   0   0   3   0   0   0  .417  .417 1.000 
Wil Ledezma        L   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Colby Lewis        R   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Esteban Loaiza     R  16   4   1   0   2   2   0   2   0   0   0  .250  .333  .688 
Kyle Lohse         R  25   6   3   0   0   0   0   5   1   0   0  .240  .269  .360 
Ron Mahay          L   5   2   1   0   1   2   0   0   0   0   0  .400  .571 1.200 
Mike Maroth        L  12   3   2   0   0   2   0   4   0   0   0  .250  .357  .417 
Damaso Marte       L   5   0   0   0   0   1   0   3   1   0   0  .000  .286  .000 
Joe Mays           R  15   7   1   0   1   0   0   4   0   0   0  .467  .467  .733 
Gil Meche          R   8   2   1   0   0   0   0   2   0   0   0  .250  .250  .375 
Justin Miller      R   5   1   1   0   0   0   0   1   0   1   0  .200  .200  .400 
Kevin Millwood     R   5   2   0   0   2   1   0   0   0   0   0  .400  .500 1.600 
Jamie Moyer        L   9   2   0   0   0   0   0   2   0   0   1  .222  .200  .222 
Mark Mulder        L   4   1   0   0   0   0   0   0   1   0   0  .250  .400  .250 
Terry Mulholland   L   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Mike Mussina       R   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Joe Nathan         R   2   0   0   0   0   0   0   2   2   0   0  .000  .500  .000 
Ramon Ortiz        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Chan Ho Park       R   4   1   0   0   0   1   0   1   1   0   0  .250  .500  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Andy Pettitte      L   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Brad Radke         R  10   2   1   0   0   0   0   2   0   0   0  .200  .200  .300 
Rick Reed          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Arthur Rhodes      L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Juan Rincon        R   8   2   0   0   1   0   0   0   0   0   0  .250  .250  .625 
David Riske        R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Todd Ritchie       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Nate Robertson     L   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
F. Rodriguez       R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
R. Rodriguez       R   3   2   1   0   1   0   0   0   1   0   0  .667  .750 2.000 
Kenny Rogers       L  11   2   0   0   0   3   0   4   0   0   0  .182  .357  .182 
J.C. Romero        L   6   0   0   0   0   0   0   5   2   0   0  .000  .250  .000 
CC Sabathia        L   8   1   0   0   1   0   0   2   0   0   1  .125  .111  .500 
Johan Santana      L  10   2   1   0   1   0   0   5   0   0   0  .200  .200  .600 
S. Schoeneweis     L   6   2   1   0   0   0   0   2   1   0   0  .333  .429  .500 
Aaron Sele         R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
James Shields      R   8   5   1   0   1   0   0   0   0   0   0  .625  .625 1.125 
Scot Shields       R   7   1   0   0   0   1   0   0   1   0   0  .143  .333  .143 
Brian Shouse       L   4   2   1   0   0   1   0   0   0   0   0  .500  .600  .750 
Carlos Silva       R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Sparks       R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Chris Spurling     R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
G. Stephenson      R   6   2   2   0   0   0   0   2   1   0   0  .333  .429  .667 
