Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dellin Betances    R   4   0   0   0   0   2   0   2   0   0   0  .000  .333  .000 
Brad Brach         R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Craig Breslow      L   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
Zach Britton       L  10   3   1   0   2   0   0   3   0   2   0  .300  .300 1.000 
Clay Buchholz      R   5   0   0   0   0   0   0   1   1   0   0  .000  .167  .000 
Mark Buehrle       L  22   8   2   1   1   2   0   4   4   0   1  .364  .483  .682 
Chris Capuano      L   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Brett Cecil        L   5   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Wei-Yin Chen       L  21   7   3   0   0   0   0   3   3   2   0  .333  .417  .476 
John Danks         L   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
R.A. Dickey        R  12   3   1   0   0   1   0   3   1   0   0  .250  .357  .333 
Roenis Elias       L   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Marco Estrada      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Kevin Gausman      R   5   3   3   0   0   0   0   1   1   0   0  .600  .667 1.200 
Jeremy Guthrie     R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
J.A. Happ          L   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Drew Hutchison     R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Scott Kazmir       L   6   3   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Dallas Keuchel     L  10   6   1   0   0   1   0   1   1   0   0  .600  .667  .700 
Corey Kluber       R   8   0   0   0   0   1   0   5   0   0   0  .000  .111  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jon Lester         L   7   2   0   0   0   1   0   1   0   0   0  .286  .375  .286 
Jeff Locke         L   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Aaron Loup         L   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Justin Masterson   R   4   3   2   0   0   1   0   0   0   0   0  .750  .800 1.250 
Brian Matusz       L   6   3   1   0   1   1   0   1   0   0   0  .500  .571 1.167 
Collin McHugh      R   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 
Miles Mikolas      R   3   1   0   0   1   0   0   0   1   0   0  .333  .500 1.333 
Wade Miley         L  13   3   1   0   1   2   0   1   1   0   0  .231  .375  .538 
Andrew Miller      L   9   1   0   0   0   0   0   5   0   0   0  .111  .111  .111 
Tom Milone         L   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Franklin Morales   L   4   0   0   0   0   0   0   1   1   0   0  .000  .200  .000 
Daniel Norris      L   6   1   1   0   0   1   0   2   0   0   0  .167  .286  .333 
Vidal Nuno         L   3   1   0   0   0   1   0   1   1   0   0  .333  .600  .333 
Darren O'Day       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Henry Owens        L   3   1   1   0   0   0   0   0   1   0   0  .333  .500  .667 
Michael Pineda     R   2   0   0   0   0   0   0   0   1   1   0  .000  .333  .000 
David Price        L   9   2   0   1   0   0   0   3   0   0   0  .222  .222  .444 
Jose Quintana      L   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Anthony Ranaudo    R   6   2   0   0   1   0   0   2   0   0   0  .333  .333  .833 
E. Rodriguez       L   3   1   0   0   1   3   0   1   0   0   0  .333  .667 1.333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Robbie Ross        L   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
CC Sabathia        L  20   1   0   0   0   1   0   7   0   0   0  .050  .095  .050 
Chris Sale         L   3   1   0   0   0   2   0   2   2   0   0  .333  .714  .333 
Junichi Tazawa     R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Chris Tillman      R  11   3   0   0   0   0   0   1   0   0   0  .273  .273  .273 
Edinson Volquez    R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Adam Warren        R   6   1   0   0   0   0   0   1   0   2   0  .167  .167  .167 
C.J. Wilson        L  12   3   0   0   0   1   0   1   1   0   0  .250  .357  .250 
Justin Wilson      L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000
