Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R   9   3   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Vic Albury         L   8   1   1   0   0   2   0   3   0   0   0  .125  .300  .250 
Doyle Alexander    R   7   0   0   0   0   1   0   0   0   0   0  .000  .125  .000 
Mike Armstrong     R   4   3   0   0   0   1   0   0   0   0   0  .750  .800  .750 
Keith Atherton     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Scott Bailes       L   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Doug Bair          R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Eddie Bane         L   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Scott Bankhead     R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Ray Bare           R   6   3   0   0   0   2   0   1   0   0   0  .500  .625  .500 
Len Barker         R   3   0   0   0   0   1   0   3   0   0   0  .000  .250  .000 
Salome Barojas     R   2   2   1   0   0   2   1   0   0   0   0 1.000 1.000 1.500 
Jim Beattie        R   6   2   0   0   0   1   1   1   0   0   0  .333  .429  .333 
Jerry Bell         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Juan Berenguer     R   9   3   1   0   1   1   0   0   0   0   0  .333  .400  .778 
Jim Bibby          R  17   3   1   0   0   5   1   4   0   0   0  .176  .364  .235 
Doug Bird          R  12   4   0   1   1   1   0   1   0   0   0  .333  .385  .750 
Buddy Black        L   6   4   2   0   0   1   0   0   0   0   0  .667  .714 1.000 
Vida Blue          L  20   7   1   0   0   3   0   4   0   0   0  .350  .435  .400 
Bert Blyleven      R  22   8   2   0   0   4   0   2   0   0   1  .364  .444  .455 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Boddicker     R  12   5   1   0   0   6   0   2   0   0   0  .417  .611  .500 
Dick Bosman        R   7   3   0   0   0   0   0   0   0   0   0  .429  .429  .429 
Oil Can Boyd       R  11   2   1   0   0   0   0   2   0   0   0  .182  .182  .273 
Jackie Brown       R   9   3   0   0   0   1   0   0   0   0   0  .333  .400  .333 
Tom Burgmeier      L   2   1   1   0   0   2   0   0   0   1   0  .500  .750 1.000 
Ray Burris         R  14   2   0   0   0   1   0   0   0   0   0  .143  .200  .143 
Steve Busby        R  22   5   1   0   0   0   0   4   0   0   0  .227  .227  .273 
John Butcher       R  12   5   0   0   0   1   0   3   0   0   0  .417  .462  .417 
Bill Butler        L   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Ernie Camacho      R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Bill Campbell      R  10   2   0   1   0   0   0   1   1   0   1  .200  .250  .400 
Tom Candiotti      R   3   1   0   0   0   2   0   1   0   0   0  .333  .600  .333 
Bobby Castillo     R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Bill Caudill       R   7   1   0   0   0   1   1   1   0   0   1  .143  .222  .143 
