Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeremy Affeldt     L   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Jake Arrieta       R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Bronson Arroyo     R   5   1   0   0   1   0   0   1   0   1   0  .200  .200  .800 
Luis Avilan        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Danys Baez         R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Homer Bailey       R  13   4   1   0   1   2   0   3   0   0   0  .308  .400  .615 
Antonio Bastardo   L   6   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Miguel Batista     R   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Josh Beckett       R  10   2   0   1   1   0   0   4   0   0   0  .200  .200  .700 
Erik Bedard        L  13   3   0   0   0   0   0   1   0   0   0  .231  .231  .231 
Ronald Belisario   R   5   1   0   0   0   0   0   2   1   0   0  .200  .333  .200 
Matt Belisle       R  14   3   2   0   0   0   0   4   1   0   0  .214  .267  .357 
Heath Bell         R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Kris Benson        R   6   2   1   0   1   0   0   1   0   0   0  .333  .333 1.000 
Jason Berken       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Chad Billingsley   R   7   0   0   0   0   1   0   1   0   0   0  .000  .125  .000 
Joe Blanton        R   8   4   1   0   2   0   0   2   0   0   0  .500  .500 1.375 
Jeremy Bonderman   R   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Blaine Boyer       R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
Jim Brower         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jonathan Broxton   R   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Taylor Buchholz    R   2   2   1   0   0   2   0   0   0   0   0 1.000 1.000 1.500 
Mark Buehrle       L  11   2   0   0   1   1   0   3   0   0   0  .182  .250  .455 
M. Bumgarner       L  13   1   0   0   0   1   0   2   1   0   0  .077  .200  .077 
Sean Burnett       L   8   3   1   0   2   0   0   3   0   0   0  .375  .375 1.250 
David Bush         R   5   1   0   0   1   0   0   1   0   0   0  .200  .200  .800 
Daniel Cabrera     R   6   1   0   0   1   2   0   2   0   0   0  .167  .375  .667 
Matt Cain          R  15   3   0   0   1   4   1   6   0   0   1  .200  .350  .400 
Shawn Camp         R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jorge Campillo     R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Chris Capuano      L  12   2   0   0   0   0   0   3   0   0   0  .167  .167  .167 
D.J. Carrasco      R   4   2   2   0   0   0   0   1   0   0   0  .500  .500 1.000 
Santiago Casilla   R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Brett Cecil        L   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Shawn Chacon       R   3   3   1   0   0   1   0   0   0   0   0 1.000 1.000 1.333 
Joba Chamberlain   R   4   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Aroldis Chapman    L   8   1   0   0   0   2   0   5   0   0   1  .125  .273  .125 
Vinnie Chulk       R   6   2   0   0   2   0   0   1   0   0   0  .333  .333 1.333 
Tony Cingrani      L   7   1   0   0   0   0   0   0   0   0   1  .143  .125  .143 
Brandon Claussen   L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
