Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bronson Arroyo     R   4   3   2   0   1   0   0   0   0   1   0  .750  .750 2.000 
Cha-Seung Baek     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Chad Billingsley   R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Mike Bolsinger     R   2   1   0   0   0   1   0   1   0   1   0  .500  .667  .500 
Matt Cain          R   5   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Andrew Cashner     R   6   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Josh Collmenter    R   4   1   1   0   0   0   0   1   0   1   0  .250  .250  .500 
Jorge de la Rosa   L   4   1   0   0   0   0   0   1   0   2   0  .250  .250  .250 
Rubby de la Rosa   R   2   1   0   0   0   0   0   1   0   2   0  .500  .500  .500 
John Ely           R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jon Garland        R   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Cole Hamels        L   3   1   0   0   0   0   0   0   0   2   0  .333  .333  .333 
Jason Hammel       R   5   2   1   0   0   0   0   0   0   0   1  .400  .333  .600 
Tim Hudson         R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Ubaldo Jimenez     R   7   1   0   0   0   0   0   4   0   0   0  .143  .143  .143 
Ian Kennedy        R   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Clayton Kershaw    L   3   1   0   0   0   0   0   2   0   1   0  .333  .333  .333 
John Lannan        L   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
Mike Leake         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Wade LeBlanc       L   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Lilly          L   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Tim Lincecum       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Derek Lowe         R   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Lance Lynn         R   5   0   0   0   0   1   0   3   0   1   0  .000  .167  .000 
Mike Minor         L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Brett Myers        R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jon Niese          L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Ricky Nolasco      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Jake Peavy         R   6   1   0   0   0   1   0   1   0   1   0  .167  .286  .167 
Wandy Rodriguez    L   3   2   1   0   0   1   0   0   0   1   0  .667  .750 1.000 
Glendon Rusch      L   3   1   0   0   0   1   0   2   0   0   0  .333  .500  .333 
Johan Santana      L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Eric Stults        L   2   0   0   0   0   0   0   0   0   3   0  .000  .000  .000 
Kip Wells          R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Randy Wolf         L   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500
