Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jeremy Affeldt     L   7   3   0   0   0   0   0   1   0   0   0  .429  .429  .429 
Jimmy Anderson     L   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Jim Brower         R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jeff D'Amico       R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Shawn Estes        L   9   3   2   0   0   0   0   0   0   0   0  .333  .333  .556 
Josh Fogg          R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Chris George       L   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Jeremy Griffiths   R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Jimmy Haynes       R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Livan Hernandez    R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kazuhisa Ishii     L   4   0   0   0   0   2   0   2   0   0   0  .000  .333  .000 
Brian Lawrence     R   6   2   1   0   0   0   0   1   0   1   0  .333  .333  .500 
Darrell May        L   6   2   0   1   0   0   0   0   0   0   0  .333  .333  .667 
Brian Meadows      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Kevin Millwood     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Guillermo Mota     R   3   1   0   0   0   0   0   0   1   0   0  .333  .500  .333 
Brett Myers        R   3   1   0   0   0   0   0   1   1   0   0  .333  .500  .333 
Russ Ortiz         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jake Peavy         R   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Odalis Perez       L   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Oliver Perez       L   7   4   0   0   0   0   0   1   0   0   0  .571  .571  .571 
Mark Prior         R   7   2   0   0   0   0   0   3   0   0   0  .286  .286  .286 
Horacio Ramirez    L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Kirk Rueter        L   3   1   0   1   0   0   0   0   0   1   0  .333  .333 1.000 
Jason Schmidt      R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Dan Serafini       L   5   2   1   1   0   1   0   0   0   0   0  .400  .500 1.000 
Jeff Suppan        R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Salomon Torres     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Kip Wells          R   6   1   0   0   1   0   0   2   1   0   0  .167  .286  .667 
Jerome Williams    R   6   1   0   0   0   0   0   1   1   0   0  .167  .286  .167 
Dontrelle Willis   L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Paul Wilson        R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Kerry Wood         R   6   2   1   0   0   1   0   2   0   0   0  .333  .429  .500 
Carlos Zambrano    R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000
