Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Aber            L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Ted Abernathy      R   7   3   1   1   0   3   0   0   0   0   0  .429  .600  .857 
Johnny Antonelli   L  14   4   1   0   0   1   0   2   0   0   0  .286  .333  .357 
Jim Bagby          R   9   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Ed Bahr            R   7   1   0   0   1   2   0   1   0   0   0  .143  .333  .571 
Dan Bankhead       R   7   3   0   0   0   3   0   2   0   0   0  .429  .600  .429 
Jack Banta         R   2   2   0   0   0   2   0   0   0   0   0 1.000 1.000 1.000 
Rex Barney         R  28   9   2   0   1   2   0   5   1   0   0  .321  .387  .500 
Red Barrett        R  40  13   1   0   4   7   1   2   0   1   0  .325  .426  .650 
Johnny Beazley     R  10   1   0   0   0   2   0   1   0   0   0  .100  .250  .100 
Hank Behrman       R  20   6   1   0   1   1   0   4   0   0   0  .300  .333  .500 
Vern Bickford      R  55  14   2   0   2  11   1   4   0   0   0  .255  .379  .400 
Babe Birrer        R   8   2   0   0   0   1   0   0   0   0   1  .250  .300  .250 
Hi Bithorn         R   6   1   0   0   1   4   0   1   0   0   0  .167  .500  .667 
Joe Black          R   4   0   0   0   0   2   1   2   0   0   0  .000  .333  .000 
Tiny Bonham        R  22   3   0   1   1   0   0   1   0   0   0  .136  .136  .364 
Hank Borowy        R  31   8   3   0   0   4   1   5   0   1   0  .258  .343  .355 
Cloyd Boyer        R  21   4   1   1   0   7   0   2   0   0   0  .190  .393  .333 
Ralph Branca       R  44   8   3   0   0  10   1   3   0   0   0  .182  .333  .250 
Al Brazle          L  57  15   2   0   0   3   0  16   1   2   0  .263  .311  .298 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Harry Brecheen     L  66  18   5   1   0  10   0  10   0   0   0  .273  .368  .379 
Tom Brewer         R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Mike Budnick       R   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Bob Buhl           R   5   3   0   0   1   0   0   0   0   0   0  .600  .600 1.200 
Jim Bunning        R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Lew Burdette       R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Ken Burkhart       R  18   6   1   0   0   1   1   1   0   0   0  .333  .368  .389 
