Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R   8   2   2   0   0   0   0   2   0   0   0  .250  .250  .500 
Jim Acker          R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Juan Agosto        L   8   2   0   0   0   1   0   2   1   0   1  .250  .364  .250 
Rick Aguilera      R  22   8   0   1   0   4   0   5   0   0   0  .364  .462  .455 
Doyle Alexander    R  19   6   1   0   2   2   0   1   0   0   0  .316  .381  .684 
Neil Allen         R  13   3   0   1   1   1   1   2   0   0   0  .231  .286  .615 
Larry Andersen     R  14   4   1   0   0   1   0   3   0   0   0  .286  .333  .357 
Rick Anderson      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Joaquin Andujar    R  25   5   2   1   0   3   1   3   0   0   0  .200  .286  .360 
Kevin Appier       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jack Armstrong     R  10   3   0   1   0   2   1   3   0   0   1  .300  .385  .500 
Mike Armstrong     R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Paul Assenmacher   L  17   4   0   0   0   1   0   6   0   0   1  .235  .263  .235 
Jerry Augustine    L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Jay Baller         R  13   3   1   0   0   0   0   2   0   0   0  .231  .231  .308 
Floyd Bannister    L   7   2   0   0   0   0   0   3   0   0   0  .286  .286  .286 
Len Barker         R   8   1   0   0   1   0   0   0   0   0   0  .125  .125  .500 
Dave Beard         R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jim Beattie        R   9   3   1   0   1   0   0   0   0   0   0  .333  .333  .778 
Steve Bedrosian    R  14   5   1   1   0   0   0   1   0   0   1  .357  .333  .571 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tim Belcher        R  19   7   0   0   0   3   0   4   0   0   0  .368  .455  .368 
Andy Benes         R  20   3   0   0   1   3   0   4   0   0   0  .150  .261  .300 
Juan Berenguer     R   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Bruce Berenyi      R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Mike Bielecki      R  26   5   1   0   1   5   1   4   0   0   1  .192  .313  .346 
Tim Birtsas        L   9   4   1   0   2   0   0   1   0   0   0  .444  .444 1.222 
Buddy Black        L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Vida Blue          L  13   1   0   0   0   2   0   1   0   0   0  .077  .200  .077 
Joe Boever         R   5   1   1   0   0   2   0   1   0   0   0  .200  .429  .400 
Ricky Bones        R   4   1   0   0   1   2   0   1   0   0   0  .250  .500 1.000 
Greg Booker        R   5   3   2   0   0   0   0   0   0   0   0  .600  .600 1.000 
Rich Bordi         R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Paul Boris         R   2   1   1   0   0   2   0   0   0   0   0  .500  .750 1.000 
Chris Bosio        R   7   3   0   0   0   0   0   0   0   0   0  .429  .429  .429 
Shawn Boskie       R  10   2   1   0   0   1   0   0   0   0   1  .200  .250  .300 
Oil Can Boyd       R  16   2   1   0   0   2   0   1   0   0   0  .125  .222  .188 
Jeff Brantley      R   2   0   0   0   0   2   2   0   0   0   0  .000  .500  .000 
Tom Browning       L  54  15   2   0   5   4   0   6   1   0   1  .278  .333  .593 
Warren Brusstar    R   3   0   0   0   0   3   0   0   0   0   0  .000  .500  .000 
Tom Burgmeier      L  12   2   2   0   0   1   0   1   0   2   0  .167  .231  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tim Burke          R  20   4   0   1   1   2   0   3   0   0   0  .200  .273  .450 
John Burkett       R  10   2   1   0   1   1   0   1   0   0   1  .200  .250  .600 
Todd Burns         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Ray Burris         R  12   3   0   0   1   2   1   2   0   0   0  .250  .357  .500 
John Butcher       R   3   1   0   0   1   1   1   0   0   0   0  .333  .500 1.333 
Jeff Calhoun       L   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Rick Camp          R   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
Bill Campbell      R   6   2   0   0   0   1   0   1   0   0   1  .333  .375  .333 
John Candelaria    L  11   2   0   0   0   1   0   7   0   0   1  .182  .231  .182 
Cris Carpenter     R  11   2   0   0   1   1   0   3   0   0   0  .182  .250  .455 
Frank Castillo     R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Bobby Castillo     R   7   1   1   0   0   0   0   1   0   0   0  .143  .143  .286 
