Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R   4   1   0   0   1   2   0   1   0   0   0  .250  .500 1.000 
Jack Aker          R   7   2   0   0   0   1   0   2   0   0   0  .286  .375  .286 
Doyle Alexander    R   8   4   1   0   1   2   2   1   0   0   0  .500  .600 1.000 
Lloyd Allen        R   2   0   0   0   0   3   0   2   0   0   1  .000  .500  .000 
Fernando Arroyo    R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Stan Bahnsen       R  33  10   1   1   1   1   0   3   0   0   0  .303  .324  .485 
Dave Baldwin       R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Ray Bare           R  14   5   0   0   0   2   0   2   0   0   0  .357  .438  .357 
F. Barrios         R   4   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Fred Beene         R   4   0   0   0   0   1   1   0   0   0   0  .000  .200  .000 
Gary Bell          R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Jim Bibby          R  20   3   1   0   0   2   0   4   0   0   0  .150  .227  .200 
Doug Bird          R   6   3   0   0   0   1   0   1   0   0   0  .500  .571  .500 
Vida Blue          L   8   3   0   1   0   0   0   3   0   0   0  .375  .375  .625 
Bert Blyleven      R  41   4   0   0   0   5   0  18   0   0   1  .098  .191  .098 
Dick Bosman        R  24   5   1   0   0   4   0   5   0   0   1  .208  .310  .250 
Dave Boswell       R  10   1   0   1   0   2   0   5   0   0   0  .100  .250  .300 
Tom Bradley        R  10   0   0   0   0   1   0   1   0   1   0  .000  .091  .000 
Pete Broberg       R   3   1   1   0   0   3   0   1   0   0   0  .333  .667  .667 
Jackie Brown       R  10   4   0   0   0   1   0   2   0   0   0  .400  .455  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Wally Bunker       R  17   7   2   0   1   3   0   4   0   0   0  .412  .500  .706 
Bill Burbach       R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tom Burgmeier      L  12   0   0   0   0   0   0   3   1   0   0  .000  .077  .000 
Steve Busby        R  17   4   0   0   0   1   0   4   0   0   1  .235  .263  .235 
Tom Buskey         R   4   0   0   0   0   1   1   1   1   0   0  .000  .333  .000 
Bill Butler        L  11   3   0   0   0   1   0   3   0   0   0  .273  .333  .273 
Les Cain           L   6   2   0   0   0   2   0   2   0   0   0  .333  .500  .333 
Bill Campbell      R   7   1   0   0   0   0   0   5   0   0   1  .143  .125  .143 
Bill Champion      R   7   3   1   0   0   1   0   1   0   0   0  .429  .500  .571 
Dean Chance        R   6   2   0   1   0   4   1   0   0   0   0  .333  .600  .667 
Reggie Cleveland   R   8   1   1   0   0   5   0   2   0   0   0  .125  .462  .250 
Jim Colborn        R   6   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Joe Coleman        R  30   7   1   2   0   5   0  11   0   0   0  .233  .343  .400 
Ray Corbin         R  11   2   1   0   0   0   0   3   0   1   0  .182  .182  .273 
Casey Cox          R  10   3   0   0   1   2   0   0   0   0   0  .300  .417  .600 
Jim Crawford       L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Mike Cuellar       L  18   6   0   0   3   1   0   4   0   0   0  .333  .368  .833 
Ray Culp           R  19   4   1   0   1   5   0   2   0   0   0  .211  .375  .421 
John Cumberland    L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Bruce Dal Canton   R  10   1   0   0   0   1   0   1   0   0   0  .100  .182  .100 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Decker         R   7   2   1   0   0   2   0   1   0   0   0  .286  .444  .429 
Chuck Dobson       R  22   4   1   0   0   6   0   6   0   0   0  .182  .357  .227 
Pat Dobson         R  19  10   3   0   0   2   0   3   0   0   0  .526  .571  .684 
Moe Drabowsky      R   7   0   0   0   0   2   0   4   0   0   1  .000  .200  .000 
Dick Drago         R  41  14   3   1   1   2   0   5   1   0   0  .341  .386  .537 
Steve Dunning      R   9   4   1   0   0   2   0   3   0   0   1  .444  .500  .556 
Dennis Eckersley   R  15   5   0   0   1   0   0   5   0   0   0  .333  .333  .533 
Bruce Ellingsen    L   5   1   0   0   1   0   0   1   0   0   0  .200  .200  .800 
Dock Ellis         R   6   2   1   0   0   0   0   1   1   0   0  .333  .429  .500 
Ed Figueroa        R  14   4   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Rollie Fingers     R  22   6   1   0   0   4   0   4   0   0   0  .273  .385  .318 
Eddie Fisher       R   7   1   1   0   0   0   0   1   0   0   0  .143  .143  .286 
Al Fitzmorris      R  13   2   0   0   0   1   0   3   0   0   0  .154  .214  .154 
Steve Foucault     R   8   1   0   0   0   1   0   0   0   0   0  .125  .222  .125 
Gene Garber        R   9   2   0   0   1   0   0   1   0   0   0  .222  .222  .556 
Wayne Garland      R  16   5   0   0   0   4   1   1   0   0   0  .313  .450  .313 
Bill Gogolewski    R   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Dave Goltz         R  17   4   2   0   0   3   0   3   0   0   0  .235  .350  .353 
Rich Gossage       R  11   3   1   0   1   0   0   5   0   0   0  .273  .273  .636 
Wayne Granger      R   5   2   0   1   0   1   0   0   0   1   0  .400  .500  .800 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mudcat Grant       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Steve Grilli       R   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Joe Grzenda        L   5   2   0   0   0   0   0   1   0   1   0  .400  .400  .400 
Jack Hamilton      R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Steve Hamilton     L   6   1   0   0   1   0   0   1   0   1   0  .167  .167  .667 
Pete Hamm          R   3   3   1   0   1   1   0   0   0   0   0 1.000 1.000 2.333 
Rich Hand          R   7   1   0   0   0   1   0   3   0   0   0  .143  .250  .143 
Jim Hannan         R  12   2   0   1   0   1   0   4   0   0   0  .167  .231  .333 
Jim Hardin         R   5   1   0   0   0   2   1   0   0   0   0  .200  .429  .200 
Steve Hargan       R  15   5   1   0   0   4   0   3   0   0   0  .333  .474  .400 
Roric Harrison     R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Paul Hartzell      R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Mike Hedlund       R   9   4   0   1   0   2   1   1   0   0   0  .444  .545  .667 
Phil Hennigan      R   5   2   0   0   0   2   0   0   0   0   0  .400  .571  .400 
Dennis Higgins     R   4   1   0   0   0   2   0   2   0   0   0  .250  .500  .250 
Tom Hilgendorf     L   4   3   1   0   1   0   0   0   1   0   0  .750  .800 1.750 
John Hiller        L   6   1   0   0   0   0   0   3   0   1   0  .167  .167  .167 
Ken Holtzman       L   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Don Hood           L   9   2   0   0   0   0   0   4   0   0   0  .222  .222  .222 
Joe Horlen         R  20   8   2   0   0   5   0   2   0   1   0  .400  .520  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Hughes         R   5   1   0   0   0   2   0   1   0   0   1  .200  .375  .200 
Bob Humphreys      R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Catfish Hunter     R  41   7   1   0   0   5   0  10   0   0   0  .171  .261  .195 
Grant Jackson      L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Gerry Janeski      R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Jesse Jefferson    R   5   1   0   0   0   2   0   2   0   0   0  .200  .429  .200 
Fergie Jenkins     R  12   2   0   1   0   0   0   5   0   0   0  .167  .167  .333 
Tommy John         L   3   0   0   0   0   3   0   1   0   0   0  .000  .500  .000 
Bart Johnson       R  11   3   1   0   0   3   0   1   0   1   0  .273  .429  .364 
Jerry Johnson      R   3   0   0   0   0   2   1   0   0   0   0  .000  .400  .000 
Bob Johnson        R  12   2   1   0   0   2   0   1   1   0   0  .167  .333  .250 
Jim Kaat           L  14   3   1   0   0   1   0   5   0   0   0  .214  .267  .286 
Steve Kealey       R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Jim Kern           R   5   0   0   0   0   2   0   1   0   0   0  .000  .286  .000 
Mike Kilkenny      L   8   2   0   0   1   1   0   3   0   0   0  .250  .333  .625 
Don Kirkwood       R   8   1   1   0   0   1   0   0   0   0   0  .125  .222  .250 
Steve Kline        R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Darold Knowles     L   5   1   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Lew Krausse        R   4   2   0   0   0   3   0   1   0   0   0  .500  .714  .500 
Lerrin LaGrow      R  11   2   0   0   1   2   0   2   0   0   0  .182  .308  .455 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dave LaRoche       L   4   1   0   0   0   0   0   3   0   1   0  .250  .250  .250 
Fred Lasher        R   8   4   1   0   1   1   0   1   0   0   0  .500  .556 1.000 
Bill Lee           L  13   4   1   0   1   2   0   3   0   0   0  .308  .400  .615 
Dave Lemanczyk     R   9   1   0   0   0   1   0   2   0   0   0  .111  .200  .111 
Dennis Leonard     R   7   1   1   0   0   1   0   2   0   0   0  .143  .250  .286 
Paul Lindblad      L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dick Lines         L   5   1   0   0   1   1   0   1   0   0   0  .200  .333  .800 
Bob Locker         R   2   1   0   0   0   1   0   0   0   1   0  .500  .667  .500 
Mickey Lolich      L  10   1   0   0   0   0   0   6   0   0   0  .100  .100  .100 
Jim Lonborg        R  12   1   0   0   0   2   1   6   1   0   0  .083  .267  .083 
Sparky Lyle        L   8   7   2   0   0   2   0   1   0   0   0  .875  .900 1.125 
Jim Magnuson       L   3   1   0   0   0   0   0   2   0   1   0  .333  .333  .333 
Rudy May           L  10   2   0   0   0   1   0   2   0   0   0  .200  .273  .200 
Mike McCormick     L   5   1   0   0   0   2   0   1   0   0   0  .200  .429  .200 
Lindy McDaniel     R  14   4   1   0   0   2   0   5   0   0   0  .286  .375  .357 
Sam McDowell       L   5   2   0   0   1   0   0   2   0   0   0  .400  .400 1.000 
Jim McGlothlin     R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Denny McLain       R  19   5   1   1   1   3   0   2   0   0   0  .263  .364  .579 
Dave McNally       L  18   2   0   0   1   0   0   1   0   0   0  .111  .111  .278 
Doc Medich         R  17   5   2   0   1   1   0   1   0   0   0  .294  .333  .588 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Andy Messersmith   R  12   1   1   0   0   6   0   3   0   0   0  .083  .389  .167 
Steve Mingori      L   5   1   0   0   0   0   0   2   0   1   0  .200  .200  .200 
Paul Mitchell      R   6   1   0   0   1   1   0   0   0   0   0  .167  .286  .667 
Monty Montgomery   R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dave Morehead      R   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 
Roger Moret        L   8   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Danny Murphy       R   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Tom Murphy         R  28   6   0   0   0   2   0   9   0   1   0  .214  .267  .214 
Mike Nagy          R   9   2   0   0   1   2   0   3   0   0   0  .222  .364  .556 
Jim Nash           R   8   3   0   1   0   0   0   0   0   0   0  .375  .375  .625 
Roger Nelson       R  11   1   0   0   0   3   0   4   0   1   0  .091  .286  .091 
Joe Niekro         R   5   3   1   0   0   0   0   1   0   1   0  .600  .600  .800 
Blue Moon Odom     R  15   4   1   0   0   6   0   3   0   1   1  .267  .455  .333 
John O'Donoghue    L   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Phil Ortega        R  11   1   0   0   0   3   0   3   0   0   0  .091  .286  .091 
Denny O'Toole      R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Jim Palmer         R  47   7   0   0   2   8   0  12   0   0   0  .149  .273  .277 
Camilo Pascual     R   4   2   1   0   1   2   0   1   0   0   0  .500  .667 1.500 
Marty Pattin       R  19   5   0   1   0   1   0   3   0   0   0  .263  .300  .368 
Ron Perranoski     L   5   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gaylord Perry      R  28   8   0   0   0   5   0   5   0   1   0  .286  .394  .286 
Jim Perry          R  22   4   1   0   0   4   1   5   0   1   0  .182  .308  .227 
Gary Peters        L   5   2   0   0   0   3   0   2   0   0   0  .400  .625  .400 
Fritz Peterson     L   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Tom Phoebus        R   9   4   0   0   1   1   0   2   0   0   0  .444  .500  .778 
Horacio Pina       R   3   1   0   0   1   3   1   1   0   0   0  .333  .667 1.333 
Juan Pizarro       L   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Dick Pole          R   7   2   0   0   1   3   1   2   0   0   0  .286  .500  .714 
Bob Priddy         R   7   3   0   0   0   0   0   2   0   0   0  .429  .429  .429 
Mel Queen          R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bob Reynolds       R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Pete Richert       L   7   0   0   0   0   1   0   2   0   0   0  .000  .125  .000 
Vicente Romo       R   3   1   1   0   0   1   1   1   0   0   0  .333  .500  .667 
Gary Ross          R   4   2   0   0   1   1   0   1   0   0   0  .500  .600 1.250 
Dave Rozema        R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Vern Ruhle         R  13   5   1   0   0   2   0   1   0   0   1  .385  .438  .462 
Nolan Ryan         R  17   4   0   0   0   3   1   7   0   0   0  .235  .350  .235 
Ken Sanders        R   3   2   0   0   0   0   0   0   0   1   0  .667  .667  .667 
Diego Segui        R  17   2   0   0   1   2   0   7   0   0   0  .118  .211  .294 
Sonny Siebert      R  25   2   0   0   0   3   0  11   0   1   0  .080  .179  .080 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bill Singer        R  10   2   2   0   0   3   0   3   0   0   0  .200  .385  .400 
Jim Slaton         R  10   2   0   0   0   0   0   2   0   1   0  .200  .200  .200 
Joe Sparma         R   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 
Ed Sprague         R   4   2   0   0   0   1   1   1   0   0   0  .500  .600  .500 
Lee Stange         R   9   1   1   0   0   1   0   1   0   0   0  .111  .200  .222 
Don Stanhouse      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Steve Stone        R   3   1   0   0   1   1   0   1   0   0   0  .333  .500 1.333 
Mel Stottlemyre    R  34   7   0   0   0   1   0   3   0   1   0  .206  .229  .206 
Dick Such          R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Ken Tatum          R   7   2   2   0   0   0   0   1   0   0   0  .286  .286  .571 
Stan Thomas        R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Luis Tiant         R  39   7   0   0   0   9   0  12   0   0   0  .179  .333  .179 
Dick Tidrow        R  26   9   1   0   2   2   0   4   0   1   0  .346  .393  .615 
Jim Todd           R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Mike Torrez        R  10   1   0   0   0   2   0   2   0   0   0  .100  .250  .100 
Eddie Watt         R   4   0   0   0   0   3   0   0   0   0   0  .000  .429  .000 
Milt Wilcox        R  12   3   0   0   1   0   0   2   0   0   0  .250  .250  .500 
Stan Williams      R   7   4   1   0   0   1   0   0   0   0   0  .571  .625  .714 
Jim Willoughby     R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Earl Wilson        R  13   4   0   0   1   1   0   3   0   0   0  .308  .357  .538 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rick Wise          R  22   5   0   0   3   1   0   5   0   0   0  .227  .261  .636 
Wilbur Wood        L   7   2   0   0   1   0   0   1   0   1   0  .286  .286  .714 
Clyde Wright       L   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
John Wyatt         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Billy Wynne        R   5   3   1   0   0   1   0   0   0   0   0  .600  .667  .800 
Bill Zepp          R   7   4   2   0   0   2   1   2   0   0   0  .571  .667  .857
