Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
David Aardsma      R   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Jose Acevedo       R   9   3   2   0   0   0   0   2   0   0   0  .333  .333  .556 
Juan Acevedo       R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Mike Adams         R   5   2   1   0   0   1   1   0   0   0   0  .400  .500  .600 
Terry Adams        R  20   7   3   0   1   3   1   5   0   0   0  .350  .435  .650 
Jeremy Affeldt     L  10   3   1   0   0   1   0   1   0   0   0  .300  .364  .400 
Rick Aguilera      R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Kurt Ainsworth     R   6   3   0   0   0   1   0   1   0   0   0  .500  .571  .500 
A. Alfonseca       R   8   1   0   0   0   0   0   0   1   0   0  .125  .222  .125 
Armando Almanza    L   7   2   0   0   0   1   0   2   0   0   0  .286  .375  .286 
Wilson Alvarez     L  16   6   2   0   3   2   0   3   0   0   0  .375  .444 1.063 
Brian Anderson     L  33  12   4   0   0   3   0   6   0   0   0  .364  .417  .485 
Jimmy Anderson     L   8   3   1   0   0   0   0   1   1   0   0  .375  .444  .500 
Rick Ankiel        L   3   2   1   0   0   2   0   0   0   0   0  .667  .800 1.000 
Kevin Appier       R   4   2   1   0   1   0   0   1   0   0   0  .500  .500 1.500 
Greg Aquino        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Tony Armas         R  16   8   2   0   2   8   1   3   1   0   1  .500  .654 1.000 
Jamie Arnold       R   7   6   2   0   1   0   0   1   0   0   0  .857  .857 1.571 
Bronson Arroyo     R  27  10   0   0   3   4   0   2   0   0   0  .370  .452  .704 
Andy Ashby         R  27   7   0   0   2   6   1   3   1   0   0  .259  .412  .481 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Pedro Astacio      R   7   2   1   0   1   3   0   0   0   0   0  .286  .500  .857 
Scott Atchison     R   3   2   1   0   0   1   0   1   0   0   0  .667  .750 1.000 
John Axford        R   8   2   0   0   0   1   0   0   0   0   0  .250  .333  .250 
Luis Ayala         R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Manny Aybar        R  12   4   2   0   0   1   0   0   0   0   0  .333  .385  .500 
Brandon Backe      R   3   1   0   0   0   1   1   1   0   0   0  .333  .500  .333 
Danys Baez         R   5   1   0   0   1   0   0   0   0   0   0  .200  .200  .800 
Homer Bailey       R  15   5   1   0   0   0   0   1   0   0   0  .333  .333  .400 
James Baldwin      R  10   5   0   0   1   1   0   0   0   0   1  .500  .500  .800 
Brian Bannister    R   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Anthony Bass       R   6   0   0   0   0   1   0   0   0   0   0  .000  .143  .000 
Miguel Batista     R  35  10   4   0   2  16   1   4   0   0   1  .286  .500  .571 
Brandon Beachy     R   4   1   1   0   0   0   0   1   0   0   1  .250  .200  .500 
Rod Beck           R   5   0   0   0   0   2   1   3   0   0   0  .000  .286  .000 
Josh Beckett       R  12   4   1   0   1   4   0   2   0   0   0  .333  .500  .667 
Joe Beimel         L  16   4   2   0   0   3   0   0   0   0   0  .250  .368  .375 
Stan Belinda       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Ronald Belisario   R   8   1   0   0   0   0   0   1   0   0   1  .125  .111  .125 
Matt Belisle       R   6   1   0   0   1   1   0   1   0   0   0  .167  .286  .667 
Heath Bell         R  16   5   2   0   0   4   1   4   0   0   0  .313  .450  .438 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Alan Benes         R   3   2   1   0   1   1   0   0   0   0   0  .667  .750 2.000 
Andy Benes         R  31  10   4   0   1   4   0   5   0   0   0  .323  .400  .548 
Armando Benitez    R   9   3   0   0   2   4   1   3   0   0   0  .333  .538 1.000 
Jeff Bennett       R   5   2   1   0   1   0   0   0   0   0   0  .400  .400 1.200 
Shayne Bennett     R   4   3   0   0   1   0   0   0   0   0   0  .750  .750 1.500 
Kris Benson        R  18   3   1   0   0   4   1   0   0   0   1  .167  .304  .222 
Jason Bere         R  11   2   0   0   1   1   0   1   0   0   0  .182  .250  .455 
Sean Bergman       R   9   5   1   0   1   0   0   1   0   0   0  .556  .556 1.000 
Adam Bernero       R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Chad Billingsley   R  29  12   2   0   2   6   0   4   0   0   0  .414  .514  .690 
Willie Blair       R  13   3   2   0   0   0   0   1   0   0   0  .231  .231  .385 
Joe Blanton        R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Brian Boehringer   R  10   2   0   0   0   1   0   4   0   0   0  .200  .273  .200 
Jeremy Bonderman   R   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Pedro Borbon       L   4   2   0   0   2   0   0   0   0   0   0  .500  .500 2.000 
Ricky Bottalico    R   5   4   0   0   1   1   1   1   0   0   0  .800  .833 1.400 
Kent Bottenfield   R  11   6   1   0   1   2   0   0   0   0   0  .545  .615  .909 
Blaine Boyer       R   7   2   0   0   0   2   0   1   0   0   0  .286  .444  .286 
Brad Brach         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bill Bray          L   7   2   0   0   0   1   0   1   0   0   0  .286  .375  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dewon Brazelton    R   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
Yhency Brazoban    R   2   1   1   0   0   3   0   0   0   0   0  .500  .800 1.000 
Craig Breslow      L   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
Doug Brocail       R   5   2   1   0   0   1   0   0   0   0   0  .400  .500  .600 
Chris Brock        R   7   3   0   0   1   2   0   0   0   0   0  .429  .556  .857 
Troy Brohawn       L   6   1   0   0   1   2   1   2   0   0   0  .167  .375  .667 
Jim Brower         R  17   6   2   0   1   3   1   1   0   0   0  .353  .450  .647 
Kevin Brown        R  42   9   2   0   0   6   0  10   2   0   0  .214  .340  .262 
Jonathan Broxton   R  12   4   1   0   1   3   0   2   0   0   0  .333  .467  .667 
Brian Bruney       R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
M. Bumgarner       L  10   4   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Dave Burba         R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
John Burkett       R  11   5   1   0   0   2   2   1   0   0   0  .455  .538  .545 
A.J. Burnett       R  22   6   4   0   0   2   0   5   0   0   0  .273  .333  .455 
Sean Burnett       L   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Mike Busby         R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
David Bush         R   6   1   1   0   0   2   0   0   0   0   0  .167  .375  .333 
Mike Bynum         L   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
Paul Byrd          R  16   5   1   0   2   0   0   2   0   0   0  .313  .313  .750 
Tim Byrdak         L   4   1   0   0   1   0   0   2   0   0   1  .250  .200 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Daniel Cabrera     R   5   1   0   0   1   1   1   0   0   0   1  .200  .286  .800 
Jose Cabrera       R   7   3   1   0   1   0   0   1   0   0   0  .429  .429 1.000 
Trevor Cahill      R   9   1   0   0   0   1   0   2   0   0   0  .111  .200  .111 
Matt Cain          R  60  12   3   0   3   9   0   6   1   0   1  .200  .310  .400 
Kevin Cameron      R   4   4   0   0   0   1   1   0   0   0   0 1.000 1.000 1.000 
Chris Capuano      L  39  12   3   0   0   2   0   8   0   0   0  .308  .341  .385 
Chris Carpenter    R  16   3   0   0   0   3   0   1   0   0   1  .188  .300  .188 
Giovanni Carrara   R  12   5   1   0   1   1   0   2   0   0   0  .417  .462  .750 
D.J. Carrasco      R   4   0   0   0   0   3   1   2   0   0   0  .000  .429  .000 
Andrew Cashner     R   5   1   0   0   0   2   0   2   0   0   0  .200  .429  .200 
Santiago Casilla   R   5   1   0   1   0   0   0   0   0   0   0  .200  .200  .600 
Shawn Chacon       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Bruce Chen         L  10   4   1   0   0   1   0   0   0   0   1  .400  .417  .500 
Randy Choate       L   9   3   2   0   0   2   1   3   0   0   0  .333  .455  .556 
J. Christiansen    L  13   1   0   0   1   3   0   3   0   0   0  .077  .250  .308 
Vinnie Chulk       R   8   2   1   0   1   0   0   3   0   0   0  .250  .250  .750 
Mark Clark         R   6   1   1   0   0   2   1   0   0   0   1  .167  .333  .333 
Brandon Claussen   L   5   2   0   0   1   1   0   0   0   0   0  .400  .500 1.000 
Roger Clemens      R  11   2   0   0   1   2   0   2   0   0   0  .182  .308  .455 
Matt Clement       R  20  10   2   0   1   6   2   3   0   0   0  .500  .615  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Todd Coffey        R   3   2   0   0   0   1   1   0   0   0   0  .667  .750  .667 
Dave Coggin        R   4   2   0   1   0   0   0   1   0   0   0  .500  .500 1.000 
Phil Coke          L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Josh Collmenter    R  11   2   1   0   0   1   0   1   0   0   0  .182  .250  .273 
Bartolo Colon      R   5   2   0   0   1   1   0   0   0   0   0  .400  .500 1.000 
Steve Colyer       L   3   2   1   0   0   3   0   0   0   0   0  .667  .833 1.000 
Clay Condrey       R   7   1   1   0   0   2   0   1   0   0   0  .143  .333  .286 
