Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L  16   5   1   0   0   1   0   5   0   0   0  .313  .353  .375 
Rick Aguilera      R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Wilson Alvarez     L  13   3   0   0   0   4   0   2   0   1   0  .231  .412  .231 
Kevin Appier       R   8   1   0   0   0   2   0   2   0   0   0  .125  .300  .125 
Scott Bankhead     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tim Belcher        R   5   3   1   0   1   1   0   0   0   0   0  .600  .667 1.400 
Tom Bolton         L   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Kevin Brown        R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Jim Bullinger      R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Roger Clemens      R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
David Cone         R   5   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
John Dettmer       R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
John Doherty       R   4   1   0   0   0   0   0   2   0   1   0  .250  .250  .250 
Mark Eichhorn      R   4   2   0   0   0   1   0   0   0   1   0  .500  .600  .500 
Cal Eldred         R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
Scott Erickson     R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Hector Fajardo     R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Sid Fernandez      L   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Chuck Finley       L   9   2   1   0   0   0   0   1   0   0   0  .222  .222  .333 
Dave Fleming       L   4   1   1   0   0   1   0   1   0   0   0  .250  .400  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Eddie Guardado     L   4   2   0   0   1   2   0   1   0   0   0  .500  .667 1.250 
Mark Gubicza       R   8   5   1   0   0   0   0   1   0   0   0  .625  .625  .750 
Juan Guzman        R   8   1   1   0   0   0   0   5   0   0   0  .125  .125  .250 
Pat Hentgen        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Joe Hesketh        L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Kevin Jarvis       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Randy Johnson      L  20   3   0   0   1   4   0  11   0   0   0  .150  .292  .300 
Al Leiter          L   6   1   0   0   0   0   0   4   0   0   0  .167  .167  .167 
Scott Lewis        R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Esteban Loaiza     R   4   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Mike Magnante      L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Ben McDonald       R   6   1   1   0   0   0   0   1   0   1   0  .167  .167  .333 
Jack McDowell      R   9   2   1   0   0   0   0   3   0   0   0  .222  .222  .333 
Rusty Meacham      R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Jose Mesa          R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Angel Miranda      L   5   2   0   0   0   1   0   3   0   0   0  .400  .500  .400 
Mike Moore         R   7   1   0   0   1   0   0   1   0   0   0  .143  .143  .571 
Jack Morris        R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Jamie Moyer        L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Terry Mulholland   L   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Mussina       R  12   3   2   0   1   2   0   2   0   0   0  .250  .357  .667 
Chris Nabholz      L   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Jaime Navarro      R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Rafael Novoa       L   3   0   0   0   0   1   0   1   0   1   0  .000  .250  .000 
Dave Otto          L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Melido Perez       R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Mark Portugal      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Tim Pugh           R   4   1   0   0   1   1   0   1   0   0   0  .250  .400 1.000 
Kenny Rogers       L   8   3   1   0   0   0   0   0   0   0   0  .375  .375  .500 
Scott Sanderson    R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Aaron Sele         R   3   1   0   0   0   1   0   0   1   0   0  .333  .600  .333 
Dave Stewart       R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Mike Trombley      R   5   1   0   0   1   0   0   2   0   0   0  .200  .200  .800 
George Tsamis      L   6   3   2   0   0   0   0   0   0   0   0  .500  .500  .833 
Ismael Valdez      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
F. Valenzuela      L   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
David Wells        L   7   0   0   0   0   2   0   2   0   0   0  .000  .222  .000 
Cliff Young        L   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500
