Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Matt Albers        R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Tony Armas         R   7   2   0   0   0   1   0   2   1   0   0  .286  .444  .286 
Bronson Arroyo     R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Luis Ayala         R   8   4   0   0   1   0   0   1   0   1   0  .500  .500  .875 
Brian Bannister    R  10   3   0   0   1   0   0   2   0   0   0  .300  .300  .600 
Joe Beimel         L   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Matt Belisle       R   6   4   1   0   1   1   0   0   0   0   0  .667  .714 1.333 
Jeff Bennett       R   8   2   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Kris Benson        R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Jason Bergmann     R  18   5   4   0   0   0   0   3   0   0   0  .278  .278  .500 
Chad Billingsley   R   9   2   1   0   0   2   0   3   0   0   0  .222  .364  .333 
Joe Blanton        R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Blaine Boyer       R   4   2   1   0   0   0   0   0   1   0   0  .500  .600  .750 
Taylor Buchholz    R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
A.J. Burnett       R   5   2   0   0   1   1   0   1   0   0   0  .400  .500 1.000 
David Bush         R   8   3   1   0   0   1   0   2   0   0   0  .375  .444  .500 
Daniel Cabrera     R   6   2   1   0   0   2   0   1   0   0   0  .333  .500  .500 
Matt Cain          R  15   3   1   0   1   1   0   4   0   0   0  .200  .250  .467 
Shawn Camp         R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Jorge Campillo     R   9   2   0   0   0   0   0   4   0   0   0  .222  .222  .222 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Matt Capps         R   4   3   0   0   1   1   1   0   0   0   0  .750  .800 1.500 
Chris Capuano      L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Buddy Carlyle      R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Shawn Chacon       R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Matt Chico         L   5   3   0   0   1   0   0   1   0   0   0  .600  .600 1.200 
Clay Condrey       R   7   1   0   0   0   2   0   0   0   0   0  .143  .333  .143 
Aaron Cook         R  12   3   0   0   0   4   0   2   0   0   0  .250  .438  .250 
F. Cordero         R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Lance Cormier      R   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Manuel Corpas      R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Kevin Correia      R  10   2   1   0   0   1   0   1   0   0   0  .200  .273  .300 
Juan Cruz          R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Johnny Cueto       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Kyle Davies        R   6   1   0   0   1   0   0   2   0   0   1  .167  .143  .667 
Doug Davis         L   6   4   1   0   1   2   0   0   0   0   0  .667  .750 1.333 
Wade Davis         R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Jorge de la Rosa   L  11   3   0   0   0   0   0   2   0   0   0  .273  .273  .273 
Ryan Dempster      R   6   1   0   0   0   1   1   2   0   0   0  .167  .286  .167 
J. Duchscherer     R   4   2   1   0   1   0   0   0   0   0   0  .500  .500 1.500 
Zach Duke          L   8   2   0   0   0   1   0   3   0   0   0  .250  .333  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
J.D. Durbin        R   4   2   1   0   0   1   0   0   0   0   0  .500  .600  .750 
Adam Eaton         R   4   1   1   0   0   0   0   2   1   0   0  .250  .400  .500 
Dana Eveland       L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Scott Eyre         L   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Kyle Farnsworth    R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Pedro Feliciano    L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Doug Fister        R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Josh Fogg          R  10   4   0   1   2   1   0   0   0   0   0  .400  .455 1.200 
Ryan Franklin      R   5   1   0   0   1   0   0   1   0   0   0  .200  .200  .800 
A. Galarraga       R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Jon Garland        R   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Matt Garza         R  14   2   1   0   0   1   0   5   0   0   0  .143  .200  .214 
Chad Gaudin        R   3   1   1   0   0   0   0   0   0   0   1  .333  .250  .667 
Geoff Geary        R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tom Glavine        L   8   4   0   0   0   1   0   2   0   1   0  .500  .556  .500 
Enrique Gonzalez   R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mike Gonzalez      L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Tom Gordon         R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Tom Gorzelanny     L   4   2   0   0   0   0   0   0   1   0   0  .500  .600  .500 
John Grabow        L   5   0   0   0   0   1   0   3   0   0   0  .000  .167  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Zack Greinke       R  11   1   0   0   1   1   0   4   0   0   0  .091  .167  .364 
Jeremy Guthrie     R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Roy Halladay       R   6   2   0   0   0   1   0   2   0   0   0  .333  .429  .333 
Cole Hamels        L  19   4   0   0   1   0   0   4   0   0   0  .211  .211  .368 
Jason Hammel       R   5   3   0   0   0   1   0   1   0   0   0  .600  .667  .600 
Joel Hanrahan      R   9   1   0   0   1   2   0   4   0   0   0  .111  .273  .444 
J.A. Happ          L   8   4   0   0   0   0   0   0   1   0   0  .500  .556  .500 
Aaron Harang       R  18   7   1   0   2   1   1   4   0   0   0  .389  .421  .778 
Rich Harden        R   8   3   0   0   1   2   0   2   1   0   0  .375  .545  .750 
Dan Haren          R  15   1   0   0   0   0   0   6   0   0   0  .067  .067  .067 
Aaron Heilman      R   9   0   0   0   0   2   0   7   1   0   0  .000  .250  .000 
Mark Hendrickson   L   5   1   1   0   0   1   0   1   0   0   0  .200  .333  .400 
David Hernandez    R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Livan Hernandez    R  15   4   0   0   0   2   0   1   0   0   0  .267  .353  .267 
Felix Hernandez    R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
O. Hernandez       R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Shawn Hill         R  12   3   1   0   0   0   0   2   0   0   0  .250  .250  .333 
J.P. Howell        L   6   2   0   0   1   1   0   3   0   0   0  .333  .429  .833 
Tim Hudson         R  14   1   0   0   0   2   0   2   0   0   0  .071  .188  .071 
Phil Hughes        R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Edwin Jackson      R   5   3   0   0   0   1   0   0   0   0   0  .600  .667  .600 
Chuck James        L   8   2   0   0   0   3   0   3   0   0   0  .250  .455  .250 
Casey Janssen      R   6   4   1   0   1   0   0   1   0   0   0  .667  .667 1.333 
Jason Jennings     R   6   3   2   0   0   0   0   0   0   0   0  .500  .500  .833 
Ubaldo Jimenez     R   5   1   0   1   0   0   0   2   0   0   0  .200  .200  .600 
Jair Jurrjens      R  13   2   0   0   0   1   0   6   0   0   0  .154  .214  .154 
Kenshin Kawakami   R   8   2   0   1   0   0   0   1   0   0   0  .250  .250  .500 
Kyle Kendrick      R  14   4   0   0   1   1   0   1   0   0   1  .286  .313  .500 
Ian Kennedy        R   5   1   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Hiroki Kuroda      R   9   1   0   0   0   0   0   2   0   0   0  .111  .111  .111 
John Lannan        L   4   1   0   0   1   1   0   0   0   0   0  .250  .400 1.000 
Wil Ledezma        L   4   2   0   0   1   0   0   2   0   0   0  .500  .500 1.250 
Colby Lewis        R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Brad Lidge         R   4   2   0   0   0   3   0   1   0   0   0  .500  .714  .500 
Jon Lieber         R   7   2   1   0   1   0   0   1   0   0   0  .286  .286  .857 
Ted Lilly          L  10   4   2   0   0   0   0   4   0   0   0  .400  .400  .600 
Kyle Lohse         R   8   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Braden Looper      R  13   2   0   0   0   1   0   6   0   0   0  .154  .214  .154 
Derek Lowe         R  17   6   1   0   0   2   0   3   0   0   0  .353  .421  .412 
Brandon Lyon       R   4   3   3   0   0   0   0   0   0   0   0  .750  .750 1.500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Greg Maddux        R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 
Ryan Madson        R   5   0   0   0   0   2   1   3   0   0   0  .000  .286  .000 
Paul Maholm        L  10   2   0   0   1   1   0   4   0   0   0  .200  .273  .500 
John Maine         R  18   5   1   0   0   2   0   5   0   0   0  .278  .350  .333 
Gary Majewski      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Shaun Marcum       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Carlos Marmol      R   8   1   1   0   0   0   0   5   0   0   0  .125  .125  .250 
Jason Marquis      R  12   3   0   0   1   0   0   3   0   0   1  .250  .231  .500 
Sean Marshall      L   5   2   0   0   1   3   0   1   1   0   0  .400  .667 1.000 
Pedro Martinez     R  11   2   2   0   0   0   0   5   0   0   0  .182  .182  .364 
Shairon Martis     R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Gil Meche          R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Kevin Millwood     R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Matt Morris        R   8   4   2   0   0   0   0   1   1   0   1  .500  .500  .750 
Charlie Morton     R   6   1   0   0   0   1   0   2   0   0   0  .167  .286  .167 
Guillermo Mota     R   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Jamie Moyer        L  24   4   0   0   1   4   1   4   3   0   0  .167  .355  .292 
Peter Moylan       R   4   2   1   0   0   1   1   1   0   0   0  .500  .600  .750 
Brett Myers        R  20   3   0   0   0   3   0   7   0   0   0  .150  .261  .150 
Jeff Niemann       R   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bud Norris         R   5   2   0   0   0   0   0   2   0   0   1  .400  .333  .400 
Mike O'Connor      L   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Ross Ohlendorf     R   5   2   0   1   0   0   0   1   0   0   0  .400  .400  .800 
Will Ohman         L   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Scott Olsen        L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Garrett Olson      L   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Ramon Ortiz        R   6   1   1   0   0   1   0   0   0   0   0  .167  .286  .333 
Roy Oswalt         R  14   5   1   0   2   0   0   4   0   0   0  .357  .357  .857 
Micah Owings       R   8   3   1   0   0   0   0   3   0   0   0  .375  .375  .500 
Chan Ho Park       R  10   2   1   0   0   0   0   3   0   0   0  .200  .200  .300 
Manny Parra        L   8   2   0   0   0   1   0   2   0   0   0  .250  .333  .250 
John Patterson     R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
David Pauley       R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
