Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Abbott         L  13   5   1   0   1   0   0   1   0   0   0  .385  .385  .692 
Wilson Alvarez     L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Brian Anderson     L   6   2   0   0   1   1   0   0   0   0   0  .333  .429  .833 
Jason Bere         R   6   1   0   1   0   0   0   3   0   0   0  .167  .167  .500 
Brian Bohanon      L   8   1   0   0   0   0   0   3   0   0   0  .125  .125  .125 
Scott Erickson     R   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Shawn Estes        L   5   1   0   0   0   0   0   4   0   0   0  .200  .200  .200 
Alex Fernandez     R   4   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Chuck Finley       L   5   1   1   0   0   1   0   3   0   0   0  .200  .333  .400 
Dave Fleming       L   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Mark Guthrie       L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Juan Guzman        R   6   0   0   0   0   1   0   3   0   0   0  .000  .143  .000 
Hilly Hathaway     L   4   2   0   0   0   2   0   1   0   0   0  .500  .667  .500 
Randy Johnson      L   9   3   0   0   1   0   0   5   0   0   0  .333  .333  .667 
Jimmy Key          L   7   2   0   0   0   0   0   1   0   0   1  .286  .250  .286 
Mark Langston      L  10   2   1   0   0   0   0   3   0   0   0  .200  .200  .300 
Ben McDonald       R   4   0   0   0   0   0   0   0   1   0   0  .000  .200  .000 
Jose Mesa          R   7   1   0   0   0   0   0   4   0   0   0  .143  .143  .143 
Jamie Moyer        L   7   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Mike Mussina       R   5   3   0   0   0   0   0   1   0   0   0  .600  .600  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Andy Pettitte      L   8   3   1   0   0   0   0   1   0   0   0  .375  .375  .500 
Sid Roberson       L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Kenny Rogers       L   7   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Kirk Rueter        L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Todd Stottlemyre   R   8   2   0   0   0   0   0   2   1   0   0  .250  .333  .250 
Kevin Tapani       R  12   6   0   0   3   0   0   3   0   0   0  .500  .500 1.250 
Mike Trombley      R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
F. Valenzuela      L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Tim Wakefield      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bill Wegman        R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Bob Welch          R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
David Wells        L  14   1   0   0   0   0   0   8   0   0   0  .071  .071  .071 
Bob Wickman        R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Mark Williamson    R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250
