Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
David Aardsma      R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Jose Acevedo       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Jeremy Affeldt     L   9   2   0   0   0   0   0   3   0   0   0  .222  .222  .222 
A. Alfonseca       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Wilson Alvarez     L   9   2   0   0   0   0   0   2   0   0   0  .222  .222  .222 
Brian Anderson     L   5   2   0   1   0   0   0   0   0   0   1  .400  .333  .800 
Tony Armas         R   9   2   1   0   0   0   0   1   1   0   1  .222  .273  .333 
Bronson Arroyo     R  24   4   0   0   1   0   0   4   0   0   0  .167  .167  .292 
Andy Ashby         R   5   1   0   0   0   0   0   0   1   0   0  .200  .333  .200 
Pedro Astacio      R   8   3   1   0   0   1   0   0   0   0   0  .375  .444  .500 
Luis Ayala         R   5   1   0   0   1   0   0   2   0   0   0  .200  .200  .800 
Danys Baez         R  11   2   0   0   0   1   0   3   0   0   0  .182  .250  .182 
Cory Bailey        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
James Baldwin      R   9   3   0   0   1   0   0   2   1   0   0  .333  .400  .667 
John Bale          L   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 
Miguel Batista     R  12   6   1   0   0   0   0   2   0   0   0  .500  .500  .583 
Rick Bauer         R  15   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Josh Beckett       R  17   3   1   0   0   0   0   1   1   0   0  .176  .222  .235 
Erik Bedard        L  16   7   0   0   0   1   0   1   1   0   0  .438  .500  .438 
Rob Bell           R   7   4   1   0   1   0   0   1   0   0   0  .571  .571 1.143 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joaquin Benoit     R  10   2   0   0   0   1   0   2   0   0   0  .200  .273  .200 
Kris Benson        R  11   4   1   0   0   0   0   2   1   0   0  .364  .417  .455 
Adam Bernero       R  10   4   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Rocky Biddle       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Nick Bierbrodt     L   5   3   1   0   0   0   0   1   0   0   0  .600  .600  .800 
Joe Blanton        R   7   0   0   0   0   1   0   2   0   0   1  .000  .111  .000 
Jeremy Bonderman   R  11   1   0   0   0   0   0   3   0   0   0  .091  .091  .091 
Dave Borkowski     R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Joe Borowski       R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Brian Bowles       R   3   1   0   0   0   0   0   2   1   0   0  .333  .500  .333 
Chad Bradford      R   8   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Dewon Brazelton    R   9   6   2   0   0   1   0   0   0   0   0  .667  .700  .889 
Yhency Brazoban    R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Doug Brocail       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jim Brower         R  10   2   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Mark Buehrle       L  13   3   0   0   0   2   0   2   0   0   0  .231  .333  .231 
Dave Burba         R   4   1   1   0   0   1   0   0   2   0   0  .250  .571  .500 
Paul Byrd          R   8   4   0   0   1   0   0   1   0   0   0  .500  .500  .875 
Daniel Cabrera     R  26   6   0   0   0   0   0   2   0   0   0  .231  .231  .231 
Kiko Calero        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
