Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R   7   0   0   0   0   2   0   0   0   0   0  .000  .222  .000 
Hank Aguirre       L  44  12   2   1   1   2   1   4   0   0   0  .273  .304  .432 
Jack Aker          R  14   2   1   0   0   1   0   3   0   0   0  .143  .200  .214 
Bob Allen          L   7   1   0   1   0   0   0   3   0   0   0  .143  .143  .429 
Jim Archer         L  13   4   2   0   0   1   1   2   0   0   0  .308  .357  .462 
Stan Bahnsen       R  11   1   0   0   0   0   0   2   0   0   0  .091  .091  .091 
Dave Baldwin       R   9   3   0   1   0   1   0   1   0   1   0  .333  .400  .556 
Steve Barber       L  59  16   4   1   1   8   1   8   0   0   0  .271  .358  .424 
Norm Bass          R  13   4   1   0   0   1   0   3   0   0   0  .308  .357  .385 
Bo Belinsky        L  15   6   1   1   1   0   0   2   0   1   0  .400  .400  .800 
Gary Bell          R  39   7   1   0   2   0   0  11   1   0   0  .179  .200  .359 
Dennis Bennett     L  18   6   1   0   1   1   0   1   0   0   0  .333  .368  .556 
Frank Bertaina     L   5   3   0   0   1   0   0   2   0   0   1  .600  .500 1.200 
Gil Blanco         L   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Vida Blue          L  12   3   0   0   0   0   0   6   0   0   0  .250  .250  .250 
Joe Bonikowski     R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Dick Bosman        R   7   1   1   0   0   0   0   1   0   0   0  .143  .143  .286 
Dave Boswell       R  13   2   1   0   0   1   0   6   0   0   0  .154  .214  .231 
Bob Botz           R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Jim Bouton         R  60  16   3   3   3   1   0   9   0   0   0  .267  .279  .567 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Bowsfield      L  39   8   2   1   0   5   1   4   0   1   0  .205  .295  .308 
Gene Brabender     R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Bucky Brandon      R   6   2   0   0   0   1   0   1   0   0   1  .333  .375  .333 
Ken Brett          L  11   3   1   0   0   1   0   6   0   0   0  .273  .333  .364 
Marshall Bridges   L   4   1   0   0   0   2   0   1   0   0   0  .250  .500  .250 
Jim Brosnan        R   3   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Hal Brown          R  11   3   0   0   1   0   0   0   0   0   0  .273  .273  .545 
George Brunet      L  30   5   1   0   1   5   0   6   0   1   1  .167  .278  .300 
Wally Bunker       R  26   3   0   0   0   2   0   7   0   0   0  .115  .179  .115 
Jim Bunning        R  20   9   0   0   3   0   0   3   0   0   0  .450  .450  .900 
Tom Burgmeier      L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Bill Butler        L   5   1   0   0   1   0   0   2   0   0   0  .200  .200  .800 
John Buzhardt      R  36  12   1   1   2   2   0   5   0   0   0  .333  .368  .583 
Les Cain           L   5   2   0   0   0   3   0   0   0   0   0  .400  .625  .400 
Cisco Carlos       R   4   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Dean Chance        R  49  10   1   0   0   2   0  10   0   0   1  .204  .231  .224 
Pete Charton       R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Pete Cimino        R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Galen Cisco        R   7   3   0   0   0   1   0   0   0   0   0  .429  .500  .429 
Rickey Clark       R   9   4   0   0   1   1   0   0   0   0   0  .444  .500  .778 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Coates         R  13   4   2   0   0   2   0   2   0   0   0  .308  .400  .462 
Joe Coleman        R  10   3   0   1   1   1   0   5   0   0   0  .300  .364  .800 
Gene Conley        R  16   3   0   0   0   3   0   4   0   0   0  .188  .316  .188 
Casey Cox          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mike Cuellar       L  14   4   1   0   0   2   0   1   0   0   0  .286  .375  .357 
Jack Cullen        R   3   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Ray Culp           R   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Bill Dailey        R   3   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Bud Daley          L  17   4   0   0   1   2   0   2   0   0   0  .235  .316  .412 
Bennie Daniels     R   4   1   0   0   1   1   1   1   0   0   0  .250  .400 1.000 
Dave DeBusschere   R   7   3   1   0   0   2   0   2   0   0   0  .429  .556  .571 
Ike Delock         R   7   3   2   0   0   0   0   0   0   0   0  .429  .429  .714 
Jim Dickson        R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Chuck Dobson       R  18   5   1   0   0   0   0   4   0   0   0  .278  .278  .333 
Pat Dobson         R   4   1   0   0   0   0   0   1   0   1   0  .250  .250  .250 
Jim Donohue        R   6   3   0   1   1   1   0   1   0   0   0  .500  .571 1.333 
