Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
David Aardsma      R   7   1   0   0   0   1   0   2   0   0   0  .143  .250  .143 
Fernando Abad      L   4   0   0   0   0   1   0   3   0   0   0  .000  .200  .000 
Jeremy Accardo     R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Jose Acevedo       R   3   1   0   0   0   0   0   2   1   0   0  .333  .500  .333 
Mike Adams         R   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 
Jeremy Affeldt     L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Matt Albers        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
A. Alfonseca       R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Tony Armas         R  10   4   1   0   1   3   0   1   0   0   0  .400  .538  .800 
Jose Arredondo     R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Jake Arrieta       R  15   1   0   0   0   2   0   5   0   0   0  .067  .176  .067 
Bronson Arroyo     R  58  18   4   0   4   6   1  11   1   0   1  .310  .379  .586 
Pedro Astacio      R   5   2   1   0   1   0   0   1   0   0   0  .400  .400 1.200 
Scott Atchison     R   3   2   0   0   2   0   0   1   1   0   0  .667  .750 2.667 
John Axford        R  15   5   2   0   0   3   0   0   0   0   0  .333  .444  .467 
Luis Ayala         R   6   1   1   0   0   0   0   2   0   0   0  .167  .167  .333 
Burke Badenhop     R  10   1   0   0   0   0   0   6   0   0   0  .100  .100  .100 
Danys Baez         R   5   3   1   0   1   0   0   1   0   0   0  .600  .600 1.400 
Homer Bailey       R  43  14   5   1   2   5   0  12   0   0   0  .326  .396  .628 
Josh Banks         R   2   2   0   0   0   2   0   0   0   0   0 1.000 1.000 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brian Bannister    R   7   1   0   0   1   2   0   3   0   0   0  .143  .333  .571 
Antonio Bastardo   L   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Miguel Batista     R  12   3   0   0   2   0   0   2   0   0   0  .250  .250  .750 
Denny Bautista     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Brandon Beachy     R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Josh Beckett       R  23   7   1   1   1   0   0   3   1   0   0  .304  .333  .565 
Erik Bedard        L  26  10   2   0   0   2   0   7   0   0   0  .385  .429  .462 
Joe Beimel         L   9   1   1   0   0   0   0   0   0   0   0  .111  .111  .222 
Ronald Belisario   R   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
Matt Belisle       R  12   5   0   0   1   0   0   2   0   0   0  .417  .417  .667 
Heath Bell         R  14   1   1   0   0   1   0   7   1   0   0  .071  .188  .143 
Armando Benitez    R   8   3   1   0   0   0   0   1   0   0   0  .375  .375  .500 
Jeff Bennett       R   3   0   0   0   0   1   1   1   0   0   0  .000  .250  .000 
Kris Benson        R   9   3   0   0   2   1   0   2   1   0   0  .333  .455 1.000 
Jason Bergmann     R   6   2   0   0   2   1   0   2   0   0   0  .333  .429 1.333 
Jason Berken       R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
R. Betancourt      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Chad Billingsley   R  27   9   2   0   3  11   2   6   0   0   0  .333  .526  .741 
Nick Blackburn     R   7   3   2   0   1   0   0   0   0   0   0  .429  .429 1.143 
Joe Blanton        R  15   5   2   0   2   3   0   5   0   0   1  .333  .421  .867 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Blaine Boyer       R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Chad Bradford      R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bill Bray          L   4   1   0   0   0   1   1   0   0   0   0  .250  .400  .250 
Dewon Brazelton    R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Yhency Brazoban    R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Doug Brocail       R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Rex Brothers       L   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Jim Brower         R   7   1   1   0   0   2   0   2   0   0   0  .143  .333  .286 
Jonathan Broxton   R  28   8   2   0   0   0   0   7   1   0   1  .286  .300  .357 
Brian Bruney       R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
David Buchanan     R   9   3   2   0   0   0   0   1   0   0   0  .333  .333  .556 
Mark Buehrle       L   5   2   1   0   0   2   1   2   0   0   0  .400  .571  .600 
Jason Bulger       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
M. Bumgarner       L  16   2   0   0   0   2   0   5   0   0   0  .125  .222  .125 
Greg Burke         R   6   2   0   1   0   0   0   1   0   0   0  .333  .333  .667 
A.J. Burnett       R  33   9   2   0   1   3   0  13   0   0   0  .273  .333  .424 
Brian Burres       L   4   1   1   0   0   1   0   0   0   0   0  .250  .400  .500 
David Bush         R  17   6   2   0   1   0   0   2   1   0   0  .353  .389  .647 
Trevor Cahill      R  12   4   0   0   3   4   0   1   0   0   0  .333  .500 1.083 
Matt Cain          R  43   8   1   0   3   4   0  12   1   0   2  .186  .260  .419 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Kevin Cameron      R   7   3   0   0   0   1   0   2   0   0   0  .429  .500  .429 
Shawn Camp         R  10   3   0   0   0   0   0   1   0   0   0  .300  .300  .300 
Chris Capuano      L  30  10   1   0   2   3   0   6   1   0   0  .333  .412  .567 
Chris Carpenter    R   9   4   0   0   1   2   0   1   0   0   0  .444  .545  .778 
David Carpenter    R   6   3   1   0   0   0   0   2   0   0   0  .500  .500  .667 
Giovanni Carrara   R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Carlos Carrasco    R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Brett Cecil        L   6   3   1   0   1   0   0   1   0   0   0  .500  .500 1.167 
Jhoulys Chacin     R   8   3   1   0   1   0   0   1   0   0   0  .375  .375  .875 
