Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fernando Abad      L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jeremy Accardo     R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Manny Acosta       R   8   3   1   0   0   0   0   2   0   0   0  .375  .375  .500 
Mike Adams         R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jon Adkins         R   4   1   1   0   0   1   0   0   0   0   0  .250  .400  .500 
Jeremy Affeldt     L  10   2   0   1   0   1   0   1   0   0   0  .200  .273  .400 
Carlos Almanzar    R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
H. Alvarez         R   8   1   0   0   0   1   0   1   0   0   0  .125  .222  .125 
Wilson Alvarez     L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Hector Ambriz      R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Brian Anderson     L  11   3   1   0   1   1   0   1   0   0   0  .273  .333  .636 
Matt Anderson      R   6   3   1   1   0   3   1   0   0   0   0  .500  .667 1.000 
Kevin Appier       R  14   3   0   0   0   1   0   3   0   0   0  .214  .267  .214 
Chris Archer       R   6   1   0   0   0   2   0   1   0   0   0  .167  .375  .167 
Jose Arredondo     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Jake Arrieta       R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Rolando Arrojo     R   6   1   1   0   0   2   0   1   0   0   0  .167  .375  .333 
Bronson Arroyo     R  15   6   0   0   1   0   0   3   0   0   0  .400  .400  .600 
Andy Ashby         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pedro Astacio      R   6   3   1   0   1   0   0   2   0   0   0  .500  .500 1.167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dylan Axelrod      R   6   2   1   0   0   2   0   2   0   0   0  .333  .500  .500 
Luis Ayala         R   6   1   0   0   0   1   1   0   0   0   0  .167  .286  .167 
Burke Badenhop     R   8   2   0   0   2   1   1   1   0   0   0  .250  .333 1.000 
Danys Baez         R   4   0   0   0   0   2   0   2   0   0   0  .000  .333  .000 
Homer Bailey       R   5   2   1   0   1   0   0   1   0   0   0  .400  .400 1.200 
Scott Baker        R  19   8   1   0   2   2   0   1   0   0   0  .421  .476  .789 
James Baldwin      R   6   2   0   0   1   0   0   0   0   0   0  .333  .333  .833 
John Bale          L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Grant Balfour      R   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Brian Bannister    R   8   2   2   0   0   2   0   0   0   0   0  .250  .400  .500 
Anthony Bass       R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Miguel Batista     R   8   1   0   0   0   4   2   0   0   0   0  .125  .417  .125 
Trevor Bauer       R   3   1   0   0   0   3   0   1   0   0   0  .333  .667  .333 
Brandon Beachy     R  12   6   1   0   1   2   1   1   0   0   0  .500  .571  .833 
Pedro Beato        R   6   0   0   0   0   1   0   0   0   0   0  .000  .143  .000 
Josh Beckett       R  20   4   0   1   0   1   0   4   0   0   0  .200  .238  .300 
Erik Bedard        L  12   1   0   0   0   7   0   5   0   0   0  .083  .421  .083 
Joe Beimel         L  10   2   1   0   0   1   0   1   0   0   0  .200  .273  .300 
Matt Belisle       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Heath Bell         R   5   2   0   0   0   1   1   0   0   0   0  .400  .500  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rob Bell           R  17   7   4   0   1   1   0   4   0   0   0  .412  .444  .824 
Joaquin Benoit     R  21   6   2   1   1   5   3   2   0   0   0  .286  .423  .619 
