Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
J. Albaladejo      R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Matt Albers        R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Bronson Arroyo     R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Brandon Backe      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Danys Baez         R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Homer Bailey       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Brian Bannister    R   9   3   1   0   0   0   0   1   0   0   0  .333  .333  .444 
Brian Bass         R   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Miguel Batista     R   3   3   0   0   0   2   0   0   0   0   0 1.000 1.000 1.000 
Josh Beckett       R  34  11   2   0   1   4   0   9   0   0   0  .324  .395  .471 
Erik Bedard        L   9   3   0   0   0   2   0   4   0   0   0  .333  .455  .333 
Randor Bierd       R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Chad Billingsley   R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Kurt Birkins       L   6   4   1   0   0   0   0   1   0   0   0  .667  .667  .833 
Nick Blackburn     R   6   2   0   1   0   1   1   0   0   0   0  .333  .429  .667 
Joe Blanton        R   6   2   0   1   0   0   0   2   0   0   0  .333  .333  .667 
Jeremy Bonderman   R   7   2   0   1   0   0   0   0   0   0   0  .286  .286  .571 
Boof Bonser        R   4   1   0   0   0   2   0   1   0   0   0  .250  .500  .250 
Joe Borowski       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dallas Braden      L   7   2   0   0   0   1   0   0   0   0   0  .286  .375  .286 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chris Britton      R   3   1   0   1   0   1   0   0   0   0   0  .333  .500 1.000 
Brian Bruney       R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Clay Buchholz      R  10   2   0   0   1   0   0   3   0   0   0  .200  .200  .500 
Mark Buehrle       L  17   4   0   0   0   1   0   1   0   0   0  .235  .278  .235 
A.J. Burnett       R  26   6   2   0   0   0   0  10   0   0   1  .231  .222  .308 
Brian Burres       L  15   4   0   1   1   2   0   2   0   0   0  .267  .353  .600 
Paul Byrd          R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Daniel Cabrera     R  18   3   0   1   0   2   0   5   0   0   0  .167  .250  .278 
Fernando Cabrera   R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Shawn Camp         R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Jesse Carlson      L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Fausto Carmona     R   8   2   0   1   0   0   0   0   0   0   0  .250  .250  .500 
Chris Carpenter    R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Alberto Castillo   L   3   1   0   0   0   0   0   1   1   0   0  .333  .500  .333 
Phil Coke          L   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Bartolo Colon      R   4   1   0   0   0   0   0   1   1   0   0  .250  .400  .250 
Jose Contreras     R   6   2   0   0   0   0   0   2   0   0   1  .333  .286  .333 
Johnny Cueto       R   7   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
John Danks         L  11   3   0   1   0   1   0   3   0   0   0  .273  .333  .455 
Manny Delcarmen    R  12   2   0   1   0   2   0   3   0   0   0  .167  .286  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ryan Dempster      R   8   0   0   0   0   3   0   2   0   0   0  .000  .273  .000 
R.A. Dickey        R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Scott Downs        L   6   2   1   0   0   2   0   1   0   0   0  .333  .500  .500 
Chad Durbin        R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Adam Eaton         R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Kelvim Escobar     R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Dana Eveland       L   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Kyle Farnsworth    R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Scott Feldman      R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
A. Galarraga       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Sean Gallagher     R   6   0   0   0   0   1   0   2   0   0   0  .000  .143  .000 
Yovani Gallardo    R   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
Jon Garland        R  11   1   0   0   0   1   0   1   0   0   0  .091  .167  .091 
Chad Gaudin        R   4   3   0   0   0   2   0   0   0   0   0  .750  .833  .750 
Gio Gonzalez       L   5   2   0   0   0   0   0   1   0   0   1  .400  .333  .400 
Tom Gorzelanny     L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Zack Greinke       R   6   1   1   0   0   0   0   2   0   0   0  .167  .167  .333 
Jeremy Guthrie     R  21   4   0   1   0   2   0   4   0   0   0  .190  .261  .286 
Roy Halladay       R  24   5   0   0   0   1   0   1   0   0   0  .208  .240  .208 
Aaron Harang       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dan Haren          R   3   2   0   0   1   1   0   1   0   0   0  .667  .750 1.667 
Matt Harrison      L   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Mark Hendrickson   L   9   1   0   0   0   2   0   2   0   0   0  .111  .273  .111 
David Hernandez    R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Livan Hernandez    R   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
