Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Alfredo Aceves     R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Mike Adams         R   6   1   0   0   0   1   0   2   0   0   0  .167  .286  .167 
Jeremy Affeldt     L  10   5   1   0   0   0   0   2   0   0   0  .500  .500  .600 
Matt Albers        R   3   2   1   0   1   4   0   1   0   0   0  .667  .857 2.000 
Elvis Araujo       L   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Chris Archer       R   6   1   1   0   0   1   0   1   0   0   0  .167  .286  .333 
Tony Armas         R   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Jake Arrieta       R   6   0   0   0   0   3   0   4   0   0   0  .000  .333  .000 
Bronson Arroyo     R  22   7   4   0   1   3   0   5   0   0   0  .318  .400  .636 
Pedro Astacio      R   6   2   1   0   1   0   0   1   0   0   0  .333  .333 1.000 
Dylan Axelrod      R  10   3   0   0   2   0   0   0   0   0   0  .300  .300  .900 
John Axford        R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Luis Ayala         R   8   4   0   0   0   0   0   1   0   1   0  .500  .500  .500 
Brandon Backe      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Burke Badenhop     R  13   4   0   0   1   2   0   1   0   0   0  .308  .400  .538 
Collin Balester    R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Grant Balfour      R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Daniel Bard        R   7   1   0   0   0   2   0   1   0   0   0  .143  .333  .143 
Daniel Barone      R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Trevor Bauer       R   4   1   0   0   1   1   0   0   0   0   0  .250  .400 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Brandon Beachy     R   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Blake Beavan       R   6   2   0   0   1   0   0   3   0   0   0  .333  .333  .833 
Josh Beckett       R  12   2   0   0   0   1   0   4   0   0   0  .167  .231  .167 
Erik Bedard        L   9   4   1   0   0   1   0   0   0   0   0  .444  .500  .556 
Joe Beimel         L   9   3   1   0   0   1   0   1   0   0   0  .333  .400  .444 
Matt Belisle       R  10   3   1   0   2   1   0   3   0   0   0  .300  .364 1.000 
Heath Bell         R   9   2   0   0   0   0   0   3   0   0   0  .222  .222  .222 
Armando Benitez    R   3   3   0   0   0   1   0   0   0   0   0 1.000 1.000 1.000 
Brad Bergesen      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Jason Bergmann     R  15   3   1   0   0   5   0   6   0   0   0  .200  .400  .267 
R. Betancourt      R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Chad Billingsley   R  35   9   2   0   1   6   0  14   0   0   0  .257  .366  .400 
Travis Blackley    L   4   1   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Joe Blanton        R  10   1   1   0   0   1   0   5   0   0   0  .100  .182  .200 
Jerry Blevins      L   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Micah Bowie        L   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Bill Bray          L   7   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Craig Breslow      L   5   1   1   0   0   0   0   3   0   0   0  .200  .200  .400 
Zach Britton       L   5   1   0   0   0   2   0   2   0   0   0  .200  .429  .200 
Doug Brocail       R   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Clay Buchholz      R  15   2   0   0   0   3   1   7   0   0   0  .133  .278  .133 
Mark Buehrle       L  14   3   0   0   0   0   0   2   1   0   0  .214  .267  .214 
M. Bumgarner       L  17   6   0   0   0   0   0   4   0   0   0  .353  .353  .353 
A.J. Burnett       R   7   2   1   0   0   3   0   1   0   0   0  .286  .500  .429 
Sean Burnett       L   9   1   0   0   0   0   0   3   0   1   0  .111  .111  .111 
Jared Burton       R  12   7   1   0   0   0   0   3   0   0   0  .583  .583  .667 
David Bush         R  12   3   0   0   2   0   0   3   0   0   0  .250  .250  .750 
Tim Byrdak         L   6   0   0   0   0   1   0   2   0   0   0  .000  .143  .000 
Matt Cain          R  32   4   0   0   0   1   0   7   0   0   0  .125  .152  .125 
Matt Capps         R   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Chris Capuano      L   8   1   0   0   0   1   0   1   0   0   0  .125  .222  .125 
Fausto Carmona     R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Chris Carpenter    R  21   8   2   0   1   5   1   9   1   0   0  .381  .519  .619 
Carlos Carrasco    R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Andrew Cashner     R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Santiago Casilla   R   4   1   0   1   0   2   0   2   0   0   0  .250  .500  .750 
Jhoulys Chacin     R  17   7   1   0   2   4   0   2   0   0   0  .412  .524  .824 
Joba Chamberlain   R   3   0   0   0   0   0   0   0   1   1   0  .000  .250  .000 
Jesse Chavez       R   4   2   0   0   1   0   0   1   0   0   0  .500  .500 1.250 
Bruce Chen         L   5   2   0   0   1   2   0   2   0   0   0  .400  .571 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Matt Chico         L   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Phil Coke          L   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Tim Collins        L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jesus Colome       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bartolo Colon      R  13   2   0   1   0   1   0   5   0   0   0  .154  .214  .308 
Clay Condrey       R   6   2   1   0   0   1   0   1   0   0   0  .333  .429  .500 
Aaron Cook         R  17   2   1   0   0   3   0   2   0   0   0  .118  .250  .176 
Chad Cordero       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
F. Cordero         R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
Manuel Corpas      R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Kevin Correia      R  33  12   1   0   5   3   0   6   0   0   0  .364  .417  .848 
Jarred Cosart      R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Aaron Crow         R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Juan Cruz          R   5   0   0   0   0   1   0   4   1   0   0  .000  .286  .000 
Johnny Cueto       R   6   1   0   0   1   2   0   1   0   0   0  .167  .375  .667 
Yu Darvish         R   6   1   0   0   0   2   0   3   0   0   0  .167  .375  .167 
Doug Davis         L  10   4   2   0   0   0   0   2   0   1   0  .400  .400  .600 
Wade Davis         R  10   3   0   1   0   4   0   1   0   0   0  .300  .500  .500 
Jacob deGrom       R   7   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Jorge de la Rosa   L  10   2   0   0   1   0   0   2   0   0   0  .200  .200  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ryan Dempster      R  14   1   1   0   0   8   1   8   0   0   0  .071  .409  .143 
A. DeSclafani      R   5   2   1   0   1   1   0   0   0   0   0  .400  .500 1.200 
Ross Detwiler      L   5   2   0   1   0   1   0   0   0   0   0  .400  .500  .800 
R.A. Dickey        R  21   4   2   0   1   2   0   5   0   0   0  .190  .261  .429 
Felix Doubront     L  15   4   0   0   0   3   0   3   0   0   0  .267  .389  .267 
Brian Duensing     L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Zach Duke          L   8   2   1   0   0   0   0   1   0   0   0  .250  .250  .375 
Michael Dunn       L   4   2   0   1   0   0   0   1   0   0   0  .500  .500 1.000 
Chad Durbin        R   6   2   0   0   0   1   0   2   0   0   0  .333  .429  .333 
Adam Eaton         R  13   5   1   0   3   2   0   1   0   0   0  .385  .467 1.154 
Jerad Eickhoff     R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
John Ely           R  10   2   0   0   0   2   0   3   0   0   0  .200  .333  .200 
Marco Estrada      R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Scott Eyre         L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Scott Feldman      R   9   2   1   0   0   0   0   2   0   0   0  .222  .222  .333 
Pedro Feliciano    L   9   2   0   0   0   2   0   4   1   0   0  .222  .417  .222 
Neftali Feliz      R   3   1   0   0   1   1   0   0   0   0   0  .333  .500 1.333 
Nelson Figueroa    R   4   1   0   0   1   2   0   1   0   0   0  .250  .500 1.000 
Doug Fister        R  15   5   0   0   1   0   0   2   0   0   0  .333  .333  .533 
Randy Flores       L   6   1   1   0   0   1   0   1   0   0   0  .167  .286  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gavin Floyd        R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Josh Fogg          R   7   2   2   0   0   0   0   1   0   0   0  .286  .286  .571 
