Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R   8   1   1   0   0   1   0   4   0   1   0  .125  .222  .250 
Hank Aguirre       L   5   3   0   0   1   0   0   0   1   0   0  .600  .667 1.200 
Doyle Alexander    R   6   1   0   0   0   0   0   2   0   1   0  .167  .167  .167 
Gerry Arrigo       L   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Stan Bahnsen       R  20   9   1   1   0   1   0   2   1   0   0  .450  .500  .600 
Jack Baldschun     R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Steve Barber       L   5   3   1   0   0   2   0   2   0   0   0  .600  .714  .800 
Larry Bearnarth    R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bo Belinsky        L   6   2   0   0   0   2   0   1   0   0   0  .333  .500  .333 
Gary Bell          R  11   4   1   0   0   0   0   2   0   0   0  .364  .364  .455 
Frank Bertaina     L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Steve Blass        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Vida Blue          L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Bert Blyleven      R  13   4   1   0   0   0   0   2   0   0   0  .308  .308  .385 
Bobby Bolin        R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Dick Bosman        R  13   6   3   0   0   1   0   1   0   1   0  .462  .500  .692 
Dave Boswell       R   6   3   1   0   1   1   0   1   0   0   0  .500  .571 1.167 
Jim Bouton         R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Ted Bowsfield      L   9   2   0   1   0   1   0   3   0   0   0  .222  .300  .444 
Tom Bradley        R  12   6   1   0   0   1   0   1   0   0   1  .500  .500  .583 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bucky Brandon      R   3   1   0   0   0   2   0   0   0   1   0  .333  .600  .333 
Ken Brett          L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Nelson Briles      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pete Broberg       R  13   5   1   1   1   0   0   1   0   0   0  .385  .385  .846 
Jackie Brown       R   5   2   0   0   1   1   0   1   1   0   0  .400  .571 1.000 
Bob Bruce          R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
George Brunet      L   6   2   1   0   0   0   0   0   0   0   1  .333  .286  .500 
Wally Bunker       R  13   3   0   0   0   1   0   0   0   0   0  .231  .286  .231 
Jim Bunning        R   9   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Tom Burgmeier      L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
John Buzhardt      R  17   4   0   0   0   1   0   4   0   0   0  .235  .278  .235 
Don Cardwell       R  13   3   0   0   0   0   0   7   1   0   0  .231  .286  .231 
Dean Chance        R  20   7   0   0   2   1   0   5   0   0   0  .350  .381  .650 
Pete Charton       R   4   3   0   1   0   0   0   0   0   0   0  .750  .750 1.250 
Rickey Clark       R   5   1   0   0   0   1   0   0   0   1   0  .200  .333  .200 
Tony Cloninger     R   8   2   1   1   0   1   0   2   0   0   0  .250  .333  .625 
Jim Colborn        R   7   1   0   0   0   0   0   4   0   0   0  .143  .143  .143 
Joe Coleman        R  14   4   1   0   0   0   0   2   0   0   0  .286  .286  .357 
Ed Connolly        L   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Casey Cox          R  12   2   1   0   0   0   0   2   0   1   0  .167  .167  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Cuellar       L  20   5   0   0   0   0   0   4   0   0   0  .250  .250  .250 
Ray Culp           R   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
John Cumberland    L   5   1   1   0   0   0   0   0   0   1   0  .200  .200  .400 
Bruce Dal Canton   R   5   1   1   0   0   0   0   2   0   1   0  .200  .200  .400 
Chuck Dobson       R   6   2   1   0   0   1   0   1   0   0   0  .333  .429  .500 
Pat Dobson         R   6   2   0   0   1   1   0   1   0   0   0  .333  .429  .833 
Dick Donovan       R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Al Downing         L  11   2   1   0   0   2   0   3   0   0   0  .182  .308  .273 
Moe Drabowsky      R  10   0   0   0   0   0   0   6   1   0   0  .000  .091  .000 
Dick Drago         R  20   9   2   1   0   0   0   1   0   0   0  .450  .450  .650 
Bob Duliba         R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Arnold Earley      L   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Dick Ellsworth     L  13   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Chuck Estrada      R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Turk Farrell       R   3   0   0   0   0   0   0   3   0   1   0  .000  .000  .000 
Rollie Fingers     R   6   1   0   0   0   0   0   3   0   1   0  .167  .167  .167 
Eddie Fisher       R  27   5   1   0   1   1   0   8   1   0   0  .185  .241  .333 
Jack Fisher        R  11   2   0   0   1   0   0   1   0   0   0  .182  .182  .455 
Al Fitzmorris      R  11   2   0   0   0   2   0   5   0   0   0  .182  .308  .182 
Whitey Ford        L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Terry Forster      L   6   0   0   0   0   1   0   4   0   0   0  .000  .143  .000 
Alan Foster        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Terry Fox          R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Woodie Fryman      L   4   2   0   0   1   1   0   0   0   0   0  .500  .600 1.250 
Gene Garber        R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Rob Gardner        L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Greg Garrett       L   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Joe Gibbon         L   6   0   0   0   0   1   1   2   0   0   0  .000  .143  .000 
Bob Gibson         R   8   1   0   0   0   0   0   1   1   0   0  .125  .222  .125 
Rich Gossage       R   5   0   0   0   0   1   0   3   1   0   0  .000  .286  .000 
Mudcat Grant       R  17   7   0   0   0   0   0   1   0   0   0  .412  .412  .412 
Dick Hall          R   7   2   1   0   0   2   0   3   0   0   0  .286  .444  .429 
Tom Hall           L  11   1   0   1   0   0   0   3   0   0   0  .091  .091  .273 
Dave Hamilton      L   6   3   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Jack Hamilton      R  11   2   0   0   0   1   0   2   0   0   0  .182  .250  .182 
Steve Hamilton     L   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Rich Hand          R   9   2   1   0   0   0   0   2   0   0   0  .222  .222  .333 
Bill Hands         R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Jim Hannan         R   7   1   0   0   0   2   0   0   0   0   0  .143  .333  .143 
Steve Hargan       R   5   1   0   1   0   0   0   0   0   0   0  .200  .200  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Hedlund       R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Bob Heffner        R   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
