Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Arlin        R   5   1   0   0   0   0   0   4   0   0   0  .200  .200  .200 
Jim Barr           R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Jack Billingham    R   3   0   0   0   0   0   0   3   1   1   0  .000  .250  .000 
Bill Bonham        R  10   1   0   0   0   4   0   7   0   1   0  .100  .357  .100 
Jackie Brown       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Buzz Capra         R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
Steve Carlton      L  10   2   0   0   1   0   0   6   0   1   0  .200  .200  .500 
L. Christenson     R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
John Curtis        L   6   2   0   0   0   0   0   3   0   0   0  .333  .333  .333 
Al Downing         L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Nino Espinosa      R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Pete Falcone       L   4   2   0   1   0   1   0   1   0   0   0  .500  .600 1.000 
Woodie Fryman      L   4   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Bob Gibson         R   4   1   0   0   0   0   0   2   0   1   0  .250  .250  .250 
Don Gullett        L   5   1   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Ed Halicki         R   3   1   1   0   0   0   0   0   0   1   0  .333  .333  .667 
Bill Hands         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jim Kaat           L   4   2   0   2   0   2   0   1   0   0   0  .500  .667 1.500 
Jerry Koosman      L   9   3   1   0   0   1   0   3   1   0   0  .333  .455  .444 
Barry Lersch       R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Andy Messersmith   R   4   0   0   0   0   0   0   2   0   2   0  .000  .000  .000 
John Montefusco    R   8   1   0   0   0   0   0   5   0   0   0  .125  .125  .125 
Balor Moore        L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Carl Morton        R   5   0   0   0   0   0   0   2   0   2   0  .000  .000  .000 
Joe Niekro         R   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
Fred Norman        L   6   1   0   1   0   0   0   5   0   1   0  .167  .167  .500 
Claude Osteen      L   6   2   2   0   0   0   0   2   0   0   0  .333  .333  .667 
Bob Owchinko       L   6   2   1   0   0   0   0   2   0   0   0  .333  .333  .500 
Gaylord Perry      R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Eric Rasmussen     R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Doug Rau           L   3   1   0   0   0   0   0   0   0   2   0  .333  .333  .333 
Steve Renko        R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Rick Reuschel      R   6   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
J.R. Richard       R   7   1   0   0   0   0   0   3   0   2   0  .143  .143  .143 
Steve Rogers       R  10   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Dan Schatzeder     L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Ron Schueler       R   4   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Tom Seaver         R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Don Stanhouse      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bill Stoneman      R   3   0   0   0   0   1   0   3   1   0   0  .000  .400  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Wayne Twitchell    R  10   1   0   0   0   1   0   3   0   0   0  .100  .182  .100 
Tom Underwood      L   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Don Wilson         R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200
