Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Abernathy      R   2   0   0   0   0   1   0   0   0   1   0  .000  .333  .000 
Jack Baldschun     R   5   3   0   0   0   1   0   0   0   0   0  .600  .667  .600 
Dennis Bennett     L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Wade Blasingame    L   8   2   0   0   0   2   0   1   0   0   0  .250  .400  .250 
Bobby Bolin        R   6   2   1   0   0   1   0   2   0   0   0  .333  .429  .500 
John Boozer        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jim Brewer         L   5   0   0   0   0   1   0   0   0   0   1  .000  .143  .000 
Ernie Broglio      R   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Hal Brown          R   5   1   0   0   1   0   0   0   0   0   0  .200  .200  .800 
Bob Buhl           R   9   3   0   0   0   1   0   0   0   0   0  .333  .400  .333 
Jim Bunning        R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Lew Burdette       R   4   3   1   1   0   1   0   1   0   0   0  .750  .800 1.500 
Tony Cloninger     R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Roger Craig        R   6   3   2   0   0   1   0   1   0   0   0  .500  .571  .833 
Larry Dierker      R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Don Drysdale       R  15   2   0   0   0   3   0   2   0   0   0  .133  .278  .133 
Jim Duffalo        R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Sammy Ellis        R   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Dick Ellsworth     L  16   4   2   0   1   4   0   1   0   0   0  .250  .400  .563 
Turk Farrell       R  11   1   1   0   0   1   0   0   0   0   0  .091  .167  .182 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Friend         R  11   1   0   0   0   0   0   2   0   0   0  .091  .091  .091 
Joe Gibbon         L  11   1   1   0   0   2   0   1   0   0   0  .091  .231  .182 
Bob Gibson         R  13   3   1   0   0   2   0   7   0   0   0  .231  .333  .308 
Bob Hendley        L   8   4   1   0   1   3   0   0   0   0   0  .500  .636 1.000 
Ron Herbel         R  14   4   0   1   1   0   0   0   0   0   0  .286  .286  .643 
Ray Herbert        R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Al Jackson         L   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Grant Jackson      L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Larry Jackson      R   9   2   0   1   0   0   0   1   0   0   0  .222  .222  .444 
Joey Jay           R   9   3   2   0   0   2   0   0   0   0   0  .333  .455  .556 
Ken Johnson        R   9   3   0   0   0   1   0   1   0   1   0  .333  .400  .333 
Gordon Jones       R   3   3   0   1   0   1   0   0   0   0   0 1.000 1.000 1.667 
Dick Kelley        L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Cal Koonce         R   4   0   0   0   0   3   0   0   0   0   0  .000  .429  .000 
Sandy Koufax       L  22   3   0   0   0   2   0   8   0   0   0  .136  .208  .136 
Don Larsen         R   6   2   1   0   0   1   0   0   0   0   0  .333  .429  .500 
Vern Law           R  12   1   0   0   0   0   0   4   0   0   0  .083  .083  .083 
Denny Lemaster     L   4   0   0   0   0   2   0   1   0   0   0  .000  .333  .000 
Art Mahaffey       R   5   3   0   0   0   1   0   1   0   0   0  .600  .667  .600 
