Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Paul Abbott        R  19   4   2   0   1   7   0   3   0   0   0  .211  .423  .474 
Jeremy Affeldt     L  11   2   0   0   0   1   0   3   0   0   1  .182  .231  .182 
Juan Alvarez       L   5   2   1   0   0   0   0   1   0   1   0  .400  .400  .600 
Brian Anderson     L  15   2   0   0   1   0   0   4   0   0   0  .133  .133  .333 
Matt Anderson      R   6   1   0   0   0   1   0   2   0   0   0  .167  .286  .167 
Kevin Appier       R  15   4   2   0   0   2   0   3   1   0   0  .267  .389  .400 
Bronson Arroyo     R  23   7   2   0   2   4   0   3   0   0   0  .304  .407  .652 
Miguel Asencio     R   5   1   0   0   0   2   0   2   0   0   0  .200  .429  .200 
Danys Baez         R  12   2   0   0   0   3   0   5   0   0   0  .167  .333  .167 
Cory Bailey        R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
James Baldwin      R  21  10   4   1   1   4   1   4   0   1   0  .476  .560  .905 
Miguel Batista     R   5   2   0   0   0   2   0   1   0   0   0  .400  .571  .400 
Erik Bedard        L   5   0   0   0   0   1   0   3   0   0   0  .000  .167  .000 
Tim Belcher        R   4   1   0   0   0   0   0   1   1   0   0  .250  .400  .250 
Rob Bell           R  16   2   0   0   1   0   0   5   0   0   0  .125  .125  .313 
Joaquin Benoit     R   5   1   0   0   0   2   0   3   0   0   0  .200  .429  .200 
Jason Bere         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Adam Bernero       R  12   8   3   1   0   0   0   1   0   0   0  .667  .667 1.083 
R. Betancourt      R   7   1   1   0   0   1   1   1   0   0   0  .143  .250  .286 
Rocky Biddle       R   4   0   0   0   0   2   1   1   0   0   0  .000  .333  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Nick Bierbrodt     L   9   1   0   0   1   2   0   1   0   0   0  .111  .273  .444 
Willie Blair       R  15   4   1   0   1   0   0   0   0   0   0  .267  .267  .533 
Jeremy Bonderman   R  17   4   1   0   1   0   0   6   0   0   0  .235  .235  .471 
Pedro Borbon       L   4   0   0   0   0   2   0   3   0   0   0  .000  .333  .000 
Chad Bradford      R   2   1   1   0   0   1   1   0   2   0   0  .500  .800 1.000 
Dewon Brazelton    R   9   2   0   0   0   1   0   4   1   0   0  .222  .364  .222 
Doug Brocail       R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Jim Brower         R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Mark Buehrle       L  57  17   4   1   2   3   0  15   2   0   1  .298  .349  .509 
Dave Burba         R  16   6   3   0   1   4   0   7   1   0   0  .375  .524  .750 
John Burkett       R   9   2   0   0   0   2   0   0   0   0   0  .222  .364  .222 
Paul Byrd          R  18   5   1   0   1   1   0   3   0   0   1  .278  .300  .500 
Daniel Cabrera     R  14   6   2   0   3   3   0   2   0   0   0  .429  .529 1.214 
Mickey Callaway    R   2   2   0   0   0   2   0   0   0   0   0 1.000 1.000 1.000 
Chris Carpenter    R   3   1   0   0   0   3   0   0   0   0   0  .333  .667  .333 
D.J. Carrasco      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Lance Carter       R   3   2   0   0   0   1   1   0   0   0   0  .667  .750  .667 
Frank Castillo     R   3   1   0   0   0   3   0   0   0   0   0  .333  .667  .333 
Jaime Cerda        L   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Shawn Chacon       R   9   3   1   0   0   1   0   3   0   0   0  .333  .400  .444 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Norm Charlton      L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Bruce Chen         L  10   2   1   0   0   0   0   3   0   0   0  .200  .200  .300 
Mark Clark         R   9   3   1   1   0   0   0   2   0   0   1  .333  .300  .667 
Roger Clemens      R  17   1   1   0   0   4   0   8   0   0   0  .059  .238  .118 
Matt Clement       R   6   1   0   0   0   3   0   1   0   0   0  .167  .444  .167 
Tony Cogan         L   4   2   0   0   2   0   0   1   1   0   0  .500  .600 2.000 
Jesus Colome       R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Bartolo Colon      R  34  14   4   0   1   7   0   7   1   0   0  .412  .524  .618 
Steve Colyer       L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
David Cone         R   9   2   0   0   0   2   0   3   0   0   1  .222  .333  .222 
Brian Cooper       R   8   3   2   0   1   0   0   1   0   0   0  .375  .375 1.000 
F. Cordero         R   5   0   0   0   0   2   1   3   0   0   0  .000  .286  .000 
Rheal Cormier      L   5   4   2   0   0   0   0   1   0   0   0  .800  .800 1.200 
Nate Cornejo       R  23  10   4   0   0   3   0   2   0   0   0  .435  .500  .609 
Paxton Crawford    R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Doug Creek         L   5   2   1   0   0   2   0   2   0   1   0  .400  .571  .600 
Jack Cressend      R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
