Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Glenn Abbott       R   8   3   1   0   0   1   0   0   0   0   0  .375  .444  .500 
Jack Aker          R   4   3   0   0   0   1   0   0   0   0   0  .750  .800  .750 
Vic Albury         L   6   1   0   0   0   2   0   1   0   0   0  .167  .375  .167 
Doyle Alexander    R  25   6   2   0   0   4   1   2   1   0   0  .240  .367  .320 
Lloyd Allen        R  11   4   0   0   0   1   0   3   0   0   0  .364  .417  .364 
Stan Bahnsen       R  31   5   0   0   1   4   1   8   0   0   0  .161  .257  .258 
Ray Bare           R   8   1   0   0   0   3   1   1   0   0   0  .125  .364  .125 
Fred Beene         R   4   1   0   0   1   2   0   0   0   0   0  .250  .500 1.000 
Jim Bibby          R  16   6   2   0   0   4   0   4   0   0   0  .375  .500  .500 
Doug Bird          R   8   1   0   0   0   1   0   4   0   0   0  .125  .222  .125 
Bert Blyleven      R  52   7   3   0   0   8   0  15   1   0   0  .135  .262  .192 
Dick Bosman        R  26   3   1   0   1   1   0   1   0   0   0  .115  .148  .269 
Gene Brabender     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tom Bradley        R  13   3   1   1   0   0   0   3   0   0   0  .231  .231  .462 
Nelson Briles      R   8   4   0   0   1   1   0   1   0   0   0  .500  .556  .875 
Pete Broberg       R  13   3   0   0   2   3   0   2   1   0   0  .231  .412  .692 
Jackie Brown       R  21   2   2   0   0   4   0   2   0   0   0  .095  .240  .190 
Wally Bunker       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bill Burbach       R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Tom Burgmeier      L   5   1   0   1   0   2   0   0   0   0   0  .200  .429  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Steve Busby        R  31   7   1   0   0   9   1   9   0   0   0  .226  .400  .258 
Tom Buskey         R   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Bill Butler        L   5   3   0   0   0   2   0   1   0   0   0  .600  .714  .600 
Les Cain           L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Bill Campbell      R  10   0   0   0   0   6   0   1   0   0   0  .000  .375  .000 
Cisco Carlos       R   7   3   0   0   0   0   0   0   0   0   0  .429  .429  .429 
Bill Castro        R   4   2   0   0   0   1   0   0   0   0   1  .500  .500  .500 
Bill Champion      R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Dean Chance        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Rickey Clark       R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
