Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Paul Abbott        R  12   2   0   0   0   2   0   3   0   0   0  .167  .286  .167 
Brian Anderson     L   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Matt Anderson      R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Kevin Appier       R  15   5   0   0   1   0   0   2   0   0   0  .333  .333  .533 
Tony Armas         R   6   1   0   0   0   0   0   4   0   0   0  .167  .167  .167 
Rolando Arrojo     R   4   0   0   0   0   1   0   0   1   0   0  .000  .333  .000 
Bronson Arroyo     R  12   4   0   0   0   1   0   1   0   0   0  .333  .385  .333 
Pedro Astacio      R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Luis Ayala         R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
James Baldwin      R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Brian Bannister    R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
Miguel Batista     R   9   6   1   0   0   1   1   0   0   0   0  .667  .700  .778 
Rick Bauer         R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Josh Beckett       R   7   5   1   0   1   0   0   0   0   0   0  .714  .714 1.286 
Matt Belisle       R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Joaquin Benoit     R   6   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Kris Benson        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Chad Billingsley   R   7   3   0   0   0   0   0   0   0   0   0  .429  .429  .429 
Willie Blair       R   5   4   0   0   0   0   0   0   0   0   0  .800  .800  .800 
Joe Blanton        R   7   2   1   0   0   0   0   0   0   0   0  .286  .286  .429 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Kent Bottenfield   R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Mark Buehrle       L   6   2   0   0   1   0   0   0   1   0   0  .333  .429  .833 
A.J. Burnett       R   6   1   0   0   0   0   0   3   0   0   0  .167  .167  .167 
David Bush         R  13   1   0   0   0   0   0   0   0   0   0  .077  .077  .077 
Paul Byrd          R   9   3   0   0   1   0   0   1   0   0   1  .333  .300  .667 
Matt Capps         R   3   1   0   0   0   1   1   1   0   0   0  .333  .500  .333 
Chris Capuano      L   7   2   0   0   1   1   0   0   1   0   0  .286  .444  .714 
Chris Carpenter    R  29  11   4   1   1   1   0   4   0   0   0  .379  .400  .690 
D.J. Carrasco      R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Frank Castillo     R   8   3   1   0   1   0   0   1   0   0   0  .375  .375  .875 
Shawn Chacon       R  10   3   3   0   0   2   0   2   0   0   1  .300  .385  .600 
Randy Choate       L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Roger Clemens      R   9   2   1   0   0   0   0   3   0   0   0  .222  .222  .333 
Matt Clement       R   9   2   0   0   0   3   0   5   0   0   0  .222  .417  .222 
Todd Coffey        R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Bartolo Colon      R   8   1   0   0   1   1   0   2   0   0   0  .125  .222  .500 
David Cone         R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Aaron Cook         R   7   3   2   0   0   1   0   0   0   0   0  .429  .500  .714 
Chad Cordero       R   4   0   0   0   0   1   0   2   0   0   0  .000  .200  .000 
F. Cordero         R   6   3   0   0   0   2   0   1   0   0   0  .500  .625  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Lance Cormier      R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Doug Creek         L   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Juan Cruz          R   5   0   0   0   0   1   0   2   0   0   1  .000  .143  .000 
Doug Davis         L   5   2   2   0   0   1   0   1   0   0   0  .400  .500  .800 
Ryan Dempster      R   7   1   0   1   0   1   0   4   0   0   0  .143  .250  .429 
Brendan Donnelly   R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Octavio Dotel      R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Sean Douglass      R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Darren Dreifort    R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Ryan Drese         R   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Travis Driskill    R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Adam Eaton         R   9   3   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Scott Elarton      R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Alan Embree        L   7   2   0   0   0   0   0   3   0   0   0  .286  .286  .286 
Scott Erickson     R   3   1   0   0   1   3   0   0   0   0   0  .333  .667 1.333 
Kelvim Escobar     R   5   3   2   0   0   2   1   1   0   0   0  .600  .714 1.000 
Seth Etherton      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Scott Eyre         L   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Kyle Farnsworth    R   6   4   1   1   0   2   0   0   0   0   0  .667  .750 1.167 
Scott Feldman      R   4   1   1   0   0   1   0   1   0   0   1  .250  .333  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Nelson Figueroa    R   5   2   0   0   1   0   0   0   0   0   0  .400  .400 1.000 
Tony Fiore         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Bryce Florie       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Gavin Floyd        R   8   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Josh Fogg          R  25  10   1   0   1   0   0   3   0   0   0  .400  .400  .560 
Keith Foulke       R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Frank Francisco    R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Ryan Franklin      R   8   1   1   0   0   0   0   2   0   0   0  .125  .125  .250 
Brian Fuentes      L   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Eric Gagne         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
A. Galarraga       R   5   2   0   0   1   1   0   0   0   0   0  .400  .500 1.000 
Freddy Garcia      R  17   5   1   0   0   0   0   4   0   0   1  .294  .278  .353 
Jon Garland        R  17   4   3   0   0   1   0   1   0   0   0  .235  .278  .412 
Chad Gaudin        R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Matt Ginter        R   5   1   0   1   0   0   0   0   0   0   0  .200  .200  .600 
Dwight Gooden      R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
John Grabow        L  10   4   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Seth Greisinger    R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Jason Grimsley     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Buddy Groom        L   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mark Guthrie       L   6   1   0   0   0   1   0   1   0   1   0  .167  .286  .167 
John Halama        L   2   2   1   0   0   2   0   0   0   0   0 1.000 1.000 1.500 
Roy Halladay       R  15   2   0   0   0   0   0   3   0   0   0  .133  .133  .133 
Aaron Harang       R  32  10   2   0   0   2   0   6   0   0   0  .313  .353  .375 
Travis Harper      R   5   2   1   0   0   0   0   0   1   0   0  .400  .500  .600 
S. Hasegawa        R   7   2   0   0   0   2   2   2   0   0   0  .286  .444  .286 
LaTroy Hawkins     R   6   3   0   0   1   1   1   0   0   0   0  .500  .571 1.000 
Jimmy Haynes       R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Aaron Heilman      R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Rick Helling       R   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Brad Hennessey     R   6   1   1   0   0   1   0   2   0   0   0  .167  .286  .333 
Clay Hensley       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Gil Heredia        R   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Matt Herges        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Livan Hernandez    R  22   8   0   0   1   1   0   0   0   0   0  .364  .391  .500 
O. Hernandez       R  14   3   0   1   0   2   1   1   0   0   0  .214  .313  .357 
R. Hernandez       R   7   2   0   0   0   2   1   2   0   0   1  .286  .400  .286 
Erik Hiljus        R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
S. Hitchcock       L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Trevor Hoffman     R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Holtz         L   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Bob Howry          R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Tim Hudson         R  17   4   2   0   0   0   0   3   0   0   1  .235  .222  .353 
J. Isringhausen    R  13   1   0   0   0   1   0   4   0   0   1  .077  .133  .077 
Kevin Jarvis       R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Bobby Jenks        R   3   0   0   0   0   1   1   1   0   0   0  .000  .250  .000 
Jason Johnson      R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Todd Jones         R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Jorge Julio        R   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Scott Karl         L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Steve Karsay       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Sun-Woo Kim        R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Matt Kinney        R   8   2   0   0   1   0   0   2   0   0   0  .250  .250  .625 
Billy Koch         R   4   1   0   0   0   1   1   2   1   0   0  .250  .500  .250 
John Lackey        R  10   3   0   0   1   0   0   2   0   0   0  .300  .300  .600 
Jon Leicester      R   1   1   0   0   0   3   0   0   0   0   0 1.000 1.000 1.000 
Al Levine          R  11   1   1   0   0   1   0   1   0   0   0  .091  .167  .182 
Cory Lidle         R  14   1   0   0   0   1   0   4   0   0   0  .071  .133  .071 
Jon Lieber         R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Tim Lincecum       R   8   2   1   0   0   0   0   2   0   0   0  .250  .250  .375 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Lincoln       R   7   3   1   0   0   0   0   2   0   0   0  .429  .429  .571 
Esteban Loaiza     R   9   4   1   0   1   0   0   0   1   0   0  .444  .500  .889 
Kyle Lohse         R  12   4   1   0   1   3   1   1   0   0   0  .333  .467  .667 
Braden Looper      R  14   5   2   0   0   0   0   2   0   0   0  .357  .357  .500 
Albie Lopez        R  10   4   1   0   0   0   0   0   0   0   0  .400  .400  .500 
Rodrigo Lopez      R   6   3   0   2   0   0   0   2   0   0   0  .500  .500 1.167 
Derek Lowe         R  17   7   1   0   0   0   0   3   0   0   0  .412  .412  .471 
Greg Maddux        R  24   5   1   0   0   0   0   2   0   0   0  .208  .208  .250 
Ryan Madson        R   4   2   0   0   1   1   1   0   0   0   0  .500  .600 1.250 
Calvin Maduro      R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Mike Magnante      L   3   0   0   0   0   0   0   1   1   1   0  .000  .250  .000 
Ron Mahay          L  11   4   0   1   0   1   0   0   0   0   0  .364  .417  .545 
Paul Maholm        L   6   4   1   0   1   0   0   0   0   0   0  .667  .667 1.333 
John Maine         R  10   2   0   0   1   0   0   1   0   0   0  .200  .200  .500 
Carlos Marmol      R   9   1   1   0   0   0   0   3   0   0   0  .111  .111  .222 
Jason Marquis      R  18   3   0   0   2   2   0   5   0   0   0  .167  .250  .500 
Tom Martin         L   4   1   0   0   1   0   0   0   1   0   0  .250  .400 1.000 
Pedro Martinez     R  16   1   0   0   0   1   0   5   0   0   0  .063  .118  .063 
Nick Masset        R   4   2   1   0   0   1   0   0   0   0   0  .500  .600  .750 
Joe Mays           R  15   4   1   0   0   0   0   1   0   0   0  .267  .267  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Macay McBride      L   3   1   0   0   0   1   0   2   0   0   0  .333  .500  .333 
Brandon McCarthy   R   4   1   1   0   0   1   1   0   0   0   0  .250  .400  .500 
Brian Meadows      R  10   1   0   0   0   0   0   1   0   0   0  .100  .100  .100 
Gil Meche          R   7   0   0   0   0   1   0   2   0   0   0  .000  .125  .000 
Jim Mecir          R   3   1   0   0   0   0   0   0   1   0   0  .333  .500  .333 
Kent Mercker       L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Jose Mesa          R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Travis Miller      L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Kevin Millwood     R  14   4   0   0   0   0   0   2   0   0   0  .286  .286  .286 
Eric Milton        L   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Sergio Mitre       R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Brian Moehler      R   8   3   1   0   0   0   0   0   0   0   0  .375  .375  .500 
Matt Morris        R  25   6   1   0   3   3   0   3   0   0   0  .240  .321  .640 
Jamie Moyer        L  16   6   0   0   1   2   0   1   1   0   0  .375  .474  .563 
