Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Doyle Alexander    R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Doug Bair          R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Jim Barr           R   6   2   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Joe Beckwith       R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Jim Bibby          R  11   2   0   1   0   0   0   1   0   0   0  .182  .182  .364 
Vida Blue          L  29   7   1   0   0   3   0   1   0   0   0  .241  .313  .276 
Bert Blyleven      R   6   0   0   0   0   1   0   3   0   0   0  .000  .143  .000 
Tommy Boggs        R  13   3   0   0   0   0   0   1   1   0   0  .231  .286  .231 
Bill Bonham        R   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 
Pedro Borbon       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jim Bouton         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Larry Bradford     L   4   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
John Candelaria    L  20   4   1   1   0   0   0   1   0   0   0  .200  .200  .350 
Doug Capilla       L   5   1   0   0   0   2   0   1   0   0   0  .200  .429  .200 
Steve Carlton      L  23   7   0   1   1   1   0   0   0   0   0  .304  .333  .522 
Bobby Castillo     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bill Caudill       R   4   2   0   0   0   3   0   2   0   0   0  .500  .714  .500 
L. Christenson     R  11   3   1   0   0   0   0   2   0   1   0  .273  .273  .364 
John Curtis        L  18   4   2   0   0   1   0   0   0   0   0  .222  .263  .333 
John D'Acquisto    R   2   0   0   0   0   1   0   0   1   0   0  .000  .500  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mark Davis         L   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Dave Dravecky      L   3   1   0   0   0   2   0   0   0   1   0  .333  .600  .333 
Hal Dues           R   5   1   1   0   0   2   0   0   0   0   0  .200  .429  .400 
J. Eichelberger    R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Pete Falcone       L  17   1   0   0   0   0   0   4   0   0   0  .059  .059  .059 
Rollie Fingers     R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bob Forsch         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Terry Forster      L   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Woodie Fryman      L  17   3   0   0   0   0   0   2   0   0   0  .176  .176  .176 
Gene Garber        R  10   5   0   0   0   1   0   0   0   0   0  .500  .545  .500 
Ed Glynn           L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dave Goltz         R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bill Gullickson    R   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Ed Halicki         R  14   5   1   0   0   3   0   0   0   0   0  .357  .471  .429 
Atlee Hammaker     L   9   2   1   0   0   0   0   2   0   0   0  .222  .222  .333 
Preston Hanna      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Tom Hausman        R   5   2   0   0   0   0   0   0   0   1   0  .400  .400  .400 
G. Hernandez       L   8   1   0   0   0   1   0   0   0   0   0  .125  .222  .125 
Al Holland         L  10   0   0   0   0   1   0   3   0   0   0  .000  .091  .000 
Don Hood           L   3   1   1   0   0   2   1   0   0   0   0  .333  .600  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Burt Hooton        R  19   6   0   0   0   2   0   3   0   1   0  .316  .381  .316 
Charlie Hough      R   3   1   1   0   0   1   0   0   0   1   0  .333  .500  .667 
Steve Howe         L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Al Hrabosky        L   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
Tom Hume           R   8   4   0   0   0   1   0   0   0   1   0  .500  .556  .500 
Grant Jackson      L   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Randy Jones        L  18   5   0   1   0   0   0   1   0   0   0  .278  .278  .389 
Jim Kaat           L   8   1   0   0   0   2   0   0   0   1   0  .125  .300  .125 
Dennis Kinney      L   4   2   0   0   0   1   1   0   0   0   0  .500  .600  .500 
Bruce Kison        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bob Knepper        L  28  11   1   1   1   0   0   2   0   2   0  .393  .393  .607 
Kevin Kobel        L   6   1   0   1   0   0   0   1   0   0   0  .167  .167  .500 
Ken Kravec         L   2   1   0   0   0   1   1   0   0   1   0  .500  .667  .500 
Mike Krukow        R  13   3   0   0   0   2   0   3   0   0   0  .231  .333  .231 
Frank LaCorte      R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Mike LaCoss        R  13   3   0   0   0   1   0   0   0   0   0  .231  .286  .231 
Dennis Lamp        R  11   3   0   0   0   1   0   0   0   0   0  .273  .333  .273 
Bill Laskey        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Gary Lavelle       L  15   1   0   0   0   0   0   3   0   2   0  .067  .067  .067 
Mark Lee           R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bill Lee           L   9   4   0   1   0   1   0   0   0   0   0  .444  .500  .667 
C. Leibrandt       L  10   3   1   0   0   0   0   0   0   0   0  .300  .300  .400 
Mark Lemongello    R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Randy Lerch        L   8   5   0   0   0   0   0   0   0   1   1  .625  .556  .625 
Tim Lollar         L   7   3   0   0   0   1   1   1   1   0   0  .429  .556  .429 
Gary Lucas         L   9   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Rick Mahler        R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
John Martin        L  11   1   0   0   0   1   0   2   0   0   0  .091  .167  .091 
Rudy May           L   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Lynn McGlothen     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Tug McGraw         L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Larry McWilliams   L  19  11   2   1   1   0   0   0   1   0   0  .579  .600  .947 
Greg Minton        R  15   6   0   1   0   2   1   1   0   0   0  .400  .471  .533 
John Montefusco    R   9   1   0   0   0   0   0   0   0   0   0  .111  .111  .111 
Paul Moskau        R   9   1   0   0   0   2   0   1   0   0   0  .111  .273  .111 
Steve Mura         R   8   2   0   0   0   4   0   2   0   0   0  .250  .500  .250 
Dale Murray        R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Joe Niekro         R   7   1   1   0   0   0   0   1   0   0   0  .143  .143  .286 
Phil Niekro        R  28   7   0   0   0   5   0   6   0   0   0  .250  .364  .250 
Dickie Noles       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fred Norman        L   4   2   0   0   0   1   0   0   0   1   0  .500  .600  .500 
Jim Otten          R   3   0   0   0   0   1   1   0   0   0   0  .000  .250  .000 
Bob Owchinko       L   7   5   0   1   0   0   0   0   0   0   0  .714  .714 1.000 
David Palmer       R   6   1   0   0   0   0   0   1   0   1   0  .167  .167  .167 
Frank Pastore      R  13   4   1   0   0   3   1   1   0   0   0  .308  .438  .385 
Dave Patterson     R   4   1   0   1   0   1   1   0   0   0   0  .250  .400  .750 
Gaylord Perry      R  13   4   1   0   0   1   0   1   0   0   0  .308  .357  .385 
Gerry Pirtle       R   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 
